MI50_convolution_15x15_processed,,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval,
Dual annealing,0.688784753889424,0.188919960560215,0,24.04,2.96895501440339,iterations=1000000, method=COBYLA,25
Dual annealing,0.634491179844501,0.237850154075013,0.04,44.12,11.7310681177663,iterations=1000000, method=Powell,50
Dual annealing,0.664297903713448,0.159767999888973,0.02,89.2,26.4497984252186,iterations=1000000, method=Powell,100
Dual annealing,0.721937577724055,0.184927233808494,0.02,173.12,52.2765956139035,iterations=1000000, method=Powell,200
Dual annealing,0.861077433795985,0.153337811499285,0.08,247.72,143.036749951663,iterations=1000000, method=Powell,400
Dual annealing,0.942211650939196,0.063580008843663,0.14,388.6,258.195227512447,iterations=1000000, method=Powell,800
Dual annealing,0.948845632855305,0.030650229586304,0.06,432.32,326.522333517501,iterations=1000000, method=Powell,1600
Dual annealing,0.952389537126722,0.03289914082431,0.1,429.4,320.99087659487,iterations=1000000, method=Powell,3200
Dual annealing,0.956239634590361,0.028557492470103,0.1,442.4,375.059124590744,iterations=1000000, method=Powell,6400
