convolution_A100_processed,,,,,,,,
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval,
Dual annealing,0.748649782571253,0.137123299232122,0,25,0,iterations=1000000, method=COBYLA,25
Dual annealing,0.75942026180612,0.155895395694268,0,50,0,iterations=1000000, method=Powell,50
Dual annealing,0.807516435479255,0.099600287188331,0,100,0,iterations=1000000, method=Powell,100
Dual annealing,0.829949489658281,0.08387144811542,0,200,0,iterations=1000000, method=Powell,200
Dual annealing,0.85574010575247,0.059708154416609,0,400,0,iterations=1000000, method=Powell,400
Dual annealing,0.879973242430993,0.032663335864922,0.02,790.1,70.0035713374682,iterations=1000000, method=Powell,800
Dual annealing,0.898120072161846,0.034607206950639,0.06,1562.1,224.871323749601,iterations=1000000, method=Powell,1600
Dual annealing,0.895296461149115,0.017037213769865,0,3200,0,iterations=1000000, method=Powell,3200
Dual annealing,0.915276201328839,0.037747551383865,0.1,5920.9,1559.80705570285,iterations=1000000, method=Powell,6400
