GEMM_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.6218419773185957,0.33938284756178366,0.0,25.94,0.2398979374820952,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,25
Genetic local search,0.7874153611885578,0.2589549617180854,0.08,50.28,0.9905677613348409,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,50
Genetic local search,0.9109928611177149,0.08041054872424712,0.04,101.02,0.9145089013302412,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,100
Genetic local search,0.9544609353534371,0.040290379850742436,0.14,207.64,2.310225715626691,pop_size=16; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,200
Genetic local search,0.9770756748345578,0.030532186231198077,0.3,412.16,1.9520789545758541,pop_size=20; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,400
Genetic local search,0.9935072495858311,0.016686717563744718,0.6,823.62,2.108195862797944,pop_size=40; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,800
Genetic local search,0.9993038272096482,0.0028400099843616743,0.82,1646.18,2.7825256476071942,pop_size=80; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,1600
