GEMM_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5502071850424023,0.3284164605723487,0.0,25.94,0.2398979374820952,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,25
Genetic local search,0.7719913348241798,0.27921248914704616,0.1,50.24,1.286666314194023,pop_size=2; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,50
Genetic local search,0.9048831401603857,0.0967477155329752,0.3,101.02,1.05926428068095,pop_size=4; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,100
Genetic local search,0.964865679581527,0.04404724539863414,0.44,207.84,2.605802003536081,pop_size=16; reproductor=<function twopoint_crossover at 0x7fc122f3bd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,200
Genetic local search,0.9883677539839745,0.02704480495482302,0.72,411.54,1.8758399479177539,pop_size=20; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,400
Genetic local search,0.9983309488209929,0.005717491613074573,0.92,823.54,2.73458574260773,pop_size=40; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,800
Genetic local search,0.9995827372052483,0.002950493517058266,0.98,1643.86,3.9175690088083335,pop_size=80; reproductor=<function uniform_crossover at 0x7fc122f3bc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fc122e640d0>; selector=<function RTS at 0x7fc122e52af0>; nbour_methodHamming,1600
