MI50_GEMM_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestILS,0.37068904841696165,0.3568335345315412,0.0,25,0.0,walksize=1.0; no_improve=25; iterations=100000,25
BestILS,0.6390422514581423,0.2806250446037771,0.0,50,0.0,walksize=1.0; no_improve=25; iterations=100000,50
BestILS,0.8013341836476355,0.1999753598431369,0.04,99.6,2.8284271247461903,walksize=1.0; no_improve=25; iterations=100000,100
BestILS,0.9143287409451363,0.08877955808880145,0.02,198.86,8.061017305526642,walksize=1.0; no_improve=25; iterations=100000,200
BestILS,0.9731758944856558,0.047343463444159614,0.1,383.44,61.6901937101838,walksize=1.0; no_improve=25; iterations=100000,400
BestILS,0.9945430983316422,0.00828583855648976,0.66,531.44,254.5232566255298,walksize=0.05; no_improve=25; iterations=100000,800
BestILS,0.9967802591572875,0.006124122084483563,0.78,795.06,538.7793615276695,walksize=0.05; no_improve=25; iterations=100000,1600
