GEMM_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.5205371824940936,0.3464019908958536,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.7534573264260445,0.2871613574271712,0.12,49.64,1.5354318677193604,iterations=10000,50
RandomGreedyMLS,0.9102165853468911,0.15181050038968003,0.3,92.6,15.232886014361513,iterations=10000,100
RandomGreedyMLS,0.9565993338200283,0.05415347870675133,0.44,170.04,46.102352855093095,iterations=10000,200
RandomGreedyMLS,0.9883092277407626,0.024083365571094983,0.72,261.58,130.2910540885682,iterations=10000,400
RandomGreedyMLS,0.9984507874489046,0.0062546398073988945,0.94,308.56,217.69255234605242,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,292.32,216.00391530843007,iterations=10000,1600
