convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.6319009935626744,0.178671280110345,0.0,25,0.0,NA,25
Random sampling,0.6975207663938673,0.1216943175996191,0.0,50,0.0,NA,50
Random sampling,0.793782719046513,0.07868501568671302,0.0,100,0.0,NA,100
Random sampling,0.8404753745395945,0.0629904978548319,0.02,200,0.0,NA,200
Random sampling,0.8719852370652721,0.061624201605986535,0.02,400,0.0,NA,400
Random sampling,0.8972520547851239,0.057778687143978685,0.02,800,0.0,NA,800
Random sampling,0.9311601108539079,0.0534854962760599,0.12,1600,0.0,NA,1600
