convolution_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6471231955713348,0.16597394240667512,0.0,27.04,3.076971742158322,pop_size=8; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,25
Genetic algorithm,0.7416732034847993,0.17856236466385478,0.02,42.4,8.921425711997712,pop_size=10; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,50
Genetic algorithm,0.8221035701079098,0.109614076432847,0.02,96.84,13.762356229206969,pop_size=20; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,100
Genetic algorithm,0.9071050830856217,0.08379905876777628,0.22,199.1,20.805464352875557,pop_size=40; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.05,200
Genetic algorithm,0.9665389088005699,0.05572861000137806,0.54,371.64,46.847019812429075,pop_size=80; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.05,400
Genetic algorithm,0.9883084396043761,0.036072421638449065,0.88,679.14,84.53063929482515,pop_size=128; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; selector=<function tournament4_selection at 0x7fb8216f1ca0>; mutation=0.02,800
Genetic algorithm,0.9993106766969522,0.002677165956333757,0.9,1404.64,199.6702138169694,pop_size=320; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; selector=<function tournament4_selection at 0x7fb8216f1ca0>; mutation=0.02,1600
