convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.7514095187827855,0.07644991156246915,0.0,25,0.0,NA,25
Random sampling,0.7744281436506532,0.06458986960966004,0.0,50,0.0,NA,50
Random sampling,0.8244873631477486,0.03472524350700075,0.0,100,0.0,NA,100
Random sampling,0.8528712018650507,0.03808835116929249,0.0,200,0.0,NA,200
Random sampling,0.8649078727723825,0.04185031328620582,0.04,400,0.0,NA,400
Random sampling,0.8894470602325343,0.03848287285469623,0.06,800,0.0,NA,800
Random sampling,0.8891432062224118,0.028564241190153744,0.04,1600,0.0,NA,1600
