convolution_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5357011438657572,0.25733845184881965,0.0,25.86,0.35050983275386566,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,25
Genetic local search,0.6358857472995126,0.2801280822176268,0.02,50.64,0.48487322138506117,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,50
Genetic local search,0.9000699810573618,0.12841723919499187,0.1,101.32,1.1146519544646376,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,100
Genetic local search,0.9718393962212618,0.0240870186945857,0.04,207.3,2.3840456097540907,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,200
Genetic local search,0.9805809727354028,0.015467365041712791,0.2,413.08,1.9042380231944724,pop_size=20; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,400
Genetic local search,0.9893660191095484,0.011180568604948716,0.52,824.9,3.0050977097089473,pop_size=40; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,800
Genetic local search,0.9968984222402849,0.007765239298791704,0.86,1643.1,5.047731355444215,pop_size=80; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,1600
