Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.049149512637719016,0.000225318881265325,1.000000000000067,0.004584356368417122,82944
0.01,0.049149512637719016,0.000225318881265325,1.000000000000067,0.004584356368417122,82944
0.02,0.049149512637719016,0.000225318881265325,1.000000000000067,0.004584356368417122,82944
0.03,0.10644990242339193,0.000488004288092058,1.000000000000067,0.004584356368417122,82944
0.04,0.10644990242339193,0.000488004288092058,1.000000000000067,0.004584356368417122,82944
0.05,0.10644990242339193,0.000488004288092058,1.000000000000067,0.004584356368417122,82944
0.06,0.10644990242339193,0.000488004288092058,1.000000000000067,0.004584356368417122,82944
0.07,0.10644990242339193,0.000488004288092058,1.000000000000067,0.004584356368417122,82944
0.08,0.12671628847960095,0.0005809126240736398,1.000000000000067,0.004584356368417122,82944
0.09,0.1613399135860456,0.0007396396603280563,1.000000000000067,0.004584356368417122,82944
0.1,0.18315324785126755,0.0008396397581832379,1.000000000000067,0.004584356368417122,82944
0.11,0.20562279456917185,0.0009426481677749086,1.000000000000067,0.004584356368417122,82944
0.12,0.20562279456917185,0.0009426481677749086,1.000000000000067,0.004584356368417122,82944
0.13,0.2379320421557605,0.0010907652727072518,1.000000000000067,0.004584356368417122,82944
0.14,0.2570105189709421,0.0011782278093946282,1.000000000000067,0.004584356368417122,82944
0.15,0.2570105189709421,0.0011782278093946282,1.000000000000067,0.004584356368417122,82944
