Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.06319667719461318,0.0021461512011286044,0.999999999999997,0.0339598741009684,18432
0.01,0.06319667719461318,0.0021461512011286044,0.999999999999997,0.0339598741009684,18432
0.02,0.0929009546751611,0.003154904724628243,0.999999999999997,0.0339598741009684,18432
0.03,0.0929009546751611,0.003154904724628243,0.999999999999997,0.0339598741009684,18432
0.04,0.0929009546751611,0.003154904724628243,0.999999999999997,0.0339598741009684,18432
0.05,0.0929009546751611,0.003154904724628243,0.999999999999997,0.0339598741009684,18432
0.06,0.11111323709377093,0.0037733915426555126,0.999999999999997,0.0339598741009684,18432
0.07,0.11111323709377093,0.0037733915426555126,0.999999999999997,0.0339598741009684,18432
0.08,0.11111323709377093,0.0037733915426555126,0.999999999999997,0.0339598741009684,18432
0.09,0.16811255376465337,0.00570908116063991,0.999999999999997,0.0339598741009684,18432
0.1,0.2209174936243234,0.007502330270183512,0.999999999999997,0.0339598741009684,18432
0.11,0.2209174936243234,0.007502330270183512,0.999999999999997,0.0339598741009684,18432
0.12,0.2697477887368842,0.00916060094451921,0.999999999999997,0.0339598741009684,18432
0.13,0.33439728014665276,0.011356089533486588,0.999999999999997,0.0339598741009684,18432
0.14,0.33439728014665276,0.011356089533486588,0.999999999999997,0.0339598741009684,18432
0.15,0.36019355123452484,0.012232127651905175,0.999999999999997,0.0339598741009684,18432
