Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.022264072209753474,0.00013380876262997985,0.9999999999999879,0.006010075846383607,82944
0.01,0.022264072209753474,0.00013380876262997985,0.9999999999999879,0.006010075846383607,82944
0.02,0.07084905876154057,0.00042580821680174785,0.9999999999999879,0.006010075846383607,82944
0.03,0.12103258188875425,0.0007274149970350479,0.9999999999999879,0.006010075846383607,82944
0.04,0.16201285311267413,0.0009737095352961778,0.9999999999999879,0.006010075846383607,82944
0.05,0.23559750095871412,0.0014159588499803063,0.9999999999999879,0.006010075846383607,82944
0.06,0.27821420357197973,0.001672088465008807,0.9999999999999879,0.006010075846383607,82944
0.07,0.3358544103252412,0.002018510479397141,0.9999999999999879,0.006010075846383607,82944
0.08,0.38148249924099203,0.002292738754506339,0.9999999999999879,0.006010075846383607,82944
0.09,0.48092265475840285,0.002890381631342159,0.9999999999999879,0.006010075846383607,82944
0.1,0.5173057376589136,0.0031090467190994916,0.9999999999999879,0.006010075846383607,82944
0.11,0.5173057376589136,0.0031090467190994916,0.9999999999999879,0.006010075846383607,82944
0.12,0.5329566851916727,0.003203110100839144,0.9999999999999879,0.006010075846383607,82944
0.13,0.5678572355297992,0.0034128650554518126,0.9999999999999879,0.006010075846383607,82944
0.14,0.595634654239667,0.0035798094487148736,0.9999999999999879,0.006010075846383607,82944
0.15,0.6353748816364551,0.003818651229522101,0.9999999999999879,0.006010075846383607,82944
