Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.03978410168940324,0.00043701443811929356,0.9999999999999601,0.0109846501381655,82944
0.01,0.06220120522664774,0.0006832584775869567,0.9999999999999601,0.0109846501381655,82944
0.02,0.09039205979802553,0.0009929251521494454,0.9999999999999601,0.0109846501381655,82944
0.03,0.09039205979802553,0.0009929251521494454,0.9999999999999601,0.0109846501381655,82944
0.04,0.09039205979802553,0.0009929251521494454,0.9999999999999601,0.0109846501381655,82944
0.05,0.10960931381249878,0.0012040199641146904,0.9999999999999601,0.0109846501381655,82944
0.06,0.1352790770083359,0.0014859933319505184,0.9999999999999601,0.0109846501381655,82944
0.07,0.1352790770083359,0.0014859933319505184,0.9999999999999601,0.0109846501381655,82944
0.08,0.21433298416883978,0.00235437284416367,0.9999999999999601,0.0109846501381655,82944
0.09,0.2702989206921195,0.0029691390765266765,0.9999999999999601,0.0109846501381655,82944
0.1,0.32757099980445725,0.0035982528282610424,0.9999999999999601,0.0109846501381655,82944
0.11,0.38045759672266144,0.004179193592405697,0.9999999999999601,0.0109846501381655,82944
0.12,0.3937753196359596,0.004325484119245307,0.9999999999999601,0.0109846501381655,82944
0.13,0.48507042472044193,0.0053283289079254,0.9999999999999601,0.0109846501381655,82944
0.14,0.5383613656041077,0.005913711249066129,0.9999999999999601,0.0109846501381655,82944
0.15,0.5770802374993746,0.0063390245105800856,0.9999999999999601,0.0109846501381655,82944
