Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.02377703612001028,0.0019505513470488406,0.9999999999999982,0.0820350920612555,8184
0.01,0.6392044291321143,0.05243719418981527,0.9999999999999982,0.0820350920612555,8184
0.02,0.673523871646653,0.05525259281598641,0.9999999999999982,0.0820350920612555,8184
0.03,0.8027905339451502,0.06585699535809486,0.9999999999999982,0.0820350920612555,8184
0.04,0.9013234980608852,0.07394015614039756,0.9999999999999982,0.0820350920612555,8184
0.05,0.9833455418507823,0.0806688420537541,0.9999999999999982,0.0820350920612555,8184
0.06,0.9906029932089252,0.08126420774404944,0.9999999999999982,0.0820350920612555,8184
0.07,0.9957994335833785,0.08169049820855855,0.9999999999999982,0.0820350920612555,8184
0.08,0.9957994335833785,0.08169049820855855,0.9999999999999982,0.0820350920612555,8184
0.09,0.9957994335833785,0.08169049820855855,0.9999999999999982,0.0820350920612555,8184
0.1,0.9986663941267822,0.08192568958067264,0.9999999999999982,0.0820350920612555,8184
0.11,1.0,0.0820350920612555,0.9999999999999982,0.0820350920612555,8184
0.12,1.0,0.0820350920612555,0.9999999999999982,0.0820350920612555,8184
0.13,1.0,0.0820350920612555,0.9999999999999982,0.0820350920612555,8184
0.14,1.0,0.0820350920612555,0.9999999999999982,0.0820350920612555,8184
0.15,1.0,0.0820350920612555,0.9999999999999982,0.0820350920612555,8184
