Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.01534093508347489,0.00010108813983228475,0.9999999999998563,0.006589437950309557,82944
0.01,0.030050355613496584,0.0001980149536998722,0.9999999999998563,0.006589437950309557,82944
0.02,0.030050355613496584,0.0001980149536998722,0.9999999999998563,0.006589437950309557,82944
0.03,0.0757137790284228,0.000498911248891241,0.9999999999998563,0.006589437950309557,82944
0.04,0.15142057982657703,0.0009977765151671244,0.9999999999998563,0.006589437950309557,82944
0.05,0.2519354741565989,0.0016601131744367254,0.9999999999998563,0.006589437950309557,82944
0.06,0.2853423391639777,0.0018802456385172159,0.9999999999998563,0.006589437950309557,82944
0.07,0.3247616557905129,0.0021399967794713754,0.9999999999998563,0.006589437950309557,82944
0.08,0.45024551333731533,0.0029668648725415135,0.9999999999998563,0.006589437950309557,82944
0.09,0.508987353320761,0.003353940582199441,0.9999999999998563,0.006589437950309557,82944
0.1,0.5498978597431858,0.0036235178257857507,0.9999999999998563,0.006589437950309557,82944
0.11,0.5864074542366428,0.0038640955332913487,0.9999999999998563,0.006589437950309557,82944
0.12,0.6483189294419872,0.004272057357569094,0.9999999999998563,0.006589437950309557,82944
0.13,0.6564093526554468,0.00432536869932593,0.9999999999998563,0.006589437950309557,82944
0.14,0.7025299058647981,0.0046292772229329015,0.9999999999998563,0.006589437950309557,82944
0.15,0.7526549655719796,0.004959573193628936,0.9999999999998563,0.006589437950309557,82944
