Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.03641449509275512,0.00019417183712542864,0.9999999999999833,0.005332267731045934,82944
0.01,0.03641449509275512,0.00019417183712542864,0.9999999999999833,0.005332267731045934,82944
0.02,0.056281404160899114,0.0003001075152651167,0.9999999999999833,0.005332267731045934,82944
0.03,0.12167748728613502,0.0006488169390506096,0.9999999999999833,0.005332267731045934,82944
0.04,0.12167748728613502,0.0006488169390506096,0.9999999999999833,0.005332267731045934,82944
0.05,0.15073285286291307,0.000803747927329406,0.9999999999999833,0.005332267731045934,82944
0.06,0.15073285286291307,0.000803747927329406,0.9999999999999833,0.005332267731045934,82944
0.07,0.15073285286291307,0.000803747927329406,0.9999999999999833,0.005332267731045934,82944
0.08,0.1736035780368402,0.0009257007571599576,0.9999999999999833,0.005332267731045934,82944
0.09,0.1736035780368402,0.0009257007571599576,0.9999999999999833,0.005332267731045934,82944
0.1,0.1736035780368402,0.0009257007571599576,0.9999999999999833,0.005332267731045934,82944
0.11,0.21995747265750773,0.0011728721336540467,0.9999999999999833,0.005332267731045934,82944
0.12,0.21995747265750773,0.0011728721336540467,0.9999999999999833,0.005332267731045934,82944
0.13,0.24834485446228802,0.0013242412536205572,0.9999999999999833,0.005332267731045934,82944
0.14,0.24834485446228802,0.0013242412536205572,0.9999999999999833,0.005332267731045934,82944
0.15,0.3072087411356952,0.001638119257053111,0.9999999999999833,0.005332267731045934,82944
