Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.01101267172294056,0.0015596651606883116,0.9999999999999991,0.1416245939156948,8184
0.01,0.017736939762493627,0.0025119868911703002,0.9999999999999991,0.1416245939156948,8184
0.02,0.023515348684042026,0.00333035170816342,0.9999999999999991,0.1416245939156948,8184
0.03,0.03172017925951296,0.004492357506561568,0.9999999999999991,0.1416245939156948,8184
0.04,0.04649542700658522,0.00658489596874446,0.9999999999999991,0.1416245939156948,8184
0.05,0.07061326885884898,0.010000575527194265,0.9999999999999991,0.1416245939156948,8184
0.06,0.09506918880234805,0.01346413525802706,0.9999999999999991,0.1416245939156948,8184
0.07,0.10405237558252237,0.014736375437838086,0.9999999999999991,0.1416245939156948,8184
0.08,0.11721570789427366,0.016600627031067208,0.9999999999999991,0.1416245939156948,8184
0.09,0.12906228091815372,0.018278393124866846,0.9999999999999991,0.1416245939156948,8184
0.1,0.14466275713860857,0.02048780423448022,0.9999999999999991,0.1416245939156948,8184
0.11,0.15337546649958822,0.02172173815963443,0.9999999999999991,0.1416245939156948,8184
0.12,0.1795214332489652,0.025424650083048204,0.9999999999999991,0.1416245939156948,8184
0.13,0.19007664842164373,0.026919528145571584,0.9999999999999991,0.1416245939156948,8184
0.14,0.19471202949850014,0.027576012108225866,0.9999999999999991,0.1416245939156948,8184
0.15,0.20229295498702576,0.02864965760204345,0.9999999999999991,0.1416245939156948,8184
