Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.005390353170575402,0.00017376700216876727,1.0,0.032236663660058146,18432
0.01,0.005390353170575402,0.00017376700216876727,1.0,0.032236663660058146,18432
0.02,0.005390353170575402,0.00017376700216876727,1.0,0.032236663660058146,18432
0.03,0.005390353170575402,0.00017376700216876727,1.0,0.032236663660058146,18432
0.04,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.05,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.06,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.07,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.08,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.09,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.1,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.11,0.011972788358106851,0.00038596275137335037,1.0,0.032236663660058146,18432
0.12,0.06513208889438254,0.0020996412431652186,1.0,0.032236663660058146,18432
0.13,0.06513208889438254,0.0020996412431652186,1.0,0.032236663660058146,18432
0.14,0.18011557929980385,0.005806325349824308,1.0,0.032236663660058146,18432
0.15,0.18011557929980385,0.005806325349824308,1.0,0.032236663660058146,18432
