Percentage,proportion_centr,sum_accept_centr,tot_centr,minima_centr,nr_of_nodes
0.0,0.0064780699750853505,0.0009275962927061066,0.9999999999999939,0.14319022429113004,8184
0.01,0.0190449556896439,0.0027270514768147434,0.9999999999999939,0.14319022429113004,8184
0.02,0.033744286095981874,0.004831851894627705,0.9999999999999939,0.14319022429113004,8184
0.03,0.06582204935079089,0.009425074009841578,0.9999999999999939,0.14319022429113004,8184
0.04,0.07243281469902517,0.010371670982791275,0.9999999999999939,0.14319022429113004,8184
0.05,0.08794798500352266,0.012593291698607352,0.9999999999999939,0.14319022429113004,8184
0.06,0.0994824710387716,0.014244917341077554,0.9999999999999939,0.14319022429113004,8184
0.07,0.10580157745507632,0.015149751606147746,0.9999999999999939,0.14319022429113004,8184
0.08,0.12806068555826666,0.01833703828796408,0.9999999999999939,0.14319022429113004,8184
0.09,0.14151980730851935,0.02026425295014439,0.9999999999999939,0.14319022429113004,8184
0.1,0.149900397741321,0.021464271573909358,0.9999999999999939,0.14319022429113004,8184
0.11,0.1649599970881733,0.023620658982119694,0.9999999999999939,0.14319022429113004,8184
0.12,0.17797135958475027,0.02548375889633775,0.9999999999999939,0.14319022429113004,8184
0.13,0.18091924680118934,0.025905867528044614,0.9999999999999939,0.14319022429113004,8184
0.14,0.18963858165088,0.027154391040841285,0.9999999999999939,0.14319022429113004,8184
0.15,0.19164328632853747,0.027441445153272535,0.9999999999999939,0.14319022429113004,8184
