convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.5286914945614525,0.30717928866980015,0.0,25.86,0.35050983275386566,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,25
Genetic local search,0.6463532895857287,0.25637487961856154,0.08,50.66,0.47851812069840644,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,50
Genetic local search,0.8717509086389187,0.11668659725666347,0.2,101.32,1.0961900624714787,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,100
Genetic local search,0.939644419215926,0.05956131192027589,0.44,207.46,2.68183610572294,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,200
Genetic local search,0.9772673759566293,0.038636808614991226,0.68,412.58,2.0212140219306267,pop_size=20; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,400
Genetic local search,0.9947644970617413,0.020933105942828323,0.94,824.66,3.1403236541893618,pop_size=40; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,800
Genetic local search,1.0,0.0,1.0,1643.72,5.249062112532532,pop_size=80; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,1600
