MI50_convolution_15x15_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.7265474673926953,0.18204554140112844,0.14,25.66,0.47851812069840644,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,25
Genetic local search,0.7243028224229633,0.1694315660616881,0.08,49.14,3.7198310253481752,pop_size=2; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,50
Genetic local search,0.8719968711780485,0.15510699075763754,0.4,99.16,5.238632007129576,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,100
Genetic local search,0.9564693254012661,0.08027102921372006,0.66,203.52,1.9403344967256737,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,200
Genetic local search,0.9979516723173509,0.008189826439249776,0.94,386.96,19.732869088122477,pop_size=20; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,400
Genetic local search,1.0,0.0,1.0,554.18,35.19954197290131,pop_size=40; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,800
Genetic local search,1.0,0.0,1.0,714.6,17.13928534218438,pop_size=80; reproductor=<function uniform_crossover at 0x7fb8217dcc10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb8217040d0>; selector=<function RTS at 0x7fb8216f1af0>; nbour_methodHamming,1600
