convolution_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.6726253842923354,0.21151145613601574,0.0,25.4,3.7525501533039134,pop_size=8; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,25
Genetic algorithm,0.7567371838100122,0.13217382548730125,0.0,42.52,9.127755384942507,pop_size=10; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,50
Genetic algorithm,0.8416689252701065,0.10800926812247698,0.08,96.48,13.687831628635616,pop_size=20; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.02,100
Genetic algorithm,0.9333591169415473,0.06090219207859269,0.3,198.04,17.35812460480447,pop_size=40; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.05,200
Genetic algorithm,0.9653420782879614,0.0505706276311756,0.58,374.3,39.39193432412171,pop_size=80; reproductor=<function onepoint_crossover at 0x7fb8217dcca0>; selector=<function tournament8_selection at 0x7fb8216f1d30>; mutation=0.05,400
Genetic algorithm,0.9930193294156552,0.023912942887330663,0.92,646.18,127.38847703631852,pop_size=128; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; selector=<function tournament4_selection at 0x7fb8216f1ca0>; mutation=0.02,800
Genetic algorithm,0.9992371019227607,0.004572976773254839,0.9,1378.84,219.61751166191513,pop_size=320; reproductor=<function twopoint_crossover at 0x7fb8217dcd30>; selector=<function tournament4_selection at 0x7fb8216f1ca0>; mutation=0.02,1600
