convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.7283218205593197,0.09753459174780116,0.0,25,0.0,NA,25
Random sampling,0.7932151335563749,0.050694921898805444,0.0,50,0.0,NA,50
Random sampling,0.8082516733971042,0.056081253459530696,0.01,75,0.0,NA,75
Random sampling,0.8228166710739768,0.03418518772311624,0.0,100,0.0,NA,100
Random sampling,0.8407739316703464,0.04000890002726096,0.02,150,0.0,NA,150
Random sampling,0.8466671285524743,0.03733287230770867,0.02,200,0.0,NA,200
Random sampling,0.8582327019966046,0.022661082850550636,0.0,400,0.0,NA,400
Random sampling,0.8702280253644853,0.03409004373240745,0.04,600,0.0,NA,600
Random sampling,0.8829860224860215,0.04366908737036314,0.08,800,0.0,NA,800
Random sampling,0.8889363884328803,0.044359515048761976,0.05,1000,0.0,NA,1000
Random sampling,0.9016854732537588,0.04103449412374071,0.11,2000,0.0,NA,2000
