convolution_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
PSO,0.6813865417989778,0.18274819354253377,0.0,24.89,4.062379757350277,nr_particles=10; k=2; scaling=1000,25
PSO,0.7367238628783583,0.1665328943832658,0.01,43.32,13.56680440701427,nr_particles=10; k=2; scaling=1000,50
PSO,0.8487472016743625,0.030859026532663862,0.0,77.99,2.5085510325341764,nr_particles=10; k=5; scaling=10,75
PSO,0.8495020255488032,0.038866245047239345,0.0,101.85,3.1794002356711646,nr_particles=10; k=5; scaling=10,100
PSO,0.8677626646550639,0.028859663676744803,0.0,152.12,3.8172389408200704,nr_particles=15; k=7; scaling=1000,150
PSO,0.8730090153375998,0.02199177176304484,0.01,203.67,3.832490025816088,nr_particles=20; k=10; scaling=1000,200
PSO,0.8869244741129513,0.020018787417839093,0.0,395.23,21.644909822221972,nr_particles=28; k=9; scaling=100,400
PSO,0.8964134317941366,0.03127050901985542,0.07,579.65,48.74824524166397,nr_particles=42; k=13; scaling=1000,600
PSO,0.9030209110002375,0.034891291232518266,0.05,782.88,52.89617809034653,nr_particles=56; k=11; scaling=1000,800
PSO,0.9074052009747215,0.0326191405819778,0.06,1011.81,10.938482711985426,nr_particles=100; k=10; scaling=1000,1000
PSO,0.9163940578338727,0.0375402492356066,0.11,2014.06,10.33950939578153,nr_particles=200; k=20; scaling=1000,2000
