pnpoly_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic algorithm,0.9945186490454977,0.0036247149388377664,0.0,31.04,3.083597157310181,pop_size=8; reproductor=<function onepoint_crossover at 0x7fda26d11040>; selector=<function tournament8_selection at 0x7fda26d190d0>; mutation=0.02,25
Genetic algorithm,0.9965701803462459,0.0028978365607051377,0.0,48.8,4.3518703462079475,pop_size=10; reproductor=<function onepoint_crossover at 0x7fda26d11040>; selector=<function tournament8_selection at 0x7fda26d190d0>; mutation=0.02,50
Genetic algorithm,0.997640880152104,0.002743933501829963,0.0,97.6,8.703740692415895,pop_size=20; reproductor=<function onepoint_crossover at 0x7fda26d11040>; selector=<function tournament8_selection at 0x7fda26d190d0>; mutation=0.02,100
Genetic algorithm,0.9990675271848194,0.0011009788289568089,0.04,182.4,32.48610377954719,pop_size=40; reproductor=<function onepoint_crossover at 0x7fda26d11040>; selector=<function tournament8_selection at 0x7fda26d190d0>; mutation=0.05,200
Genetic algorithm,0.9996161015454051,0.0006606634884260088,0.06,358.4,72.71302272268282,pop_size=80; reproductor=<function onepoint_crossover at 0x7fda26d11040>; selector=<function tournament8_selection at 0x7fda26d190d0>; mutation=0.05,400
Genetic algorithm,0.9997988485079307,0.000567765074472459,0.16,634.88,213.1835120170375,pop_size=128; reproductor=<function twopoint_crossover at 0x7fda26d110d0>; selector=<function tournament4_selection at 0x7fda26d19040>; mutation=0.02,800
Genetic algorithm,0.9998509327220545,0.0005459621787921163,0.12,1222.4,340.19538203682845,pop_size=320; reproductor=<function twopoint_crossover at 0x7fda26d110d0>; selector=<function tournament4_selection at 0x7fda26d19040>; mutation=0.02,1600
Genetic algorithm,0.9999863262461408,0.0005772549957672234,0.18,1779.2,596.6020791250451,pop_size=640; reproductor=<function twopoint_crossover at 0x7fda26d110d0>; selector=<function tournament4_selection at 0x7fda26d19040>; mutation=0.02,3200
Genetic algorithm,0.9999471632087992,0.0006091152770442302,0.18,2995.2,801.6570593566345,pop_size=1280; reproductor=<function twopoint_crossover at 0x7fda26d110d0>; selector=<function tournament4_selection at 0x7fda26d19040>; mutation=0.02,6400
