pnpoly_A100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyILS,0.9601727105567497,0.043133591865532395,0.0,25,0.0,walksize=1.0; no_improve=25; iterations=100000,25
RandomGreedyILS,0.9811140035715743,0.012064795927044394,0.02,50,0.0,walksize=1.0; no_improve=25; iterations=100000,50
RandomGreedyILS,0.9818467252250869,0.010326719183311886,0.02,99.9,0.7071067811865476,walksize=1.0; no_improve=25; iterations=100000,100
RandomGreedyILS,0.9875363886668769,0.014677631534677833,0.1,188.58,27.098527710590343,walksize=1.0; no_improve=25; iterations=100000,200
RandomGreedyILS,0.9872332483377831,0.019728222785068323,0.16,325.12,94.74921570942432,walksize=1.0; no_improve=25; iterations=100000,400
RandomGreedyILS,0.9851345806331646,0.018932416090347643,0.02,414.14,240.3935557219724,walksize=0.05; no_improve=10; iterations=100000,800
RandomGreedyILS,0.9884094487319345,0.015681596988537293,0.04,370.12,238.79208273204998,walksize=0.05; no_improve=10; iterations=100000,1600
RandomGreedyILS,0.9835718630671582,0.020397277842901955,0.1,385.7,279.02806895598536,walksize=0.05; no_improve=10; iterations=100000,3200
RandomGreedyILS,0.9859550193346289,0.015239196913716769,0.04,421.94,406.78843771821306,walksize=0.05; no_improve=10; iterations=100000,6400
