pnpoly_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
iRace,0.9819811923284717,0.018158519444543254,0.0,184.25,6.927253575932034,firstTest=2; nbConfigurations=0
iRace,0.9962683478581271,0.0056355738683336295,0.1,383.1,8.807293628160219,firstTest=2; nbConfigurations=0
iRace,0.9984766474887768,0.0012467604359002267,0.15,778.55,11.422392596631362,firstTest=2; nbConfigurations=0
iRace,0.9990841841217656,0.0006300579013134586,0.3,1572.3,10.458439050279972,firstTest=2; nbConfigurations=0
iRace,0.9992235379248522,0.0009189247190298475,0.5,3165.8,3.3654592241585224,firstTest=2; nbConfigurations=0
iRace,0.9994447613059425,0.0007025139952732363,0.6,6366.2,5.217379862687683,firstTest=2; nbConfigurations=0
