GEMM_V100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyILS,0.5378878709594065,0.42135974907921336,0.0,25,0.0,walksize=1.0; no_improve=25; iterations=100000,25
RandomGreedyILS,0.86141412637986,0.19266153219871027,0.06,49.92,0.565685424949238,walksize=1.0; no_improve=25; iterations=100000,50
RandomGreedyILS,0.9217856702895718,0.05682318221303196,0.02,100,0.0,walksize=1.0; no_improve=25; iterations=100000,100
RandomGreedyILS,0.9583127646199968,0.03090994348826147,0.08,187.58,31.37728933025104,walksize=1.0; no_improve=25; iterations=100000,200
RandomGreedyILS,0.9786615917797289,0.016591574928409857,0.18,342.78,103.48563737474463,walksize=1.0; no_improve=25; iterations=100000,400
RandomGreedyILS,0.9808057303559475,0.015117385301785701,0.2,412.54,246.71690874608592,walksize=0.05; no_improve=10; iterations=100000,800
RandomGreedyILS,0.987526405841373,0.01240012112647952,0.4,427.3,305.8759419057581,walksize=0.05; no_improve=10; iterations=100000,1600
RandomGreedyILS,0.9883233284680555,0.013689796454863725,0.48,493.44,326.9485486577173,walksize=0.05; no_improve=10; iterations=100000,3200
RandomGreedyILS,0.9867864944952823,0.014886841355923679,0.44,458.42,317.05346809750097,walksize=0.05; no_improve=10; iterations=100000,6400
