pnpoly_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.8343469365823543,0.13337219800911093,0.04,25.86,0.35050983275386566,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,25
Genetic local search,0.9209243555313249,0.09609181394561032,0.24,50.78,0.4184519575964803,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,50
Genetic local search,0.9621006156759548,0.0487871540271454,0.46,101.42,1.0707616972253433,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,100
Genetic local search,0.9949410066521075,0.01638977230794469,0.84,207.2,2.6878411031752543,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,200
Genetic local search,0.9998921443478029,0.0007296089201341469,0.96,410.86,2.466179396622746,pop_size=20; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,400
Genetic local search,1.0,0.0,1.0,818.16,3.3827895746147805,pop_size=40; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,800
Genetic local search,1.0,0.0,1.0,1625.5,5.0880010910023215,pop_size=80; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,1600
