pnpoly_TITAN_RTX_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
RandomGreedyMLS,0.9900195414465437,0.009670332856243429,0.0,25,0.0,iterations=10000,25
RandomGreedyMLS,0.9960818997516724,0.0049615280313305594,0.06,50,0.0,iterations=10000,50
RandomGreedyMLS,0.9983163597958443,0.002035779515287256,0.26,96.64,8.973339196003382,iterations=10000,100
RandomGreedyMLS,0.99916914750812,0.0006054058343030168,0.2,185.86,36.54631392116707,iterations=10000,200
RandomGreedyMLS,0.9997048967014993,0.0004447519738834415,0.68,280.3,118.30594202476622,iterations=10000,400
RandomGreedyMLS,0.9999440635719027,0.00022365056217783685,0.94,356.4,215.5044390849203,iterations=10000,800
RandomGreedyMLS,1.0,0.0,1.0,312.34,198.75157398940343,iterations=10000,1600
