pnpoly_K20_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
BestMLS,0.5545140870701718,0.17141554791202893,0.0,25,0.0,iterations=10000,25
BestMLS,0.7225528011220159,0.16370927272710903,0.0,50,0.0,iterations=10000,50
BestMLS,0.8594505797531523,0.133465622626693,0.16,99.96,0.282842712474619,iterations=10000,100
BestMLS,0.9855851090722524,0.026310766183829583,0.7,180.66,32.96356058635978,iterations=10000,200
BestMLS,0.9943355195435577,0.017160584304720013,0.86,270.86,99.79980164390741,iterations=10000,400
BestMLS,0.999896828454327,0.0007295329957081454,0.98,303.22,180.98971557206542,iterations=10000,800
BestMLS,1.0,0.0,1.0,294.56,180.99387293722495,iterations=10000,1600
