pnpoly_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Random sampling,0.8470603201540108,0.055707202451045316,0.0,25,0.0,NA,25
Random sampling,0.8775261017651071,0.04994445685314769,0.0,50,0.0,NA,50
Random sampling,0.9178812907643277,0.04653718386983364,0.02,100,0.0,NA,100
Random sampling,0.9414210071723398,0.037710857284099376,0.04,200,0.0,NA,200
Random sampling,0.9608095481450414,0.027107034898060763,0.04,400,0.0,NA,400
Random sampling,0.9811137172816664,0.013885626207258004,0.14,800,0.0,NA,800
Random sampling,0.988536342484904,0.008020771359654321,0.26,1600,0.0,NA,1600
