pnpoly_GTX_Titan_X_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings,MaxFEval
Genetic local search,0.8447790520113511,0.12089206168803329,0.02,25.88,0.3282607226593159,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,25
Genetic local search,0.9496252212484249,0.0790798234907502,0.3,50.76,0.4314191105869,pop_size=2; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,50
Genetic local search,0.9831191629085968,0.02526414270830479,0.56,101.28,1.0309496315810696,pop_size=4; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,100
Genetic local search,1.0,0.0,1.0,206.88,2.378818091028417,pop_size=16; reproductor=<function twopoint_crossover at 0x7fb2ff74ad30>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,200
Genetic local search,1.0,0.0,1.0,410.6,2.4159335036125373,pop_size=20; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,400
Genetic local search,1.0,0.0,1.0,816.54,4.016344159576376,pop_size=40; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,800
Genetic local search,1.0,0.0,1.0,1621.8,4.430874976934521,pop_size=80; reproductor=<function uniform_crossover at 0x7fb2ff74ac10>; hillclimber=<function RandomGreedyHillclimb at 0x7fb2ff6800d0>; selector=<function RTS at 0x7fb2ff66daf0>; nbour_methodHamming,1600
