pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.5856825227833434,0.13103080817338122,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.8566012955924042,0.07986520438774836,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.5905095827962259,0.14821443103899642,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.8508626427564859,0.06961219857573994,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.676205746561819,0.15567276436889144,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.8401753725119548,0.0740248378700757,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.6693164860651142,0.17994848984578943,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.8248964590273056,0.07720668396068671,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.663816087585503,0.1427218336350578,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.8706456769112806,0.07179930209735529,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.6372612227891067,0.15015356483578177,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.8442393047646449,0.08155128013428405,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.6184722958233965,0.13010020094970004,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.8163857256366639,0.051860487615781894,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.6310245080927059,0.12115570291804618,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.8367370685347402,0.07853235241108665,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.5833710681058877,0.15087748390584454,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.8526289616153387,0.0920552624946368,0.1,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.5934765616229342,0.11936756159438584,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.8682154272364547,0.07275977402991393,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.6067229344020886,0.11240241940535384,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.8444175738679468,0.07075125208730154,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.5556612570538355,0.14080571576131096,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.8198278634551199,0.0743309465598143,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.6310963658397204,0.21278888891050085,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.8363159529600891,0.06017442414969429,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.6394748688023372,0.16508037176200352,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.8589863428694556,0.0731278724210484,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.5801650759469678,0.18181247336745282,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.8311337410371179,0.06374294085138241,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.6828577350888579,0.2062435456057489,0.1,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.8256740521710265,0.06961682904747003,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.6607809004641992,0.1834623185314948,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.8358359813829791,0.07505618624421756,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.6686714992079684,0.1664958481553211,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.8729155998233917,0.06307400346512945,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.6111441896129797,0.16375970684377877,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.8472150638148158,0.07305234897762655,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.6389534627013871,0.1821357637677532,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.8257459326925819,0.06468923298838915,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.5701706388381399,0.15256947834970677,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.8482314906753825,0.0786738480485378,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.606301035941072,0.1705410033786049,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
