GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.2648287800168034,0.3258540681198233,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.43676214222808596,0.3805139673698731,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.24598518038815062,0.3569036849157789,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.44712886606981855,0.33158507059748615,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.4059802297781744,0.3706509235928777,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.3251923310380408,0.32769487049972523,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.4584021671893312,0.3686700906560383,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.41809153249229797,0.3395841027296387,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.5112629768899096,0.3385062610453993,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.4130075765120612,0.34290573990714546,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.42357159112265075,0.4075352346246571,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.4747696034021261,0.32016171077748456,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.4369993427229148,0.36063391109937315,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.3448847323795605,0.3469748529021692,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.4733474271719685,0.3351095833328964,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.44863585673293405,0.3362892926190622,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.5457499496117171,0.33768055433373256,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.616636034456331,0.24992343373272746,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.44872531017273354,0.36690013034360697,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.5309385800402832,0.33082562502232893,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.4820948686817314,0.3782820886268079,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.5818067520736787,0.3173425574564179,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.3887748288350661,0.3586387704865425,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.36959026944622353,0.34737613433862097,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.4984493153959087,0.3930142353586781,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.48160781053579893,0.33027836906281527,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.40565520026327817,0.3760076590061844,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.48746641317213535,0.31324893164379763,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.44820936341646206,0.3548546170924795,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.4676171598101765,0.32178461227799,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.25784446805498534,0.3554772748630211,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.43166302097424064,0.34091966769735027,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.4246206272537507,0.36602952218048357,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.39928964222716207,0.34431887472513484,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.3933503172477158,0.36179863661910167,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.4990181346349817,0.3084136372886855,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.47305129740257107,0.3370977005257789,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.3003533664883558,0.3440960979394976,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.5020742656479601,0.34100129010248814,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.468946125094146,0.35114254176993076,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.49481481936417737,0.3513322252056382,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.31777788690568026,0.3533574568145477,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.47859092477066656,0.3826006953524475,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.7133142333762837,0.3155549551349289,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8366092781144769,0.12191636059468182,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.793715699449295,0.21504119099277516,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.818127312196047,0.21816718878915556,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.7730831766407018,0.18428972904672833,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.6793228184456769,0.3608296791719605,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.7866546340865802,0.14832121886140404,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.7446772283668979,0.25144322967390625,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.6012039296482615,0.34733185434303365,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.5891714276205121,0.3808291658637839,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.709547702407189,0.29280302953314624,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.7467325310421141,0.2738514821447921,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.7301309253719979,0.2781732426404346,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.7452406035348634,0.24077716731586832,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.5036675060976354,0.39333016534293186,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.6095825996055979,0.4159492355267861,0.0,50,0.0,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.621232555942699,0.3343793307224225,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.5484469394962569,0.39398726793108807,0.0,50,0.0,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.6757145125444532,0.353603167914188,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.6922669312747406,0.36775844251986356,0.0,50,0.0,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.5057496322586299,0.4224510611674812,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.5312371164454975,0.4265249021236926,0.0,50,0.0,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.7015235613339365,0.25690397454489694,0.0,50,0.0,walksize=0.05; no_improve=100; nbour=Hamming
