convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.9720523792065568,0.0378853890399359,0.54,665.86,170.9530320985079,iterations=1000000; method=CG
Dual annealing,0.9899564900990379,0.02492998120592832,0.74,706.16,124.62046217149387,iterations=1000000; method=Powell
Dual annealing,0.9772289533569308,0.032802876802378186,0.66,630.54,158.71926313398737,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9816054768572758,0.03017953637180186,0.66,629.24,180.62437740871445,iterations=1000000; method=BFGS
Dual annealing,0.9740832630479573,0.033123177431032526,0.46,682.54,151.0473922114432,iterations=1000000; method=TNC
Dual annealing,0.9793487001768282,0.03115334170277893,0.64,620.78,188.47738888908924,iterations=1000000; method=trust-constr
Dual annealing,0.9852941461798769,0.027894123289745634,0.66,687.12,293.3205838292962,iterations=1000000; method=COBYLA
Dual annealing,0.9693063654105789,0.033870710536136314,0.5,824.88,215.71330557960866,iterations=1000000; method=L-BFGS-B
Dual annealing,0.9793325857016679,0.031555235928046786,0.64,770.76,246.95538389080133,iterations=1000000; method=SLSQP
Dual annealing,0.9797457275434456,0.03410439000155703,0.66,755.02,231.5403160557221,iterations=1000000; method=CG
Dual annealing,0.9943909077405846,0.015832998134593004,0.74,805.76,199.8126224281956,iterations=1000000; method=Powell
Dual annealing,0.9764140165035595,0.033838655617515416,0.56,755.66,261.47482885059696,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9806056663541787,0.03226234650192453,0.68,694.38,257.2625824455057,iterations=1000000; method=BFGS
Dual annealing,0.9838570054890596,0.027965362477685735,0.64,735.94,273.0825105183787,iterations=1000000; method=TNC
Dual annealing,0.9795165950913314,0.03229322416967664,0.62,717.04,267.9563595293922,iterations=1000000; method=trust-constr
Dual annealing,0.9925594415115807,0.020431781761825297,0.86,1040.12,572.54233031279,iterations=1000000; method=COBYLA
Dual annealing,0.9868216631218807,0.02665624212558513,0.7,1172.22,709.9676994664717,iterations=1000000; method=L-BFGS-B
Dual annealing,0.997779118460005,0.011320133390577544,0.92,950.62,552.804829197135,iterations=1000000; method=SLSQP
Dual annealing,0.9858313434124119,0.0282999552519562,0.76,1143.5,633.1692313356707,iterations=1000000; method=CG
Dual annealing,0.9987675715845317,0.004221799317949741,0.92,980,562.1969296919915,iterations=1000000; method=Powell
Dual annealing,0.9939567548811142,0.019827866206456133,0.9,927.72,574.5129628561882,iterations=1000000; method=Nelder-Mead
Dual annealing,0.990617777093181,0.024170841988109506,0.84,960.12,574.5697819114005,iterations=1000000; method=BFGS
Dual annealing,0.985702094543837,0.027823489987086898,0.74,1085.12,666.2012516913354,iterations=1000000; method=TNC
Dual annealing,0.9869653647378623,0.02511922847782423,0.72,1136.58,627.0926139978147,iterations=1000000; method=trust-constr
