convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.1445958313242063,0.2633917313765826,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.2744516445848904,0.3257504812219791,0.0,5.4,4.97784565534339,nr_particles=1; k=1; scaling=10.0
PSO,0.2434306528024439,0.31626053100347934,0.0,1.4,0.5982430416161189,nr_particles=1; k=1; scaling=100.0
PSO,0.14868666511403314,0.2861906660612797,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.16437358314088255,0.29300585104722593,0.0,2.95,1.0990426455975697,nr_particles=1; k=1; scaling=10.0
PSO,0.054530451987017364,0.13796133674979855,0.0,1.45,0.7591546545162482,nr_particles=1; k=1; scaling=100.0
PSO,0.11648047963559105,0.23413138125968416,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.34302635126013514,0.3609259059854042,0.0,5.8,5.625131577408469,nr_particles=1; k=1; scaling=10.0
PSO,0.11961412670205258,0.23371444239826542,0.0,1.4,0.5026246899500346,nr_particles=1; k=1; scaling=100.0
PSO,0.20121379712394533,0.2619126173064438,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.14538684280962547,0.3005084113878982,0.0,5.55,4.322219215561425,nr_particles=1; k=1; scaling=10.0
PSO,0.20792761161021409,0.2624395631524253,0.0,1.65,1.814415956487898,nr_particles=1; k=1; scaling=100.0
PSO,0.1475795438962287,0.23929841379106034,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8319710815577089,0.07513702620678314,0.0,52.3,10.285912696499032,nr_particles=50; k=25; scaling=10.0
PSO,0.7810272250321921,0.0802802016661017,0.0,52.4,10.73312629199899,nr_particles=50; k=16; scaling=10.0
PSO,0.7819310919020191,0.06309343306015687,0.0,52.2,9.838699100999074,nr_particles=50; k=16; scaling=100.0
PSO,0.7895560035099729,0.06827658635297022,0.0,50,0.0,nr_particles=50; k=10; scaling=10.0
PSO,0.7782862350833185,0.06554835866474777,0.0,50,0.0,nr_particles=50; k=10; scaling=100.0
PSO,0.7969944058372112,0.08731876164889138,0.05,50,0.0,nr_particles=50; k=10; scaling=1000.0
PSO,0.8031078912698232,0.06488450095744909,0.0,52.2,9.838699100999074,nr_particles=50; k=5; scaling=10.0
PSO,0.773725956769389,0.08014639283605526,0.0,51.55,6.931810730249348,nr_particles=50; k=5; scaling=100.0
PSO,0.8149477342492247,0.06929592117931656,0.0,52.4,7.829767758873486,nr_particles=50; k=5; scaling=1000.0
PSO,0.7876079403599332,0.09374733976649195,0.05,51.6,2.702825032793417,nr_particles=25; k=2; scaling=1000.0
PSO,0.7444180785858002,0.10595643949712037,0.0,23.4,3.4853075073876383,nr_particles=16; k=1; scaling=100.0
PSO,0.7196162640992059,0.10689330061552046,0.0,16.8,1.6091841672756186,nr_particles=16; k=1; scaling=1000.0
PSO,0.8218486350008288,0.21091738003839997,0.05,52.05,10.179830419433374,nr_particles=10; k=5; scaling=1000.0
PSO,0.748009365198824,0.2005923208337745,0.0,51.25,5.683540408842658,nr_particles=10; k=3; scaling=100.0
PSO,0.825744819591213,0.08370321830031816,0.0,51.05,5.605213738353925,nr_particles=10; k=3; scaling=1000.0
PSO,0.7983260530576197,0.0988786832461859,0.0,51.15,1.0399898784932577,nr_particles=10; k=2; scaling=100.0
PSO,0.7885379392847187,0.1155599610372817,0.05,46.5,8.964843615626073,nr_particles=10; k=2; scaling=1000.0
PSO,0.7798606176222077,0.10548683693276645,0.0,48.5,4.322523629353088,nr_particles=10; k=1; scaling=10.0
PSO,0.6160503964713786,0.21374333019739367,0.0,15.1,3.2101811721295013,nr_particles=10; k=1; scaling=100.0
PSO,0.5975564943050736,0.09439203169843403,0.0,10.35,0.6708203932499369,nr_particles=10; k=1; scaling=1000.0
PSO,0.7338145812351451,0.2647199838682699,0.05,41.4,11.904886214889821,nr_particles=5; k=2; scaling=10.0
PSO,0.6018373070365419,0.31556005032764045,0.0,30.6,18.703785150267535,nr_particles=5; k=2; scaling=100.0
PSO,0.6361016208028031,0.27494714344780974,0.0,26.25,17.371710214871584,nr_particles=5; k=2; scaling=1000.0
PSO,0.660582138015272,0.1850400061922719,0.0,30.3,8.535375303930541,nr_particles=5; k=1; scaling=10.0
PSO,0.47781518619163565,0.2774673960362693,0.0,6.6,1.3138933706635727,nr_particles=5; k=1; scaling=100.0
PSO,0.3647502994508942,0.3264505171587869,0.0,5.2,0.41039134083406165,nr_particles=5; k=1; scaling=1000.0
PSO,0.6152945901273336,0.22477840378364214,0.0,30.45,10.445220513658262,nr_particles=5; k=1; scaling=10.0
PSO,0.48010374927994376,0.2573780224622703,0.0,7.1,3.2428058026474864,nr_particles=5; k=1; scaling=100.0
PSO,0.39010497753132417,0.26535436277306396,0.0,5.75,2.1490511982341367,nr_particles=5; k=1; scaling=1000.0
PSO,0.5958181934893503,0.243580920500982,0.0,30.1,11.177515023710017,nr_particles=5; k=1; scaling=10.0
PSO,0.49732867098487765,0.2352171794672156,0.0,6.55,2.3277502126799554,nr_particles=5; k=1; scaling=100.0
PSO,0.45219782879025955,0.3258138539875005,0.0,5.15,0.4893604849295929,nr_particles=5; k=1; scaling=1000.0
PSO,0.5700484592897617,0.2685553941470017,0.0,16.95,8.876195249388285,nr_particles=3; k=1; scaling=10.0
PSO,0.4474281280987598,0.27136609411002754,0.0,4.2,1.1516578439248717,nr_particles=3; k=1; scaling=100.0
PSO,0.16399403101184096,0.22858970231090386,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.4135558147008592,0.3831232314916758,0.0,17.3,6.0879518637007015,nr_particles=3; k=1; scaling=10.0
PSO,0.2810734671008246,0.2684327567755587,0.0,4.3,2.1545545393788235,nr_particles=3; k=1; scaling=100.0
PSO,0.28031142923009444,0.3054370143531811,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.44027770569533,0.29332321103526215,0.0,15.9,5.866048611781995,nr_particles=3; k=1; scaling=10.0
PSO,0.27028702719136294,0.28963235974583074,0.0,4.05,1.050062654772261,nr_particles=3; k=1; scaling=100.0
PSO,0.4028367295136523,0.2701875719051407,0.0,3.5,1.5727950313140984,nr_particles=3; k=1; scaling=1000.0
PSO,0.6132483353403484,0.3006142177889832,0.0,18.45,8.425993616248034,nr_particles=3; k=1; scaling=10.0
PSO,0.2967320071248868,0.3192083921361077,0.0,4.1,1.6189665319514628,nr_particles=3; k=1; scaling=100.0
PSO,0.3682719503481281,0.28047517525296234,0.0,3.5,1.5727950313140984,nr_particles=3; k=1; scaling=1000.0
PSO,0.29377072361086004,0.3079011905208563,0.0,7,5.047146145152359,nr_particles=1; k=1; scaling=10.0
PSO,0.18260055019637558,0.33526667800956195,0.0,2.05,3.3320611607453077,nr_particles=1; k=1; scaling=100.0
PSO,0.16580918942576994,0.2451171685243172,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.3122000033200345,0.3328482753032612,0.0,6.85,6.351750691116998,nr_particles=1; k=1; scaling=10.0
PSO,0.1591675976695054,0.27720087135842525,0.0,1.35,0.4893604849295929,nr_particles=1; k=1; scaling=100.0
PSO,0.21264928451567264,0.30813929738323453,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.26553590924703846,0.32093908486495853,0.0,4.35,4.029823033857756,nr_particles=1; k=1; scaling=10.0
PSO,0.1285783891107677,0.26119919234163297,0.0,1.7,1.688973528196155,nr_particles=1; k=1; scaling=100.0
PSO,0.18217950336359254,0.2678223332122877,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.20420891541667752,0.279103291785494,0.0,7.15,8.701330811705578,nr_particles=1; k=1; scaling=10.0
PSO,0.10240137954780246,0.19615474384713025,0.0,1.3,0.47016234598162726,nr_particles=1; k=1; scaling=100.0
PSO,0.1424317107017563,0.24061924235603463,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.8497395749289716,0.05945739918155564,0.0,87.6,21.818389153719803,nr_particles=20; k=2; scaling=100.0
PSO,0.825479469355346,0.11202881528124341,0.05,96.1,15.807726292111582,nr_particles=20; k=2; scaling=1000.0
PSO,0.8865225324270165,0.04487854711064965,0.05,102.35,2.1343062474478063,nr_particles=10; k=5; scaling=10.0
PSO,0.8340626477091971,0.20285315571645104,0.05,97.9,15.443956406105407,nr_particles=10; k=5; scaling=100.0
PSO,0.8850382806283202,0.042401197306328395,0.0,101.8,3.1887961760877066,nr_particles=10; k=5; scaling=1000.0
PSO,0.8533321402049175,0.0893768479853657,0.0,98.5,12.571898487457945,nr_particles=10; k=3; scaling=10.0
PSO,0.8617365290306359,0.06900544819947287,0.1,99.65,9.729364127001798,nr_particles=10; k=3; scaling=100.0
PSO,0.8755293500063863,0.057407376487880614,0.05,97.95,10.951928453112961,nr_particles=10; k=3; scaling=1000.0
PSO,0.8344778158665015,0.05796201465139277,0.0,98,10.503132364855935,nr_particles=10; k=2; scaling=10.0
PSO,0.7815977350776345,0.11649743795163418,0.05,66.9,33.16926287996162,nr_particles=10; k=2; scaling=100.0
PSO,0.7510559616702372,0.210027715421376,0.0,71,35.20765467009157,nr_particles=10; k=2; scaling=1000.0
PSO,0.7471023670999041,0.11289879397468046,0.0,58.55,16.944103150622855,nr_particles=10; k=1; scaling=10.0
PSO,0.6121269849070455,0.21075163549117049,0.0,16.6,5.06172427455101,nr_particles=10; k=1; scaling=100.0
