GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7860651210559277,0.08464966468280753,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8058848723560379,0.10376410568443799,0.0,49.75,1.118033988749895,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9201518193161263,0.03867859897448608,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.873287846106698,0.09307389658351434,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9039091990643542,0.10085857071552105,0.05,49.1,4.024922359499621,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8520205890639397,0.214154779846255,0.1,49.1,3.059067625411721,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8428240645536601,0.1200770162176769,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8775780115056377,0.1244177253126018,0.05,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7163229281650769,0.20353158133505797,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7768343624737116,0.14468041177076404,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7571799457096047,0.1019241933510229,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7233239982149984,0.19783198371118801,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.783227248074689,0.10621174943478615,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8080181938358243,0.07144054424027717,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.5997325781211651,0.24993282216760854,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.638011057223191,0.1818035080359116,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6475976610856264,0.2348506678695091,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6669999659456904,0.20226291954860273,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.6192537358356428,0.242002246850324,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6585393809255673,0.1897439963551742,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7760971749406799,0.1012341199135004,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.781583436746458,0.11084798291340085,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.759669316645299,0.11796187930227393,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.7845928073294364,0.11324378313384176,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7531367624186399,0.10850043836119466,0.05,49.2,3.5777087639996634,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7424106222919679,0.1392931434351968,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7676049743684219,0.10475049077888195,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.780189330338141,0.11126344949283548,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7138326530063585,0.19899259788973664,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.7614675613384384,0.09500803003865319,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.7628889101480056,0.18699659692930623,0.0,49.35,2.9068883707497264,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7034347551956545,0.1514848543311871,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9761103830736817,0.08073767727862,0.75,50.7,19.428952893203373,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9207146938951895,0.14581813352764475,0.6,61.7,23.848424862473678,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9484871664688228,0.11079419940159864,0.65,57.25,27.674565560228192,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9539218094209123,0.10866136754976022,0.5,64.8,24.21960928017235,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.927473897255771,0.12868180117227335,0.5,61.6,27.996992319664777,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.962516353163143,0.10890335602599399,0.8,56.4,24.258259580908454,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8470498409969338,0.103085213510481,0.0,98.4,7.155417527999327,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8947669968916804,0.08524227429678428,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8243491911619407,0.08955881702754978,0.0,99.35,2.906888370749727,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.85460421756962,0.10676781302494444,0.05,97.75,7.866484535506849,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8314556958589615,0.10245927954524806,0.05,95.45,15.746261043247863,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8428211066529167,0.10604176126532956,0.05,95.5,13.986835916223813,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8732094232804392,0.25201586823874955,0.4,91.95,13.620707918846447,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.926538286617488,0.08333495791391785,0.3,85.5,27.764991209112697,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9331433149718481,0.08812980604412998,0.35,85.2,22.647411842369422,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9136185288730826,0.09816437908072592,0.05,95.95,18.1121506177483,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9227188431853446,0.09719729803130646,0.3,87.15,24.310004438285766,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9717695641627322,0.03328127274020835,0.2,92.75,20.025969981107295,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8454588079219161,0.10409736512034093,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8083042892016346,0.06945149300145301,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8229322960490035,0.08170304750619525,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8222592514501866,0.08807125526264906,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8440149738584173,0.10120883627705711,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8297016431386115,0.07813595257614236,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7637980361081962,0.11366955920661807,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.7043938817255118,0.19108992932978036,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.7712462814881273,0.11087699855862214,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7508972695115433,0.20076726847077844,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7220014531203495,0.14385797500751332,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7181186833713997,0.14696615930536414,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.866188626136914,0.08807458252114793,0.05,96.1,12.353989340758675,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8315294374539526,0.07995211077282373,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8140332311071358,0.10087495789395247,0.05,98.25,7.826237921249264,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.7816477014633213,0.20313625170844696,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7679069387123012,0.22279142617096256,0.1,98.3,7.602631123499285,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8833372337565293,0.08551068384096124,0.05,96.85,9.707701771491053,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7577579978615776,0.21097898428240547,0.0,68.5,11.940642669823976,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7842158235772835,0.16174900033708534,0.0,71.25,12.130323031234793,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8626899693194532,0.09355887057933487,0.0,71.05,13.304035794489304,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8675510018503216,0.1240565278644374,0.05,87.7,16.271059228613623,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.8031857635030313,0.21386114569919096,0.05,87.15,18.666815475597332,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.7838144504252758,0.20051743962729512,0.05,85.95,20.461710068989063,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.978723887580225,0.08005754649053458,0.75,60.5,31.461756232975265,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9964452485665753,0.007384611966089865,0.8,54.6,38.50276818482973,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9213389924092705,0.1345037177922434,0.45,70,42.48591097739281,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9207872962846883,0.1440187580513543,0.55,80.95,30.846777533650517,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9789602466209946,0.08018216984866601,0.8,64.6,32.23825775624196,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.9777401052844361,0.06108170706095206,0.65,72.05,49.11905515120755,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.918643017502934,0.09621803891424345,0.15,175.15,52.35936049627561,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.8716327268605052,0.10695687366478082,0.1,180.05,38.85529835847765,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9072519369703678,0.10134107635590364,0.1,182.8,27.221508523882168,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.875394765099774,0.12434099467520109,0.15,159.4,57.31574597649502,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9381613700143359,0.05836152573060524,0.15,183.7,29.57256908192562,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8961452358943753,0.13321563434924757,0.15,163.55,43.75106013753147,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9809824124100145,0.035746411280273414,0.6,156.5,42.98775835538593,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9617364651412963,0.06809743058256748,0.5,142,63.198934034981114,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9667130379797269,0.14492712582770187,0.8,126.15,53.94565979322447,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9900040032749404,0.01333842849896805,0.6,146.9,44.377448042185144,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9750697203658029,0.03581777400100953,0.4,163.25,44.290755837212565,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9252436316769589,0.22243611786892725,0.65,105.15,67.81342438128154,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8823840370045596,0.061226936135826575,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8514369938458635,0.06328237725689122,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8850727130362788,0.06977774415851384,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8893191480594622,0.05236428755025412,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8750016584989868,0.05208243681249857,0.0,200,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8458071512781601,0.07618483052104945,0.05,195.2,21.46625258399798,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7797042484029629,0.13556100839645166,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8400448343001395,0.13444822447054686,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8109082056930093,0.11601035898976353,0.05,191.6,37.56594202199647,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8413676983695507,0.11296715050295973,0.05,198.55,6.48459713474939,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8123948780759037,0.11180407948573894,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.871899521605451,0.10786413901117141,0.0,200,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.869150203996958,0.1051642745991962,0.05,176.9,43.95679697157198,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8965289529377032,0.08667057959900695,0.05,178.9,30.129370178754503,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8636936638818768,0.10686298325088377,0.15,181.45,32.26122815556257,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8770145821105035,0.09520557666382523,0.05,189.1,26.355664526465254,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9182822955621981,0.09922708700549684,0.15,171.6,42.895711968251064,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8682147571069629,0.19136525376649685,0.15,183.1,30.705562671075878,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8533356968979043,0.12380687665790845,0.05,105.7,23.662317366604118,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.8320337207703792,0.08871387338721369,0.0,115.7,20.10524937998977,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.798285532955259,0.20865555769575042,0.0,104.5,22.995422885526818,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8589318888816739,0.11274469761077395,0.05,91.8,15.268129861698329,method=Nelder-Mead; iterations=1000000; temperature=0.5
