pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.7407207324322513,0.12043702070195171,0.0,50,0.0,walksize=0.2; no_improve=200; nbour=Hamming
BestILS,0.8502550450475783,0.08133744532494278,0.02,49.72,1.9798989873223332,walksize=0.2; no_improve=200; nbour=adjacent
BestILS,0.790783701029107,0.10889662921270685,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.850798903896045,0.07573195075723335,0.0,50,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.7447189000062824,0.12708966130886057,0.0,50,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.8422273971440596,0.08365072631289613,0.02,49.6,2.8284271247461903,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.7602206512558692,0.11615626575061824,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.8348544137399081,0.06540254596931981,0.0,50,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.7885650144813126,0.09214055446869386,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.8379853349320683,0.07285640804179781,0.0,50,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.7695797651567132,0.1079578120437428,0.0,50,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.8752586503596615,0.07100591190693543,0.04,48.88,5.575602831871681,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.792882033207598,0.11453800415623075,0.02,50,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.8509176920134836,0.07309446219367,0.02,49.4,4.242640687119285,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.7491635843758363,0.12675944834761527,0.0,50,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.8553649861703758,0.08473003814568295,0.02,50,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.7449303206064675,0.11004502627221824,0.0,50,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.8474152236206861,0.06967471025256466,0.0,50,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.7633035423733999,0.11111664038059993,0.02,50,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.8619739332361235,0.07612801773518652,0.0,50,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.7495715239814597,0.1154086841204013,0.02,50,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.8477377097804897,0.07912194110619554,0.02,49.5,3.5355339059327378,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.7675991047273976,0.1246748287648674,0.0,50,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.8450327401902143,0.0699406724019192,0.02,49.66,2.4041630560342617,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.7604619410002794,0.12528527608241774,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.8451096166680524,0.07783853980391346,0.0,50,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.732323601041994,0.11394163634801889,0.0,50,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.8335005170971179,0.07475820438900554,0.02,49.6,2.8284271247461903,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.7049809121973087,0.11620439636090174,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.8592150296344544,0.07135834949936813,0.0,50,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.7619882976988317,0.1299304181232774,0.0,50,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.8447155550451368,0.06720328528608566,0.0,50,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.7160890446026935,0.13310146364402844,0.02,50,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.8543856943444341,0.08562557810304407,0.0,50,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.7571803816031261,0.11044480191845861,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.8497650081054448,0.0735088480420968,0.0,50,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.7542940650397331,0.11869452396066399,0.0,50,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.8285394514660559,0.07667297884132386,0.0,50,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.7550663717662237,0.10193901528931665,0.0,50,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.828989301569786,0.06321043989362457,0.0,50,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.7621172175794135,0.10850723423515639,0.02,50,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.8534425220715668,0.06836201527923086,0.0,50,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.7712963471158155,0.12742515837168933,0.0,50,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.8521060026547222,0.08112837193119746,0.02,49.5,3.5355339059327378,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.7518150158511178,0.11331396971811956,0.0,50,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.8443621536120403,0.0858670058338986,0.04,49.28,3.7035008258871684,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.8758529998109056,0.07915268505881054,0.1,99.22,5.234461943383932,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8851715426478336,0.08137293736316024,0.08,97.04,12.626438087422367,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.8952449086722598,0.09659266269278355,0.16,99.18,5.236021234424755,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.8857076721498593,0.07964144702316141,0.06,99.04,4.060561939597292,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.903863358750869,0.07555759250799413,0.14,99.74,1.3218725123004524,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.9096045141469853,0.08480981890176752,0.08,96.52,13.880304648776884,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.8967248080604804,0.09814992942946761,0.1,99.96,0.282842712474619,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.9150734655160216,0.0846177229342451,0.06,98.08,9.555081990058206,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.8992520609762595,0.0917055977796702,0.18,99.76,0.6565214453186319,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.9002646357552897,0.08544376396594659,0.1,96.74,13.370405943801437,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.8748519203928276,0.09718125794413159,0.1,99.18,5.236021234424755,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.9110537034867205,0.07487685235177302,0.04,96.8,15.835893097772592,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.8873094178586692,0.0935136122054669,0.08,99.18,5.236021234424755,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.9328663622667765,0.07163122182904287,0.12,98.94,4.263801121065568,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.891525867938595,0.09800697954179227,0.1,99.22,5.234461943383932,walksize=0.05; no_improve=5; nbour=Hamming
BestILS,0.8951237545772815,0.06920909634068811,0.06,97.82,11.178861246813568,walksize=0.05; no_improve=5; nbour=adjacent
BestILS,0.9004698115691113,0.08222003592029771,0.06,99.92,0.3958973274443148,walksize=0.05; no_improve=10; nbour=Hamming
BestILS,0.9002658303178022,0.08282989367291481,0.06,99.3,3.4181388897158285,walksize=0.05; no_improve=10; nbour=adjacent
BestILS,0.8943790412127346,0.08804494992207913,0.08,99.96,0.282842712474619,walksize=0.05; no_improve=25; nbour=Hamming
BestILS,0.8912757916257013,0.08473485174226426,0.12,94.86,14.735781801659607,walksize=0.05; no_improve=25; nbour=adjacent
BestILS,0.8817089226929439,0.09139860631855103,0.08,99.22,5.234461943383932,walksize=0.05; no_improve=50; nbour=Hamming
BestILS,0.9115030221580862,0.08684959824298921,0.06,99.74,1.3218725123004527,walksize=0.05; no_improve=50; nbour=adjacent
BestILS,0.9225668786450154,0.06240885672733127,0.1,99.22,5.234461943383932,walksize=0.05; no_improve=100; nbour=Hamming
BestILS,0.8784640425331611,0.07587733378422273,0.02,99.7,2.1213203435596424,walksize=0.05; no_improve=100; nbour=adjacent
BestILS,0.8979936922309659,0.09250435683636711,0.02,100,0.0,walksize=0.05; no_improve=200; nbour=Hamming
BestILS,0.894436033172377,0.07362141808419118,0.04,99.16,5.939696961966999,walksize=0.05; no_improve=200; nbour=adjacent
BestILS,0.8983110943978173,0.07199669946133132,0.08,99.96,0.282842712474619,walksize=0.05; no_improve=500; nbour=Hamming
BestILS,0.904581022658419,0.07262471917302882,0.06,97.6,11.437496514998912,walksize=0.05; no_improve=500; nbour=adjacent
BestILS,0.8838148016539678,0.08924280099309174,0.08,99.92,0.3958973274443148,walksize=0.1; no_improve=5; nbour=Hamming
BestILS,0.8802578008766683,0.07929933805005754,0.02,98.54,10.323759005323593,walksize=0.1; no_improve=5; nbour=adjacent
BestILS,0.895963721578104,0.09501008898657817,0.16,99.8,0.6060915267313264,walksize=0.1; no_improve=10; nbour=Hamming
BestILS,0.89720918441948,0.06666393099356746,0.04,99.66,2.4041630560342617,walksize=0.1; no_improve=10; nbour=adjacent
