convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.5274694430155246,0.3433816640519605,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5852576767102999,0.3664595709487899,0.05,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.6337281261644202,0.3507983772702599,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.3648469245160933,0.42513779582863265,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5543343377968712,0.2862671846568688,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.6150300577896651,0.3948465629001434,0.05,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.6190503205848095,0.26082975573926415,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.5514793577244927,0.3862211583998915,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.6428328244023285,0.3065542051878212,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.5944653668100547,0.3696554188775192,0.05,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.6483284699589986,0.2683707033193701,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.6745048378746731,0.27622593466827133,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5140232795590101,0.32527974119920927,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.6969038756896989,0.32876307799898774,0.15,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.6093719776794264,0.33418068195324757,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.5436397093013322,0.3897481769299736,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.6109711085767623,0.296684028219831,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.5659102514695249,0.3954934323963951,0.1,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7234462703422677,0.2713545280076446,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5751830696712156,0.40275296327872245,0.15,24.95,0.22360679774997896,walksize=0.1; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5010482802082493,0.37212424717336384,0.05,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.5527649940958792,0.4044582770880236,0.1,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5266520993297571,0.3420343502436695,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.6324328260389186,0.34294798820919276,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.6230643399888675,0.31681186351689955,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.6084012106988659,0.3663685152257641,0.05,24.9,0.4472135954999579,walksize=0.1; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.6317670114581745,0.26863150500675087,0.0,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.7396663773478342,0.2532877904460229,0.05,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.6060458345059603,0.3177876299731624,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.5822669859514765,0.3473322835124659,0.05,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5211331209438652,0.36723394721869124,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.4467336660605859,0.3989726822843935,0.0,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.5807445903158338,0.3549254818080064,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.4754408988489236,0.38261636163682294,0.0,25,0.0,walksize=0.1; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.6434440533426791,0.3351813758841633,0.05,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.4423160516944823,0.4201790798155165,0.0,25,0.0,walksize=0.1; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.6120945311076894,0.3277480796528104,0.0,25,0.0,walksize=0.1; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.5782871870163474,0.3698020484521158,0.1,24.25,2.9177316351468727,walksize=0.1; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.6278779439450538,0.30724628405727644,0.05,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.6347755107440711,0.31280056574038034,0.0,25,0.0,walksize=0.2; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.671467268636109,0.2637847379777408,0.05,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.4538141431911093,0.40808514089253656,0.0,25,0.0,walksize=0.2; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5796045460714169,0.309401076720709,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.54716080588508,0.3669827835501242,0.0,25,0.0,walksize=0.2; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.5427055028252975,0.36954958664107884,0.05,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.6551149636598216,0.2671098152158425,0.0,25,0.0,walksize=0.2; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.6752196733525548,0.30733792693926065,0.05,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5700816902181695,0.35887635714240695,0.0,25,0.0,walksize=0.2; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.6827991779608861,0.29399105860666436,0.0,25,0.0,walksize=0.2; no_improve=25; restart=True; nbour=Hamming
