pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.6695997474384177,0.24708732834883376,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.920691546956396,0.053475575574470545,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.7436891021433664,0.19714038089411132,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.9401352713387855,0.034477317363741496,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.6906869554268119,0.2165419716595695,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.9232827259948279,0.0620080837962552,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.6702475743350821,0.22671856518090122,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.9437189117591652,0.05501049664782351,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.798557253477619,0.1470889025778832,0.05,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.9462829978993463,0.03889746294211734,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.7127637842003576,0.2391590202163859,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.9462269150177791,0.04422053527005371,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.704244614188309,0.20462748000198358,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.9377490546821974,0.048973189947770106,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.7287198318963699,0.25021127907227636,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.9326415005359057,0.05274111320233116,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.7612917559385306,0.19014531782307026,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.9444547404487619,0.04171301460964873,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.7357669241741156,0.21101361658145482,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.9214686253033192,0.04176875122941301,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.7425725137378236,0.2179086272174621,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.9575390627765845,0.044814310536534036,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
