convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.3563160314267021,0.2825165946086996,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.5623351922733726,0.2680286772561609,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.549461361811713,0.2989409559839604,0.05,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.5346389971304014,0.30765800031526275,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.44950116325895473,0.2914553139959854,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.5133173848217674,0.30987799815193956,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.4970449343725826,0.18118983806118152,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.4894118846633059,0.31110646367731526,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.4607862244088211,0.26393770207561634,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.48601034559167133,0.31246654890443126,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.512115851237351,0.2663244819549223,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.4762113627334603,0.3196182087024647,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.47908229802908575,0.269803180088744,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.518045810228858,0.27978847031292575,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.5024463510156351,0.2610552227149699,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.45492516404041455,0.3224461286200885,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.43479970575316196,0.2512116435420065,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.4157583783684555,0.24026878470700447,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.49048864012399174,0.2598146106217506,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.37384061563297977,0.3226913980665347,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.5174738630165945,0.2171938284087839,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.3839059838561343,0.28166607839488966,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.5262366599555146,0.27273723480440226,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.33604519321348214,0.35224738385296755,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.42800330865805003,0.24067187596791972,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.5302041233580326,0.2693827543029741,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.43741217693715656,0.25794136187910705,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.483234094236729,0.30458653700613175,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.5164301910764307,0.18239572408504434,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.32584126649780787,0.3326991991798619,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.4578187209749602,0.26086276650768436,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.6408018613292072,0.239408218050254,0.05,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.4880407206171745,0.17202832450461805,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.6203643825945876,0.2818844183016671,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.4886657014092665,0.3029501805475724,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
