convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.6038784102013148,0.2926692128345658,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.5620632100372079,0.23797390787557499,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.5622127077311663,0.2861847358159558,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.6723158806322844,0.21131023327386816,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.5466667240599462,0.35713198345100555,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.6387249384435922,0.2596356973618153,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.5697473315528798,0.2945853087423779,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.6393803922877035,0.24799997624429307,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.5409914240183338,0.3766525335713492,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.6343295040491703,0.2567490338953179,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.5818609668517708,0.30669728476067853,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.5821135696192591,0.28311613611285424,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.5813312341585163,0.28862966333986495,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.5784580473908384,0.2474732155035236,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.579211243206151,0.3046366927429641,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.6471810286708622,0.2529662821459633,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.5918526897873858,0.37118570199868106,0.1,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.7040010986295883,0.14657509066335236,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.5479794236410578,0.3472032479183816,0.05,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.4530145495539348,0.35967956992419003,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.5769362931908252,0.30103023300397747,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.5805946622224961,0.2532841517048391,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.6136291455867731,0.33392694363460784,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.6326569730353158,0.24820365407303524,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.6759515179857302,0.2570915389544556,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.6068309517956151,0.23970454700256966,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.5492928870848635,0.33821037282175725,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.6682542263131027,0.19456373639967206,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.5258416130986016,0.2947424876276238,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.6430040359482242,0.20727132686170774,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.43180377835679234,0.35551365532524043,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.6614299621003039,0.24356596510842599,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.6891945395905484,0.24083170866034218,0.05,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.5082083018924451,0.3151634567858397,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.6021774162743486,0.32598634323951214,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.5989564113105723,0.2679621908765482,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.6860128125940671,0.3157618799053858,0.05,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.5472895583559906,0.30134034983091396,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.6405407449757969,0.30624510217084144,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.44967167124573176,0.34118709873997205,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.6032625510800909,0.3086266444871385,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.5968131069067514,0.24984137356526578,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.5201773998556768,0.3197591211108084,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.8108757970776415,0.10451054828164051,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.8098302198474885,0.1673929143906048,0.05,50,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.8015840512359373,0.12018264603744026,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.6787050381203574,0.3203311708199412,0.05,49.4,2.6832815729997477,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.7609482945859425,0.2597996700421258,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.6875555877045055,0.27089365787852876,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.7533102055397056,0.21870269287209512,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.6995865930576641,0.28818726397349353,0.05,49.85,0.6708203932499369,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.7700305605198279,0.22156390074422058,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.8504565676300191,0.08175549094430473,0.05,48.95,4.695742752749559,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.7728305038393211,0.20492584325082466,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.8007652735194769,0.1492586502819436,0.05,49.65,1.5652475842498528,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.8298312043080983,0.11141979128723295,0.05,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
