convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
BestILS,0.5384605903694751,0.21591940180085767,0.0,25,0.0,walksize=0.2; no_improve=500; nbour=Hamming
BestILS,0.565200423964409,0.27879854317185526,0.05,24.6,1.7888543819998317,walksize=0.2; no_improve=500; nbour=adjacent
BestILS,0.5276517778655202,0.23699997142823537,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=Hamming
BestILS,0.5956960845809214,0.2487042575583441,0.0,25,0.0,walksize=0.35; no_improve=5; nbour=adjacent
BestILS,0.5458274072265547,0.2608707358463897,0.0,25,0.0,walksize=0.35; no_improve=10; nbour=Hamming
BestILS,0.6044271802439778,0.2901477526563255,0.05,24.4,2.6832815729997477,walksize=0.35; no_improve=10; nbour=adjacent
BestILS,0.5340757584626893,0.21191945635538942,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=Hamming
BestILS,0.42654942389241507,0.30817784538462584,0.0,25,0.0,walksize=0.35; no_improve=25; nbour=adjacent
BestILS,0.5306380460870133,0.22860367170757023,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=Hamming
BestILS,0.4128955122763901,0.2719926576132523,0.0,25,0.0,walksize=0.35; no_improve=50; nbour=adjacent
BestILS,0.5865234570005625,0.19335661816292146,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=Hamming
BestILS,0.5531567205679022,0.2575648550105109,0.0,25,0.0,walksize=0.35; no_improve=100; nbour=adjacent
BestILS,0.5473503628777681,0.20812268812196627,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=Hamming
BestILS,0.5293115696054268,0.25491727475843395,0.0,25,0.0,walksize=0.35; no_improve=200; nbour=adjacent
BestILS,0.4952937785694039,0.22861916365284699,0.0,25,0.0,walksize=0.35; no_improve=500; nbour=Hamming
BestILS,0.4902509805562334,0.2731118655916392,0.05,25,0.0,walksize=0.35; no_improve=500; nbour=adjacent
BestILS,0.48958428943436116,0.21228636692877614,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=Hamming
BestILS,0.3418411758586557,0.28506222554343963,0.0,25,0.0,walksize=0.5; no_improve=5; nbour=adjacent
BestILS,0.4751646701316629,0.277591855174309,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=Hamming
BestILS,0.4783776257849342,0.26210618535817815,0.0,25,0.0,walksize=0.5; no_improve=10; nbour=adjacent
BestILS,0.5080013610267327,0.18128998088460235,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=Hamming
BestILS,0.5849646111068649,0.24015927573828103,0.0,25,0.0,walksize=0.5; no_improve=25; nbour=adjacent
BestILS,0.38717860831147505,0.2833216646215446,0.05,25,0.0,walksize=0.5; no_improve=50; nbour=Hamming
BestILS,0.4282757605642711,0.3248031993075496,0.0,25,0.0,walksize=0.5; no_improve=50; nbour=adjacent
BestILS,0.5295866652364937,0.17166659003827964,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=Hamming
BestILS,0.5309177741598623,0.3646877761120891,0.0,25,0.0,walksize=0.5; no_improve=100; nbour=adjacent
BestILS,0.4935324700268531,0.2378665644453265,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=Hamming
BestILS,0.4274353977775214,0.34325457329182524,0.0,25,0.0,walksize=0.5; no_improve=200; nbour=adjacent
BestILS,0.44581169363502127,0.20118204450718224,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=Hamming
BestILS,0.47334549074561477,0.3096143589225993,0.0,25,0.0,walksize=0.5; no_improve=500; nbour=adjacent
BestILS,0.4349665960315077,0.2674729955015167,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=Hamming
BestILS,0.44209500701959353,0.2884306856197106,0.0,25,0.0,walksize=1.0; no_improve=5; nbour=adjacent
BestILS,0.4541509633923685,0.242235881124172,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=Hamming
BestILS,0.4850384384834237,0.23392884255466287,0.0,25,0.0,walksize=1.0; no_improve=10; nbour=adjacent
BestILS,0.5186507022187612,0.2424566943854994,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=Hamming
BestILS,0.5429036238822431,0.26082539189872916,0.0,25,0.0,walksize=1.0; no_improve=25; nbour=adjacent
BestILS,0.5249570895099143,0.2844498014642976,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=Hamming
BestILS,0.550052927197277,0.22458789568636167,0.0,25,0.0,walksize=1.0; no_improve=50; nbour=adjacent
BestILS,0.42986335849043517,0.24301080895321625,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=Hamming
BestILS,0.5561067654436479,0.28073486040768797,0.0,25,0.0,walksize=1.0; no_improve=100; nbour=adjacent
BestILS,0.4423734339359525,0.24899584711716766,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=Hamming
BestILS,0.5497325439336881,0.31834522912049806,0.0,25,0.0,walksize=1.0; no_improve=200; nbour=adjacent
BestILS,0.48367331115469103,0.22758048851036733,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=Hamming
BestILS,0.5027346220385337,0.2897979944850209,0.0,25,0.0,walksize=1.0; no_improve=500; nbour=adjacent
BestILS,0.6428777448921331,0.24038926418056186,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=Hamming
BestILS,0.6734396909768824,0.2373856710172522,0.0,50,0.0,walksize=0.02; no_improve=5; nbour=adjacent
BestILS,0.6291539658296299,0.22353510706842458,0.0,50,0.0,walksize=0.02; no_improve=10; nbour=Hamming
BestILS,0.6987606149029015,0.14920150516135017,0.05,48.85,5.142956348249516,walksize=0.02; no_improve=10; nbour=adjacent
BestILS,0.726023815124412,0.15812701312559246,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=Hamming
BestILS,0.6313290589478145,0.21207266801040528,0.0,50,0.0,walksize=0.02; no_improve=25; nbour=adjacent
BestILS,0.6841518299909941,0.22623720972971612,0.05,50,0.0,walksize=0.02; no_improve=50; nbour=Hamming
BestILS,0.6441246439218171,0.18157867114218537,0.0,50,0.0,walksize=0.02; no_improve=50; nbour=adjacent
BestILS,0.6688620591461821,0.20529778692507103,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=Hamming
BestILS,0.6821204206449665,0.21544249448159206,0.0,50,0.0,walksize=0.02; no_improve=100; nbour=adjacent
BestILS,0.5265743355417732,0.26974001557937455,0.0,50,0.0,walksize=0.02; no_improve=200; nbour=Hamming
BestILS,0.6406461232063142,0.27711997753462164,0.05,49.85,0.6708203932499369,walksize=0.02; no_improve=200; nbour=adjacent
BestILS,0.6476929653019058,0.15863164037842906,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=Hamming
BestILS,0.6974899800860273,0.13382844075496542,0.0,50,0.0,walksize=0.02; no_improve=500; nbour=adjacent
BestILS,0.48436062378674144,0.32437474700545477,0.05,50,0.0,walksize=0.05; no_improve=5; nbour=Hamming
