pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.5257220402904103,0.2622403115948694,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.7339923627842019,0.1497450973437509,0.0,9.15,6.054793664179604,nr_particles=1; k=1; scaling=10.0
PSO,0.5908962179499229,0.18387389421891784,0.0,1.65,0.9333020044867296,nr_particles=1; k=1; scaling=100.0
PSO,0.4922852294526475,0.20877567605302225,0.0,1.6,2.2337129816094383,nr_particles=1; k=1; scaling=1000.0
PSO,0.7234126390746698,0.1338462388068709,0.0,9.4,6.003507746572656,nr_particles=1; k=1; scaling=10.0
PSO,0.5182853993407412,0.14719519859057792,0.0,1.6,0.6805570473787206,nr_particles=1; k=1; scaling=100.0
PSO,0.6301227077288786,0.1567772048637223,0.05,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7285423562074892,0.17403890972196898,0.0,10.85,6.737756928017857,nr_particles=1; k=1; scaling=10.0
PSO,0.565441073807946,0.13463145082439923,0.0,1.85,2.207046132634963,nr_particles=1; k=1; scaling=100.0
PSO,0.49793270043439963,0.23157927325985642,0.0,1.15,0.4893604849295929,nr_particles=1; k=1; scaling=1000.0
PSO,0.8719777983444482,0.06244691518635674,0.0,52.05,9.167878707749137,nr_particles=50; k=10; scaling=1000.0
PSO,0.8797924367072834,0.07067416047307307,0.0,52.15,9.615092303249096,nr_particles=50; k=5; scaling=100.0
PSO,0.8337567862026162,0.09722273371300019,0.0,32.15,6.8692679453682075,nr_particles=16; k=1; scaling=100.0
PSO,0.8217967312987107,0.07697565195012761,0.0,17.1,1.0208355710680808,nr_particles=16; k=1; scaling=1000.0
PSO,0.8788966002472893,0.06340413842449477,0.0,52.35,1.7554426642213128,nr_particles=10; k=3; scaling=100.0
PSO,0.8703545608047135,0.07866713842222162,0.0,49.8,5.492578725210189,nr_particles=10; k=2; scaling=100.0
PSO,0.8537119973003033,0.07425146176383025,0.0,48.6,6.385839597767943,nr_particles=10; k=2; scaling=1000.0
PSO,0.8806536045257849,0.07016764194445446,0.0,51.85,1.6944180805158293,nr_particles=10; k=1; scaling=10.0
PSO,0.805709054513568,0.1004735477192991,0.0,17.95,4.37065573786673,nr_particles=10; k=1; scaling=100.0
PSO,0.7957717866915472,0.07738182529324333,0.0,11.4,2.702825032793417,nr_particles=10; k=1; scaling=1000.0
PSO,0.8969837706063759,0.06721457611406846,0.0,50.9,0.9119095061289915,nr_particles=5; k=2; scaling=10.0
PSO,0.842919885339256,0.1073876700529283,0.0,41.75,12.125983411014982,nr_particles=5; k=2; scaling=100.0
PSO,0.8269126119455202,0.0701842294147539,0.0,40.95,11.936123852892067,nr_particles=5; k=2; scaling=1000.0
PSO,0.8532671798487952,0.06622282054715437,0.0,42.55,8.068620178131287,nr_particles=5; k=1; scaling=10.0
PSO,0.7519403730004087,0.10027514494836524,0.0,8.8,2.3530495331087184,nr_particles=5; k=1; scaling=100.0
PSO,0.7368998479132308,0.12029286602784235,0.0,5.75,2.2213082915965963,nr_particles=5; k=1; scaling=1000.0
PSO,0.8488797966415467,0.076856654770645,0.0,41.5,8.350858764538122,nr_particles=5; k=1; scaling=10.0
PSO,0.7551409901837979,0.1071997136605859,0.0,9.5,3.1034785237485405,nr_particles=5; k=1; scaling=100.0
PSO,0.7470699180070474,0.10734658738561711,0.0,5.55,0.8255779474818965,nr_particles=5; k=1; scaling=1000.0
PSO,0.8640838938463636,0.08347721888707378,0.0,40.7,9.02102806604774,nr_particles=5; k=1; scaling=10.0
PSO,0.7660617522266553,0.12903763627680556,0.0,9.5,3.120391338480345,nr_particles=5; k=1; scaling=100.0
PSO,0.6998652189975677,0.0888011250806244,0.0,5.5,0.6882472016116853,nr_particles=5; k=1; scaling=1000.0
PSO,0.8268530727098257,0.09145155673187762,0.0,26.7,9.841373459987553,nr_particles=3; k=1; scaling=10.0
PSO,0.6933892221094079,0.14132056808792526,0.0,5.7,3.3576307436235924,nr_particles=3; k=1; scaling=100.0
PSO,0.7216697844111999,0.11225983181300786,0.0,3.15,0.4893604849295929,nr_particles=3; k=1; scaling=1000.0
PSO,0.8148247009657247,0.06927204017022945,0.0,28.05,11.04285908821195,nr_particles=3; k=1; scaling=10.0
PSO,0.6897361427471995,0.09187141379330266,0.0,5.15,1.7554426642213128,nr_particles=3; k=1; scaling=100.0
PSO,0.6696898621482038,0.1209941653759865,0.0,3.15,0.4893604849295929,nr_particles=3; k=1; scaling=1000.0
PSO,0.8535666004671183,0.09617360239556633,0.0,32.2,12.6057630930418,nr_particles=3; k=1; scaling=10.0
PSO,0.7390247748828221,0.12124066763639955,0.0,5.25,2.712058841156426,nr_particles=3; k=1; scaling=100.0
PSO,0.6173284755201954,0.14857995694035264,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.7791223280137775,0.06405440104956032,0.0,27.2,9.237224463521155,nr_particles=3; k=1; scaling=10.0
PSO,0.6966136186445827,0.10660254740742742,0.0,6.3,7.370638764006393,nr_particles=3; k=1; scaling=100.0
PSO,0.68586392503971,0.12883545075503366,0.0,3.3,0.47016234598162726,nr_particles=3; k=1; scaling=1000.0
PSO,0.6871475402248466,0.094321785650846,0.0,11.15,11.094213759765424,nr_particles=1; k=1; scaling=10.0
PSO,0.558220444747553,0.22246968847559204,0.0,1.75,0.7863975156570492,nr_particles=1; k=1; scaling=100.0
PSO,0.5236336472833555,0.14713489003155064,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.7505803631576736,0.11348197406115829,0.0,11.1,7.765646345146986,nr_particles=1; k=1; scaling=10.0
PSO,0.6151873797059071,0.1205088880719757,0.0,2.9,3.007009355349247,nr_particles=1; k=1; scaling=100.0
PSO,0.5987493436581327,0.09440287809222463,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.6858940891231433,0.12275215286475376,0.0,9,4.8666426339228765,nr_particles=1; k=1; scaling=10.0
PSO,0.5264019649134143,0.14156977555642244,0.0,1.55,0.5104177855340404,nr_particles=1; k=1; scaling=100.0
PSO,0.540946986545651,0.12820083864900975,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=1000.0
PSO,0.6936166575357781,0.22382118110192883,0.0,6.8,3.0710875837996583,nr_particles=1; k=1; scaling=10.0
PSO,0.4312544320959539,0.230270457748214,0.0,2.7,4.846051023907589,nr_particles=1; k=1; scaling=100.0
PSO,0.5986044804102036,0.1571437090075852,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.9135426902288493,0.05353085927221577,0.0,104.9,3.7682887362833544,nr_particles=20; k=6; scaling=1000.0
PSO,0.9008706087544184,0.06600727628851415,0.05,99.35,9.149489488202981,nr_particles=20; k=2; scaling=100.0
PSO,0.8876180414154513,0.060566672812024595,0.0,96,11.594009342396571,nr_particles=20; k=2; scaling=1000.0
PSO,0.942179725975404,0.04345838510959949,0.05,103.15,2.058998223459779,nr_particles=10; k=5; scaling=10.0
PSO,0.917708689584912,0.0692940939130605,0.0,102.3,2.637782162507379,nr_particles=10; k=5; scaling=100.0
PSO,0.8956113388057867,0.06037110637687253,0.0,102,2.077447826946374,nr_particles=10; k=5; scaling=1000.0
PSO,0.9400176054470903,0.04687352627621418,0.05,101.75,1.9701723141310308,nr_particles=10; k=3; scaling=10.0
PSO,0.9072379054366181,0.06908099311029041,0.05,100.75,4.063638504436245,nr_particles=10; k=3; scaling=100.0
PSO,0.9423347490328253,0.06681721326871033,0.05,100.6,2.4365635853109104,nr_particles=10; k=3; scaling=1000.0
PSO,0.9199724303713366,0.0571267626084019,0.05,101.6,1.231174022502185,nr_particles=10; k=2; scaling=10.0
PSO,0.8740653139236216,0.08172133700915149,0.0,80.3,21.056565421939567,nr_particles=10; k=2; scaling=100.0
PSO,0.8851512102415046,0.061977184055803165,0.0,81.35,24.63475294439908,nr_particles=10; k=2; scaling=1000.0
PSO,0.9060949479915406,0.06001118543553551,0.0,88.3,11.295551057129108,nr_particles=10; k=1; scaling=10.0
PSO,0.8054560931584311,0.09039286086470152,0.0,19.15,4.47537119895334,nr_particles=10; k=1; scaling=100.0
PSO,0.8027606745346212,0.07417405890084149,0.0,10.8,1.2396943596157715,nr_particles=10; k=1; scaling=1000.0
PSO,0.9328975000337143,0.05618490401805418,0.1,102.35,1.6630662866176473,nr_particles=7; k=3; scaling=10.0
PSO,0.890673671991214,0.07495642437562246,0.05,90.9,16.685638325092313,nr_particles=7; k=3; scaling=100.0
PSO,0.8747774449288369,0.07112584057023452,0.0,93.95,12.407446830113972,nr_particles=7; k=3; scaling=1000.0
PSO,0.9481429444850982,0.04476032753009787,0.15,100.05,4.442320398881174,nr_particles=7; k=2; scaling=10.0
PSO,0.8795468471001792,0.06341710550014774,0.05,59.65,27.363585099063393,nr_particles=7; k=2; scaling=100.0
PSO,0.8376327807872759,0.10301633433559285,0.0,50.2,29.28372998962501,nr_particles=7; k=2; scaling=1000.0
PSO,0.8833892575112966,0.0550209162257506,0.0,62.2,18.05138863298188,nr_particles=7; k=1; scaling=10.0
PSO,0.7599259376749593,0.07637004636174116,0.0,12.35,2.1095023109728985,nr_particles=7; k=1; scaling=100.0
PSO,0.7293472382532146,0.07114308743709007,0.0,7.5,0.8885233166386386,nr_particles=7; k=1; scaling=1000.0
PSO,0.8813924703254897,0.05899842470518438,0.0,66.2,18.54042524919676,nr_particles=7; k=1; scaling=10.0
PSO,0.7947268976908796,0.09231654485640158,0.0,14.1,4.32739133768529,nr_particles=7; k=1; scaling=100.0
PSO,0.8001768581866574,0.1042462347692358,0.0,7.55,0.8255779474818965,nr_particles=7; k=1; scaling=1000.0
PSO,0.7903405198106811,0.07344557280992109,0.0,34.1,17.917647871948983,nr_particles=3; k=1; scaling=10.0
PSO,0.674597482938662,0.09025865855971023,0.0,5.9,2.9181825634603826,nr_particles=3; k=1; scaling=100.0
PSO,0.6717357502907074,0.09794235067593805,0.0,3.25,0.4442616583193193,nr_particles=3; k=1; scaling=1000.0
PSO,0.8172702993341725,0.06699172442021549,0.0,30.6,13.854127258880768,nr_particles=3; k=1; scaling=10.0
PSO,0.6871137530627344,0.12067518952701928,0.0,6.4,7.816312227777576,nr_particles=3; k=1; scaling=100.0
PSO,0.6622399789230486,0.10598883555586684,0.0,3.15,0.36634754853252327,nr_particles=3; k=1; scaling=1000.0
PSO,0.8338531948291279,0.08025231588599194,0.0,34.25,17.392905389690846,nr_particles=3; k=1; scaling=10.0
PSO,0.7045349958011432,0.11259863887473906,0.0,6.7,2.8855356157000878,nr_particles=3; k=1; scaling=100.0
PSO,0.6822448394352618,0.12242852579921576,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.8030032750202248,0.066591206776345,0.0,30.05,14.050566574079197,nr_particles=3; k=1; scaling=10.0
PSO,0.7337547313107758,0.14341936593237634,0.0,7.25,4.411408654363079,nr_particles=3; k=1; scaling=100.0
PSO,0.6772884270959357,0.13105321957985644,0.0,3.25,0.4442616583193193,nr_particles=3; k=1; scaling=1000.0
PSO,0.9786931821921511,0.023190141345141968,0.2,210,6.06976978666884,nr_particles=40; k=13; scaling=100.0
PSO,0.9651512147396178,0.023978375271213402,0.05,209.6,10.414564700204078,nr_particles=40; k=8; scaling=100.0
PSO,0.9494048141692802,0.030902476783348995,0.0,208.4,4.672427521895703,nr_particles=40; k=4; scaling=1000.0
PSO,0.9585459428744787,0.03221358298363431,0.05,208.25,3.891623933797466,nr_particles=20; k=10; scaling=10.0
PSO,0.9769555596749164,0.02956927265045179,0.45,206.05,5.216118742594162,nr_particles=20; k=10; scaling=100.0
PSO,0.9631580307707484,0.04404871866769695,0.3,207.05,4.489461343846802,nr_particles=20; k=10; scaling=1000.0
PSO,0.9540878110065271,0.03166666805310576,0.05,207.8,4.137123333148796,nr_particles=20; k=6; scaling=10.0
PSO,0.9775497910095438,0.02272670898542255,0.25,205.45,4.442320398881174,nr_particles=20; k=6; scaling=100.0
PSO,0.9427035366759018,0.0407351373288173,0.05,204.95,3.8316548575476395,nr_particles=20; k=6; scaling=1000.0
PSO,0.9491045009699136,0.03091884191191463,0.0,205.3,4.566468173429808,nr_particles=20; k=4; scaling=10.0
PSO,0.9625197900305733,0.03178558797010073,0.1,204.35,2.9784312366712355,nr_particles=20; k=4; scaling=100.0
PSO,0.9481567746045285,0.045210129396404744,0.2,204.05,3.486439897358728,nr_particles=20; k=4; scaling=1000.0
PSO,0.9429833912598202,0.03610113261599616,0.05,204.75,3.56702736329935,nr_particles=20; k=2; scaling=10.0
PSO,0.9221526156255442,0.07581890391683702,0.1,146.05,39.81599123335669,nr_particles=20; k=2; scaling=100.0
PSO,0.9050177738700256,0.05479781023049872,0.0,149.85,40.46216556371227,nr_particles=20; k=2; scaling=1000.0
PSO,0.9687695173816838,0.02794112701140435,0.2,205.15,3.453068810569276,nr_particles=14; k=7; scaling=10.0
PSO,0.9598612109714086,0.05057843515030225,0.25,203.8,8.482799934976782,nr_particles=14; k=7; scaling=100.0
PSO,0.9463892317272368,0.052675716861838216,0.2,205.2,3.592389616661135,nr_particles=14; k=7; scaling=1000.0
PSO,0.9599075169249118,0.03355711771593783,0.1,203.4,2.8543595465625264,nr_particles=14; k=4; scaling=10.0
PSO,0.9380053742090045,0.04549507638382148,0.15,201.1,6.664122321490616,nr_particles=14; k=4; scaling=100.0
