GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.13506987328517892,0.19434813651829472,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.08348454987027687,0.20626610562198605,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.05952612068608588,0.12461344284214106,0.0,3.55,2.6847522673129647,nr_particles=1; k=1; scaling=10.0
PSO,0.0924446488068368,0.1715226119086214,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.13909979645969336,0.26340872600788345,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.16088596235050934,0.2636266202362403,0.0,3.9,3.7961199027150703,nr_particles=1; k=1; scaling=10.0
PSO,0.037656421839320726,0.11676985357356062,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=100.0
PSO,0.11148571773497234,0.2192200520522995,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.12798589323726964,0.25761637753595995,0.0,4.2,5.074186478742443,nr_particles=1; k=1; scaling=10.0
PSO,0.0774075988864508,0.1902228394055951,0.0,1.15,0.36634754853252327,nr_particles=1; k=1; scaling=100.0
PSO,0.11334499988063411,0.201892935212506,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1030464082447395,0.18931841293637292,0.0,5.1,5.108300778351374,nr_particles=1; k=1; scaling=10.0
PSO,0.05452748572533817,0.15652877395298906,0.0,1.15,0.4893604849295929,nr_particles=1; k=1; scaling=100.0
PSO,0.07260703134523189,0.15372773785414148,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.0540557654497766,0.14544795552226028,0.0,3.5,1.9601288894248496,nr_particles=1; k=1; scaling=10.0
PSO,0.09905302966797508,0.21572428909476568,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.042066303783893165,0.1145051271018701,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.07421666030938957,0.19020887165066355,0.0,3.85,2.3902213066443956,nr_particles=1; k=1; scaling=10.0
PSO,0.0302174732352717,0.10587313665035747,0.0,1.15,0.4893604849295929,nr_particles=1; k=1; scaling=100.0
PSO,0.11779589853536429,0.2349258832907286,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7459797149172233,0.11531802343087491,0.0,52.4,10.73312629199899,nr_particles=50; k=25; scaling=10.0
PSO,0.6856064602634683,0.13431932358504067,0.0,50,0.0,nr_particles=50; k=25; scaling=100.0
PSO,0.6922602908958151,0.13951673868058148,0.0,52.3,10.285912696499032,nr_particles=50; k=25; scaling=1000.0
PSO,0.7395923010818043,0.10166037947554155,0.0,50,0.0,nr_particles=50; k=16; scaling=10.0
PSO,0.7056137001620226,0.08798371078291731,0.0,50,0.0,nr_particles=50; k=16; scaling=100.0
PSO,0.6948865853952955,0.08797748526612274,0.0,50,0.0,nr_particles=50; k=16; scaling=1000.0
PSO,0.7034337336726629,0.1359866192405928,0.0,52.3,10.285912696499032,nr_particles=50; k=10; scaling=10.0
PSO,0.7427115609870159,0.08025826962028342,0.0,50,0.0,nr_particles=50; k=10; scaling=100.0
PSO,0.7258203739055963,0.11855056623179387,0.0,50,0.0,nr_particles=50; k=10; scaling=1000.0
PSO,0.6856117604635633,0.09670202998983712,0.0,52,8.94427190999916,nr_particles=50; k=5; scaling=10.0
PSO,0.7372236762741271,0.10989010745298158,0.0,50,0.0,nr_particles=50; k=5; scaling=100.0
PSO,0.6701332483188099,0.09928361215402706,0.0,50,0.0,nr_particles=50; k=5; scaling=1000.0
PSO,0.7047644971505744,0.13649894645464966,0.0,51.45,6.021671388891083,nr_particles=25; k=2; scaling=1000.0
PSO,0.6800567063732169,0.24276143601674038,0.0,50.65,11.398407090928378,nr_particles=16; k=3; scaling=100.0
PSO,0.6337822226536027,0.22136868170200846,0.0,49.3,11.498741349886036,nr_particles=16; k=3; scaling=1000.0
PSO,0.6634656934165221,0.1783259112887666,0.0,50.1,2.7125439603519985,nr_particles=16; k=1; scaling=10.0
PSO,0.5879585708020384,0.1503609668718836,0.0,20.2,3.721912355086746,nr_particles=16; k=1; scaling=100.0
PSO,0.5351526882627724,0.24858954788405369,0.0,16.2,0.41039134083406165,nr_particles=16; k=1; scaling=1000.0
PSO,0.7072670594207169,0.27205210418879205,0.0,49.35,13.156047238717578,nr_particles=10; k=5; scaling=100.0
PSO,0.6999078995909164,0.19532963220371966,0.0,51.2,9.185801400445204,nr_particles=10; k=3; scaling=100.0
PSO,0.6565184405918115,0.20665796638753575,0.0,48.1,13.166544525305115,nr_particles=10; k=3; scaling=1000.0
PSO,0.6649833320208897,0.17414681794515433,0.0,49.95,4.784569496115392,nr_particles=10; k=2; scaling=10.0
PSO,0.6155345959852051,0.30477367718864046,0.0,39.3,18.13719644092885,nr_particles=10; k=2; scaling=100.0
PSO,0.6198167221451549,0.23155403648071238,0.0,38.85,18.596193724862935,nr_particles=10; k=2; scaling=1000.0
PSO,0.5472017598274604,0.27548885772041537,0.0,36.3,9.830671658801238,nr_particles=10; k=1; scaling=10.0
PSO,0.47834602050875014,0.24628600063788225,0.0,12.15,1.6311119875071343,nr_particles=10; k=1; scaling=100.0
PSO,0.4522216156951526,0.24391992169249432,0.0,10.15,0.36634754853252327,nr_particles=10; k=1; scaling=1000.0
PSO,0.6391082427748177,0.29652741652832054,0.0,41.8,14.428042869794627,nr_particles=5; k=2; scaling=10.0
PSO,0.3870973522001507,0.3363829287045185,0.0,17.6,17.59006896847734,nr_particles=5; k=2; scaling=100.0
PSO,0.40251001763486804,0.37417434965440377,0.0,23.3,22.143313116818668,nr_particles=5; k=2; scaling=1000.0
PSO,0.39688680312335356,0.29351160687771055,0.0,17.3,6.053272277302409,nr_particles=5; k=1; scaling=10.0
PSO,0.3328772624299146,0.2822898322715938,0.0,6.55,1.5381123085406379,nr_particles=5; k=1; scaling=100.0
PSO,0.4009790230098407,0.2801957341056231,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.537353824025917,0.270598293155395,0.0,18.1,4.339536720361797,nr_particles=5; k=1; scaling=10.0
PSO,0.4123012209276684,0.31117020546057206,0.0,6.35,2.1095023109728985,nr_particles=5; k=1; scaling=100.0
PSO,0.27718679758866677,0.306575499179751,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.49731145260554144,0.2534908508439702,0.0,17.6,6.33619510598061,nr_particles=5; k=1; scaling=10.0
PSO,0.23217934969193282,0.22327738784984152,0.0,6.05,2.114486375359025,nr_particles=5; k=1; scaling=100.0
PSO,0.2396155668781278,0.27219295546933586,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.3628692479581759,0.36317809797644807,0.0,11.85,7.300144194682588,nr_particles=3; k=1; scaling=10.0
PSO,0.11211692483718523,0.17110873821848332,0.0,3.65,1.2680278927697548,nr_particles=3; k=1; scaling=100.0
PSO,0.1541682088500854,0.17643025915868998,0.0,3.1,0.30779350562554625,nr_particles=3; k=1; scaling=1000.0
PSO,0.43969689930417605,0.2847956078856071,0.0,12.45,4.285532577601553,nr_particles=3; k=1; scaling=10.0
PSO,0.23276425600361544,0.2926587787288233,0.0,3.45,0.6863327411532597,nr_particles=3; k=1; scaling=100.0
PSO,0.24213421504387767,0.27214013591629344,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.34803594687169404,0.29475487250207516,0.0,13.3,5.84987629198934,nr_particles=3; k=1; scaling=10.0
PSO,0.20572570154193065,0.27096938163529716,0.0,4.05,1.5035046776746235,nr_particles=3; k=1; scaling=100.0
PSO,0.30415007279305045,0.3335402816610624,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.4340152272002301,0.274536039888841,0.0,12.65,8.060788782090354,nr_particles=3; k=1; scaling=10.0
PSO,0.19568355207999155,0.17291025105053742,0.0,3.3,0.5712405705774795,nr_particles=3; k=1; scaling=100.0
PSO,0.12162040442203081,0.24111840317593494,0.0,3.1,0.4472135954999579,nr_particles=3; k=1; scaling=1000.0
PSO,0.12247793943927741,0.2655441370449037,0.0,3.1,1.774082416646034,nr_particles=1; k=1; scaling=10.0
PSO,0.04478835232325313,0.10657562516117154,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.08833102904008923,0.1836834937716946,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.07100009561466057,0.16418816462276922,0.0,3.55,1.5035046776746235,nr_particles=1; k=1; scaling=10.0
PSO,0.1384942434744161,0.2269335365926321,0.0,1.3,0.47016234598162726,nr_particles=1; k=1; scaling=100.0
PSO,0.1699332186427376,0.2500137909806334,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.15246042819913605,0.2347093090683269,0.0,4.6,3.830624519647719,nr_particles=1; k=1; scaling=10.0
PSO,0.06650556465633398,0.1517397774232784,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.08595879911125164,0.147133343920864,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.11613133268260517,0.2670207457446,0.0,3.75,2.7505980211009042,nr_particles=1; k=1; scaling=10.0
PSO,0.06660582685790427,0.14368986749039314,0.0,1.4,0.7539370349250519,nr_particles=1; k=1; scaling=100.0
PSO,0.08608577103570776,0.21484618804912045,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.801782577516136,0.10136522508639144,0.0,104.75,21.242645786248,nr_particles=100; k=50; scaling=100.0
PSO,0.778647391359524,0.0725256256552623,0.0,104.65,20.795432190748045,nr_particles=100; k=50; scaling=1000.0
PSO,0.7890451964791556,0.06404840604922096,0.0,100,0.0,nr_particles=100; k=33; scaling=10.0
PSO,0.7714810905235072,0.07607167118769578,0.0,104.7,21.019038988498025,nr_particles=100; k=33; scaling=100.0
PSO,0.7845170707142719,0.06517781383590547,0.0,104.45,19.901004999748128,nr_particles=100; k=20; scaling=10.0
PSO,0.7999493160469087,0.06853866044297872,0.0,104.2,18.782971010998235,nr_particles=100; k=20; scaling=100.0
PSO,0.8003227754146406,0.2010337465061453,0.0,104.55,10.520531305374668,nr_particles=20; k=6; scaling=10.0
PSO,0.8006834156140642,0.20127367836870147,0.0,102.9,20.219584044865226,nr_particles=20; k=6; scaling=1000.0
PSO,0.823105741011733,0.07607471796109683,0.0,104.5,2.7434131641941364,nr_particles=20; k=2; scaling=10.0
PSO,0.7865947457348519,0.12973949389689568,0.0,99,9.318911162960934,nr_particles=20; k=2; scaling=100.0
PSO,0.7417413117969789,0.16582434897436515,0.0,84.75,30.064623379436643,nr_particles=20; k=2; scaling=1000.0
PSO,0.830314852301479,0.08053358588785826,0.0,102.9,2.04939015319192,nr_particles=10; k=5; scaling=10.0
PSO,0.8649121849450264,0.06918960614786367,0.0,103,2.470883072485369,nr_particles=10; k=5; scaling=100.0
PSO,0.7483423602481599,0.26901609797233145,0.0,93.2,28.550232739396087,nr_particles=10; k=5; scaling=1000.0
PSO,0.8101153146011565,0.09365002707360329,0.0,97.45,14.918991781935993,nr_particles=10; k=3; scaling=10.0
PSO,0.7417908710136977,0.26630248739740353,0.0,93.4,27.211452697251147,nr_particles=10; k=3; scaling=100.0
PSO,0.6194198422770653,0.33039061710905626,0.0,84.75,38.39527794431306,nr_particles=10; k=3; scaling=1000.0
PSO,0.7872310960964012,0.12917401353369884,0.0,89.65,24.671046315788665,nr_particles=10; k=2; scaling=10.0
PSO,0.5761367663584559,0.2677246260815478,0.0,55.65,41.92508983764658,nr_particles=10; k=2; scaling=100.0
PSO,0.678910791869548,0.16680983187761997,0.0,74.05,39.62119980116971,nr_particles=10; k=2; scaling=1000.0
PSO,0.5817087860260298,0.15876444219559743,0.0,44.15,14.423208636375648,nr_particles=10; k=1; scaling=10.0
PSO,0.47940371031573603,0.22766682432736085,0.0,12.8,2.1908902300206643,nr_particles=10; k=1; scaling=100.0
PSO,0.5423694192992384,0.20652386029527472,0.0,10.2,0.5231483637805969,nr_particles=10; k=1; scaling=1000.0
PSO,0.7194860094663222,0.3188074843739449,0.0,89.65,27.915803862026934,nr_particles=7; k=3; scaling=10.0
PSO,0.664010623755245,0.3001376430874777,0.0,86.3,33.86054993802173,nr_particles=7; k=3; scaling=100.0
PSO,0.6454464738124625,0.3475493048581102,0.0,72.95,44.09138237796588,nr_particles=7; k=3; scaling=1000.0
PSO,0.6808096439602183,0.23836545092591913,0.0,80.85,27.083253711084037,nr_particles=7; k=2; scaling=10.0
PSO,0.5780116489415685,0.29713139121366827,0.0,54.1,39.18229997816549,nr_particles=7; k=2; scaling=100.0
PSO,0.723815155208098,0.26477675647312554,0.0,71,37.1355979025375,nr_particles=7; k=2; scaling=1000.0
PSO,0.5107198498960313,0.2818082549771112,0.0,29.2,11.362912895630425,nr_particles=7; k=1; scaling=10.0
PSO,0.4825318148745498,0.21594936241998153,0.0,9.1,1.3726654823065194,nr_particles=7; k=1; scaling=100.0
PSO,0.3976201640655646,0.3387074469338113,0.0,7.15,0.36634754853252327,nr_particles=7; k=1; scaling=1000.0
PSO,0.47754859529812976,0.21814045306926405,0.0,27.3,8.033482563948413,nr_particles=7; k=1; scaling=10.0
PSO,0.41967693757639957,0.27640942143010383,0.0,8.25,1.2513150976809202,nr_particles=7; k=1; scaling=100.0
PSO,0.4002706609426148,0.2337046913398078,0.0,7.2,0.41039134083406165,nr_particles=7; k=1; scaling=1000.0
