GEMM_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.1457569054087016,0.19738549895690302,0.0,4.4,3.393492223902128,nr_particles=1; k=1; scaling=10.0
PSO,0.037162145095058496,0.0838470130513801,0.0,1.3,0.5712405705774795,nr_particles=1; k=1; scaling=100.0
PSO,0.07755909299660264,0.19858581238172665,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.11696688479199835,0.24667885999850336,0.0,3,2.4279079146675357,nr_particles=1; k=1; scaling=10.0
PSO,0.16178691740815893,0.23226850078427133,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.0838773099905553,0.16871263583949772,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.2137079524166515,0.28437866377483784,0.0,4.35,3.030980386815982,nr_particles=1; k=1; scaling=10.0
PSO,0.10267025516063688,0.20408249277869678,0.0,1.35,0.6708203932499369,nr_particles=1; k=1; scaling=100.0
PSO,0.051750871531369085,0.1438933660815972,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.09851247860904541,0.23780546939410568,0.0,3.85,2.7003898354048617,nr_particles=1; k=1; scaling=10.0
PSO,0.1153448152489967,0.23841168674499053,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.17128668777288383,0.25842642379372655,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.14409664265348837,0.22034529301999425,0.0,3,2.0261449005179113,nr_particles=1; k=1; scaling=10.0
PSO,0.02212999859168533,0.07572645106914964,0.0,1.3,0.7326950970650465,nr_particles=1; k=1; scaling=100.0
PSO,1.5836602e-06,0.0,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1238413517073985,0.2494110313096757,0.0,3.75,3.725799101852973,nr_particles=1; k=1; scaling=10.0
PSO,0.15137581882271098,0.2397213860373537,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.1353729046599701,0.2511892152188386,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.14244701201422047,0.24136158452708326,0.0,4.25,3.596416344962828,nr_particles=1; k=1; scaling=10.0
PSO,0.05783814626399677,0.19628412560671768,0.0,1.15,0.36634754853252327,nr_particles=1; k=1; scaling=100.0
PSO,0.11406048307681124,0.2203488370096302,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7786722391191047,0.10833324606405122,0.0,50,0.0,nr_particles=50; k=25; scaling=10.0
PSO,0.7654713430979833,0.10240387204884725,0.0,52.25,10.062305898749054,nr_particles=50; k=25; scaling=100.0
PSO,0.7412630588432982,0.10218596858756152,0.0,50,0.0,nr_particles=50; k=25; scaling=1000.0
PSO,0.7363004735153239,0.11474937811838272,0.0,50,0.0,nr_particles=50; k=16; scaling=10.0
PSO,0.7271744503045005,0.10672880423667348,0.0,50,0.0,nr_particles=50; k=16; scaling=100.0
PSO,0.7482247617163365,0.1338195848093712,0.0,52.15,9.615092303249096,nr_particles=50; k=16; scaling=1000.0
PSO,0.7559582953649576,0.087245989400769,0.0,50,0.0,nr_particles=50; k=10; scaling=10.0
PSO,0.7466045684692415,0.09070214476553705,0.0,50,0.0,nr_particles=50; k=10; scaling=100.0
PSO,0.7775608860612618,0.10984160845254937,0.0,50,0.0,nr_particles=50; k=10; scaling=1000.0
PSO,0.718384660898944,0.09565857931408049,0.0,50,0.0,nr_particles=50; k=5; scaling=10.0
PSO,0.6916805618213292,0.09388876892915114,0.0,50,0.0,nr_particles=50; k=5; scaling=100.0
PSO,0.7241161269866792,0.10721213237711918,0.0,50,0.0,nr_particles=50; k=5; scaling=1000.0
PSO,0.6863207396436487,0.1217276685515972,0.0,51.65,5.37317900609862,nr_particles=25; k=2; scaling=100.0
PSO,0.7344430888962056,0.08863036726115765,0.0,49.85,6.627494565107264,nr_particles=25; k=2; scaling=1000.0
PSO,0.7370081837718423,0.20251632117184856,0.0,50.75,11.493132961171113,nr_particles=16; k=3; scaling=100.0
PSO,0.6831867838817596,0.22678828118854796,0.0,49.65,11.4766353037263,nr_particles=16; k=3; scaling=1000.0
PSO,0.7217461669264286,0.14384853937785363,0.0,49.65,2.2307657406087453,nr_particles=16; k=1; scaling=10.0
PSO,0.6140171757260331,0.24337588370412927,0.0,20.15,3.6022653691078457,nr_particles=16; k=1; scaling=100.0
PSO,0.5539306537386777,0.1973549997287841,0.0,16.4,0.7539370349250519,nr_particles=16; k=1; scaling=1000.0
PSO,0.6209247851359225,0.33809521868439113,0.05,45.35,17.71492085933865,nr_particles=10; k=5; scaling=100.0
PSO,0.7651806572925058,0.1975585283741544,0.0,51.7,9.690472803630106,nr_particles=10; k=5; scaling=1000.0
PSO,0.7408937858807246,0.12153912683790298,0.0,51,9.936641389587487,nr_particles=10; k=3; scaling=100.0
PSO,0.639913265330523,0.2574450544311964,0.0,40.05,20.059057542010397,nr_particles=10; k=3; scaling=1000.0
PSO,0.7150812203403109,0.21911971508461256,0.0,50.3,4.878524367060187,nr_particles=10; k=2; scaling=10.0
PSO,0.7272671420997122,0.1987438758846163,0.0,43.65,15.452048067284938,nr_particles=10; k=2; scaling=100.0
PSO,0.6936135006385974,0.17955260923190164,0.0,44.8,14.799004233927006,nr_particles=10; k=2; scaling=1000.0
PSO,0.5914266461112768,0.23412564480200077,0.0,36.05,9.011542306222731,nr_particles=10; k=1; scaling=10.0
PSO,0.4207386104357734,0.2464748812202236,0.0,12.6,2.9451119181664924,nr_particles=10; k=1; scaling=100.0
PSO,0.42692073998779234,0.30735548598801143,0.0,10.1,0.30779350562554625,nr_particles=10; k=1; scaling=1000.0
PSO,0.531416743827748,0.2696797870413022,0.0,35.2,17.63847469237871,nr_particles=5; k=2; scaling=10.0
PSO,0.40662763822700715,0.34080296146853567,0.0,21.05,19.470558070557384,nr_particles=5; k=2; scaling=100.0
PSO,0.4989316827113695,0.3384429402975273,0.0,28.3,21.754854267738185,nr_particles=5; k=2; scaling=1000.0
PSO,0.38781766214612834,0.2747390154700275,0.0,19.8,10.334408546211051,nr_particles=5; k=1; scaling=10.0
PSO,0.3526718223685855,0.2779891581755542,0.0,6.6,1.500876936643164,nr_particles=5; k=1; scaling=100.0
PSO,0.4094068569669233,0.22743616246173226,0.0,5.1,0.30779350562554625,nr_particles=5; k=1; scaling=1000.0
PSO,0.48463648960164174,0.29347841040074596,0.0,22.1,10.202682825713307,nr_particles=5; k=1; scaling=10.0
PSO,0.3774310655502984,0.3134866985962058,0.0,5.95,1.234376040972246,nr_particles=5; k=1; scaling=100.0
PSO,0.3127071985199455,0.3398081906607594,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.48427506051677377,0.3022209292797991,0.0,20.4,6.91603780696494,nr_particles=5; k=1; scaling=10.0
PSO,0.3189255812983835,0.2851835186687334,0.0,5.95,0.9445132413883326,nr_particles=5; k=1; scaling=100.0
PSO,0.2684171076256579,0.2169412111940136,0.0,5,0.0,nr_particles=5; k=1; scaling=1000.0
PSO,0.3125554578509697,0.31174908625817066,0.0,12.8,8.544619729150588,nr_particles=3; k=1; scaling=10.0
PSO,0.3432006871783788,0.30365761786493073,0.0,4.3,1.9221698265515623,nr_particles=3; k=1; scaling=100.0
PSO,0.13424907659559007,0.19902540376898592,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.40269590371869807,0.330473981835878,0.0,12.15,4.965936600057383,nr_particles=3; k=1; scaling=10.0
PSO,0.2364102979673152,0.31516904104543475,0.0,3.4,0.7539370349250519,nr_particles=3; k=1; scaling=100.0
PSO,0.30529502917287105,0.29223120330099056,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.31136382171500304,0.31297641698627104,0.0,10.95,3.926629732051595,nr_particles=3; k=1; scaling=10.0
PSO,0.2693394996977673,0.29459740984091454,0.0,3.45,0.8870412083230169,nr_particles=3; k=1; scaling=100.0
PSO,0.26926913898184,0.27180800667032995,0.0,3,0.0,nr_particles=3; k=1; scaling=1000.0
PSO,0.25009382295362703,0.28509204178425107,0.0,11,6.890114963520298,nr_particles=3; k=1; scaling=10.0
PSO,0.14305901143297983,0.23403502202228857,0.0,3.5,0.6069769786668839,nr_particles=3; k=1; scaling=100.0
PSO,0.26165573518659874,0.2748648635154302,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.09501638538957884,0.1621708581950019,0.0,4.3,2.9575950400710087,nr_particles=1; k=1; scaling=10.0
PSO,0.05378193949803771,0.11884988135349307,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=100.0
PSO,0.19997879546047215,0.2611828330953907,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.08187654084907876,0.20808365552321267,0.0,3.25,1.6181535936466533,nr_particles=1; k=1; scaling=10.0
PSO,0.09729786269047726,0.21552699830295102,0.0,1.25,0.4442616583193193,nr_particles=1; k=1; scaling=100.0
PSO,0.1025195031909114,0.22853855476481238,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.19093319914355347,0.24652956126260636,0.0,3.1,2.731878089288913,nr_particles=1; k=1; scaling=10.0
PSO,0.0343615892520465,0.1248443313403139,0.0,1.4,0.9403246919632545,nr_particles=1; k=1; scaling=100.0
PSO,0.08115345059095389,0.20826911726164568,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1604397995590433,0.2593646672127409,0.0,5.55,7.214568594171102,nr_particles=1; k=1; scaling=10.0
PSO,0.14044606466774298,0.24078121327559027,0.0,1.25,0.4442616583193193,nr_particles=1; k=1; scaling=100.0
PSO,0.009367533907050314,0.04188580285167648,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8096875390159415,0.074022114776779,0.0,100,0.0,nr_particles=100; k=50; scaling=100.0
PSO,0.7923503500162404,0.09798511165300926,0.0,104.65,20.795432190748045,nr_particles=100; k=50; scaling=1000.0
PSO,0.827983804309635,0.08354526792292627,0.0,104.6,20.571825392998065,nr_particles=100; k=33; scaling=10.0
PSO,0.787791477129093,0.07776722444400157,0.0,100,0.0,nr_particles=100; k=33; scaling=100.0
PSO,0.8306437093561885,0.06554776319795619,0.0,104.9,21.913466179497938,nr_particles=100; k=33; scaling=1000.0
PSO,0.7948639096335812,0.08239230588668278,0.0,104.65,20.795432190748045,nr_particles=100; k=20; scaling=10.0
PSO,0.7888788891046616,0.07279391109654966,0.0,100,0.0,nr_particles=100; k=20; scaling=1000.0
PSO,0.8014216652736924,0.0786473869465297,0.0,104.55,20.34821859524809,nr_particles=100; k=10; scaling=10.0
PSO,0.7996710491935534,0.07017583076516351,0.0,100,0.0,nr_particles=100; k=10; scaling=100.0
PSO,0.8001176858924632,0.1345174437646382,0.0,102.05,11.25996634565411,nr_particles=20; k=2; scaling=10.0
PSO,0.7963298234352415,0.11152220968303278,0.0,95.3,22.238184325732693,nr_particles=20; k=2; scaling=100.0
PSO,0.7967625640098466,0.14171672552101797,0.0,88.85,27.932767025201972,nr_particles=20; k=2; scaling=1000.0
PSO,0.8600030689922649,0.07547040902143358,0.0,103.75,2.197486602557807,nr_particles=10; k=5; scaling=10.0
PSO,0.8182225370500547,0.20820809447352176,0.0,98.3,20.243517480912253,nr_particles=10; k=5; scaling=100.0
PSO,0.8500488770187206,0.21296904826336563,0.0,99.25,21.16321286920699,nr_particles=10; k=5; scaling=1000.0
PSO,0.7964555813482332,0.21347522575942515,0.0,98.45,15.48335269010933,nr_particles=10; k=3; scaling=10.0
PSO,0.8140923062479554,0.18254289516817757,0.0,97.4,19.93251773253682,nr_particles=10; k=3; scaling=100.0
PSO,0.6313820110119996,0.3522908837655421,0.0,78.05,40.48323239642751,nr_particles=10; k=3; scaling=1000.0
PSO,0.7923660411919311,0.09210914578366726,0.0,101.45,1.3168942730211068,nr_particles=10; k=2; scaling=10.0
