pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.935080140841835,0.06345655408075271,0.1,98.65,4.307582054690861,tabu_size=400; nbour=Hamming
Tabu search,0.8857718337264422,0.08447876415834096,0.1,91.65,25.848292216823836,tabu_size=400; nbour=adjacent
Tabu search,0.9224754505941966,0.08116413017956832,0.2,96.95,6.411133408294306,tabu_size=700; nbour=Hamming
Tabu search,0.8704864927603935,0.08435471498404071,0.0,100,0.0,tabu_size=700; nbour=adjacent
Tabu search,0.926295695237782,0.06887395571689277,0.1,99.15,2.6212692787233722,tabu_size=1000; nbour=Hamming
Tabu search,0.897473345335444,0.07693417661585508,0.05,97.05,13.192801067248759,tabu_size=1000; nbour=adjacent
Tabu search,0.9126677007469428,0.10207690874141981,0.05,99.5,2.23606797749979,tabu_size=2000; nbour=Hamming
Tabu search,0.9053220825123838,0.07387086039790669,0.15,91.15,22.410699982022216,tabu_size=2000; nbour=adjacent
Tabu search,0.9999962304048117,9.20654637481963e-06,0.85,169.5,28.249825337140535,tabu_size=4; nbour=Hamming
Tabu search,0.8846355199108167,0.08369507391740445,0.1,137.45,63.93374448763756,tabu_size=4; nbour=adjacent
Tabu search,0.9953951894136344,0.011948498861753636,0.8,160.6,29.425016209806383,tabu_size=8; nbour=Hamming
Tabu search,0.8612492720527303,0.06927185126555666,0.05,154.5,44.73136189344234,tabu_size=8; nbour=adjacent
Tabu search,0.9905511766733315,0.0162915756849233,0.6,174.75,32.586524499359676,tabu_size=16; nbour=Hamming
Tabu search,0.8605452187102132,0.06979420079017548,0.05,177.35,41.917556929613255,tabu_size=16; nbour=adjacent
Tabu search,0.9958401204452364,0.0140760905507046,0.8,163.75,38.35138781541577,tabu_size=32; nbour=Hamming
Tabu search,0.8573423168462362,0.07245917066839927,0.1,183.95,49.16724947617705,tabu_size=32; nbour=adjacent
Tabu search,0.9946047184266844,0.01413356292998882,0.7,170.95,37.110751740389766,tabu_size=64; nbour=Hamming
Tabu search,0.8649370983353657,0.0764589759298231,0.0,200,0.0,tabu_size=64; nbour=adjacent
Tabu search,0.9963734899991896,0.011884920677588593,0.7,160.45,43.12463577268005,tabu_size=100; nbour=Hamming
Tabu search,0.88813910357641,0.06852763409295708,0.0,200,0.0,tabu_size=100; nbour=adjacent
Tabu search,0.9965684994003438,0.011119697052878857,0.8,164.25,41.46637826379089,tabu_size=200; nbour=Hamming
Tabu search,0.901045453559182,0.08111326935805391,0.1,186.65,41.09331486161453,tabu_size=200; nbour=adjacent
Tabu search,0.996319734360527,0.011635763606839591,0.8,168.05,28.30189690499654,tabu_size=400; nbour=Hamming
Tabu search,0.872143218580623,0.07995930270054602,0.0,200,0.0,tabu_size=400; nbour=adjacent
Tabu search,0.9943115653191263,0.014456123536899288,0.65,170.7,27.6806981962446,tabu_size=700; nbour=Hamming
Tabu search,0.8701955872911515,0.06871727860580414,0.05,192.85,31.975772078246994,tabu_size=700; nbour=adjacent
Tabu search,0.9999974869365411,7.73504611880412e-06,0.9,165.1,37.66458618691541,tabu_size=1000; nbour=Hamming
Tabu search,0.9244853196126481,0.08248065220238072,0.15,183.55,44.357963742358834,tabu_size=1000; nbour=adjacent
Tabu search,0.9934326649717045,0.014630212499536374,0.75,176.9,32.26518410397124,tabu_size=2000; nbour=Hamming
Tabu search,0.8765171495813544,0.08780798344996421,0.1,188.75,37.27123202742438,tabu_size=2000; nbour=adjacent
Tabu search,1.0,0.0,1.0,172,41.947335402483205,tabu_size=4; nbour=Hamming
Tabu search,0.8858048874458483,0.07594561563138041,0.1,140.7,86.91926078112286,tabu_size=4; nbour=adjacent
Tabu search,1.0,0.0,1.0,178,37.0916361688752,tabu_size=8; nbour=Hamming
Tabu search,0.8513578266368221,0.06317743381100922,0.0,169.2,84.37111004678269,tabu_size=8; nbour=adjacent
Tabu search,1.0,0.0,1.0,163.7,55.048399756845555,tabu_size=16; nbour=Hamming
Tabu search,0.839761343115064,0.07475232412437481,0.1,218.15,99.48936732398249,tabu_size=16; nbour=adjacent
Tabu search,1.0,0.0,1.0,173.4,41.557062861614874,tabu_size=32; nbour=Hamming
Tabu search,0.8739312962513793,0.07537726088998711,0.05,308.4,108.36798905872332,tabu_size=32; nbour=adjacent
Tabu search,1.0,0.0,1.0,171,49.50810672585801,tabu_size=64; nbour=Hamming
Tabu search,0.8897373977585453,0.07651659055433532,0.1,361.3,101.7593135527989,tabu_size=64; nbour=adjacent
Tabu search,1.0,0.0,1.0,195.4,55.84979856722851,tabu_size=100; nbour=Hamming
Tabu search,0.8963500759474095,0.07897891533224456,0.05,382.95,76.24991803274283,tabu_size=100; nbour=adjacent
Tabu search,1.0,0.0,1.0,173.25,39.238642339300924,tabu_size=200; nbour=Hamming
Tabu search,0.9067907114667932,0.07956472446255537,0.1,364.95,108.03092880720489,tabu_size=200; nbour=adjacent
Tabu search,1.0,0.0,1.0,175.3,49.52203124819668,tabu_size=400; nbour=Hamming
Tabu search,0.8771413571894062,0.08236411771939332,0.05,383.15,75.35549084174292,tabu_size=400; nbour=adjacent
Tabu search,1.0,0.0,1.0,174.95,41.67351171844495,tabu_size=700; nbour=Hamming
Tabu search,0.8797790953227341,0.0739489947098347,0.1,365.4,106.51434299265942,tabu_size=700; nbour=adjacent
Tabu search,1.0,0.0,1.0,158,49.39422510460317,tabu_size=1000; nbour=Hamming
