pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Tabu search,0.979234548044375,0.023909260887632396,0.15,93.75,17.573529735611483,tabu_size=200; nbour=adjacent
Tabu search,0.9867604672742918,0.00659341281173988,0.05,99.65,1.5652475842498528,tabu_size=400; nbour=Hamming
Tabu search,0.9858499942531496,0.014469198560962484,0.25,84.1,32.39216929412026,tabu_size=400; nbour=adjacent
Tabu search,0.9882515930902044,0.007322898217909117,0.1,95.3,17.99736822865762,tabu_size=700; nbour=Hamming
Tabu search,0.9770570535516965,0.016380747156096352,0.05,97.2,12.521980673998822,tabu_size=700; nbour=adjacent
Tabu search,0.9886708044702777,0.007851828816103646,0.25,96.4,7.549137280789807,tabu_size=1000; nbour=Hamming
Tabu search,0.9730300427879971,0.027027050584151783,0.1,97.8,7.251860015486408,tabu_size=1000; nbour=adjacent
Tabu search,0.9791967426672507,0.044099745579687016,0.05,97.55,10.956733089748969,tabu_size=2000; nbour=Hamming
Tabu search,0.9669092686271044,0.03782107896498079,0.0,100,0.0,tabu_size=2000; nbour=adjacent
Tabu search,0.9919316782582076,0.004504896764723798,0.2,177.5,54.786187271879704,tabu_size=4; nbour=Hamming
Tabu search,0.9681901405031177,0.04445279144135298,0.2,95.3,47.204036401896595,tabu_size=4; nbour=adjacent
Tabu search,0.990914456094853,0.005535886675264837,0.1,193.8,22.897023479276218,tabu_size=8; nbour=Hamming
Tabu search,0.9827019675226437,0.02228937281937429,0.1,132.45,51.99744426917842,tabu_size=8; nbour=adjacent
Tabu search,0.9921696185372879,0.004456648174278157,0.2,179.1,50.98286605889225,tabu_size=16; nbour=Hamming
Tabu search,0.9888901141578407,0.010843944572661473,0.25,167.45,50.65203793894596,tabu_size=16; nbour=adjacent
Tabu search,0.9932047925903645,0.0051101729165187485,0.25,186.05,28.197564284507756,tabu_size=32; nbour=Hamming
Tabu search,0.9881310456093784,0.010046906215688014,0.15,184.45,39.24078839274525,tabu_size=32; nbour=adjacent
Tabu search,0.9929953010923053,0.005989163250031091,0.35,163.5,62.0640585880512,tabu_size=64; nbour=Hamming
Tabu search,0.9862152827360752,0.014204594459840071,0.1,193.3,29.035549898266726,tabu_size=64; nbour=adjacent
Tabu search,0.9912874618501111,0.005590016464237324,0.2,182.85,37.16573832527961,tabu_size=100; nbour=Hamming
Tabu search,0.9906895530355656,0.007417327569495324,0.2,176.1,56.669772876682124,tabu_size=100; nbour=adjacent
Tabu search,0.9947297677381375,0.0058036981721451535,0.45,160.95,54.93294956006296,tabu_size=200; nbour=Hamming
Tabu search,0.9880389770913457,0.011913701458984433,0.2,181.1,47.53159613960957,tabu_size=200; nbour=adjacent
Tabu search,0.9904678540047003,0.005863656427207525,0.2,190.25,29.566828852973945,tabu_size=400; nbour=Hamming
Tabu search,0.9890684633195596,0.007310359528703928,0.1,197.35,10.322560881772251,tabu_size=400; nbour=adjacent
Tabu search,0.9934356779143094,0.00605547316037801,0.35,171.9,50.635851663462816,tabu_size=700; nbour=Hamming
Tabu search,0.987022258212117,0.020355481219918495,0.3,175.25,45.83939353874569,tabu_size=700; nbour=adjacent
Tabu search,0.9929725594995444,0.0068153447388037405,0.35,163.5,56.512225039785584,tabu_size=1000; nbour=Hamming
Tabu search,0.9870906512566717,0.010996218070899257,0.05,194.8,23.25510696599781,tabu_size=1000; nbour=adjacent
Tabu search,0.992428906878635,0.005396208902708224,0.15,184.6,40.125329970769805,tabu_size=2000; nbour=Hamming
Tabu search,0.9896580256686175,0.0104899682421297,0.35,156.7,68.24190717394146,tabu_size=2000; nbour=adjacent
Tabu search,0.9977616163844966,0.004593066266337296,0.8,230.2,106.77354294807404,tabu_size=4; nbour=Hamming
Tabu search,0.9743732436556425,0.03513213736585373,0.15,110.9,44.3976054356657,tabu_size=4; nbour=adjacent
Tabu search,0.9959325649310541,0.005243238763257714,0.6,276.85,118.55901262107496,tabu_size=8; nbour=Hamming
Tabu search,0.9886155134956631,0.009471637135181704,0.2,144.05,66.83087452273601,tabu_size=8; nbour=adjacent
Tabu search,0.9979995566635768,0.004212303759613605,0.8,254.15,117.7246005682218,tabu_size=16; nbour=Hamming
Tabu search,0.991728671806526,0.006589106343617424,0.2,284.15,127.62497486983618,tabu_size=16; nbour=adjacent
Tabu search,0.9966424245767448,0.005262018459359715,0.7,237.15,140.77278258168187,tabu_size=32; nbour=Hamming
Tabu search,0.9956173825353877,0.004757177382479894,0.35,304.05,135.9823808246379,tabu_size=32; nbour=adjacent
Tabu search,0.9945754328442222,0.0056152688479925985,0.5,282.05,136.3982076591609,tabu_size=64; nbour=Hamming
Tabu search,0.9907596863004545,0.00850442763229405,0.2,344.55,122.5283962791354,tabu_size=64; nbour=adjacent
Tabu search,0.9943703199460353,0.005708623186783885,0.45,290.95,139.28292863996762,tabu_size=100; nbour=Hamming
Tabu search,0.9916388154204169,0.011436438248020101,0.5,339.4,89.60227910635216,tabu_size=100; nbour=adjacent
Tabu search,0.9948133731233024,0.005456604670102626,0.5,281.55,133.83118785285163,tabu_size=200; nbour=Hamming
Tabu search,0.9964093740875637,0.0054761942505301715,0.6,304.75,120.06440157813552,tabu_size=200; nbour=adjacent
Tabu search,0.9988808081922482,0.0034447996997529714,0.9,214.05,101.66584842926412,tabu_size=400; nbour=Hamming
Tabu search,0.9891905045831784,0.01072654822078758,0.2,369,79.50438584393349,tabu_size=400; nbour=adjacent
Tabu search,0.9957472098225931,0.005412226173782941,0.55,303.6,117.58598197869819,tabu_size=700; nbour=Hamming
Tabu search,0.9922139532634927,0.010770602887424116,0.45,370.25,48.231759573738834,tabu_size=700; nbour=adjacent
Tabu search,0.9944917174985067,0.005322739387766342,0.45,309,116.28820820883368,tabu_size=1000; nbour=Hamming
Tabu search,0.9886000791503474,0.01275048092697324,0.35,342.35,103.2311025142897,tabu_size=1000; nbour=adjacent
Tabu search,0.9960828286728689,0.00547688245770614,0.65,262.3,137.6651544031463,tabu_size=2000; nbour=Hamming
Tabu search,0.9932258360898362,0.008638543750131632,0.45,298,137.83132330573673,tabu_size=2000; nbour=adjacent
Tabu search,0.9932848491534896,0.005625334353658317,0.4,264.2,91.72877640660334,tabu_size=4; nbour=Hamming
Tabu search,0.9792202992578286,0.02381759901184826,0.1,96.75,45.77964958133116,tabu_size=4; nbour=adjacent
Tabu search,0.9977616163844966,0.004593066266337296,0.8,277.85,120.81751136582635,tabu_size=8; nbour=Hamming
