GEMM_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.18687833377790966,0.290429466681954,0.0,3.54,2.4261332298494227,nr_particles=1; k=1; scaling=10.0
PSO,0.09820605836271763,0.21093304511574246,0.0,1.26,0.8283250865328128,nr_particles=1; k=1; scaling=100.0
PSO,0.06838099452415246,0.14587691751102919,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.21857790741525362,0.33378163746355655,0.0,3.98,2.5673777617305507,nr_particles=1; k=1; scaling=10.0
PSO,0.09250496594533575,0.20511397296849593,0.0,1.16,0.42185208743524,nr_particles=1; k=1; scaling=100.0
PSO,0.08108345459853815,0.2069713089099177,0.0,1.02,0.1414213562373095,nr_particles=1; k=1; scaling=1000.0
PSO,0.1153312484221086,0.227329338082664,0.0,3.8,3.551372255616015,nr_particles=1; k=1; scaling=10.0
PSO,0.14011830530356792,0.23020962550336974,0.0,1.36,0.7216760537322907,nr_particles=1; k=1; scaling=100.0
PSO,0.16425225962740944,0.2518795713258045,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.8615482470981856,0.060669655721024424,0.0,101.92,13.576450198781712,nr_particles=100; k=50; scaling=100.0
PSO,0.8695366167730902,0.054742867817108846,0.0,103.76,18.61156103290728,nr_particles=100; k=50; scaling=1000.0
PSO,0.8566323332574551,0.060448188497192,0.0,101.94,13.717871555019022,nr_particles=100; k=33; scaling=100.0
PSO,0.8729146162009774,0.05309748516879486,0.0,103.52,17.438217471158815,nr_particles=100; k=33; scaling=1000.0
PSO,0.86539165862496,0.06652713025672402,0.0,101.74,12.303657992645928,nr_particles=100; k=20; scaling=100.0
PSO,0.8527455101775825,0.07168481387111647,0.0,100,0.0,nr_particles=100; k=20; scaling=1000.0
PSO,0.8635532065229485,0.0833209467811232,0.0,103.4,3.1558174334820746,nr_particles=20; k=2; scaling=10.0
PSO,0.8480150035209736,0.15844076980370927,0.0,93.42,24.019626328891793,nr_particles=20; k=2; scaling=100.0
PSO,0.8663947703114298,0.07829683137226057,0.0,92.22,25.399092061548586,nr_particles=20; k=2; scaling=1000.0
PSO,0.9275020992039985,0.05147143880445463,0.02,102.86,2.6419689627245813,nr_particles=10; k=5; scaling=10.0
PSO,0.868822638443949,0.22569790268594794,0.02,96.8,21.296737318381968,nr_particles=10; k=5; scaling=100.0
PSO,0.8200234325992297,0.2800488475614939,0.0,93.16,28.099938267053986,nr_particles=10; k=5; scaling=1000.0
PSO,0.902118124997447,0.06636844818122944,0.0,102.48,2.0227280023346124,nr_particles=10; k=3; scaling=10.0
PSO,0.833929809625904,0.2526106609039197,0.0,92.62,26.745886580549016,nr_particles=10; k=3; scaling=100.0
PSO,0.7883572982275902,0.3181032322160475,0.04,83.14,36.985937757974106,nr_particles=10; k=3; scaling=1000.0
PSO,0.8269467578068818,0.2114819454107546,0.0,92.18,22.159615777999658,nr_particles=10; k=2; scaling=10.0
PSO,0.7558050890924767,0.28221783674114337,0.0,66.5,39.39245240045926,nr_particles=10; k=2; scaling=100.0
PSO,0.7011981220740887,0.3354135139768242,0.0,60.1,42.19693866447021,nr_particles=10; k=2; scaling=1000.0
PSO,0.701039866593016,0.20675937151141124,0.0,38.92,10.663383848574561,nr_particles=10; k=1; scaling=10.0
PSO,0.6196159126086939,0.2354011819492922,0.0,12.68,2.333780326475673,nr_particles=10; k=1; scaling=100.0
PSO,0.5815925730627807,0.2596402976877747,0.0,10.28,0.6712765785411846,nr_particles=10; k=1; scaling=1000.0
PSO,0.8587416304332116,0.22294475165120023,0.0,95.44,17.241572919391487,nr_particles=7; k=3; scaling=10.0
PSO,0.6915413512335123,0.390755492223375,0.0,76.88,39.63591444997471,nr_particles=7; k=3; scaling=100.0
PSO,0.6657268256744511,0.3799785034031869,0.0,72.52,41.513823613591754,nr_particles=7; k=3; scaling=1000.0
PSO,0.7775400733334726,0.27445290604928907,0.0,85.48,26.395144884417434,nr_particles=7; k=2; scaling=10.0
PSO,0.628721658724366,0.3432947285987987,0.0,45.88,41.22939312120489,nr_particles=7; k=2; scaling=100.0
PSO,0.6444038949748949,0.35754168053794483,0.0,54.22,42.78770088400142,nr_particles=7; k=2; scaling=1000.0
PSO,0.5855732489664978,0.2845285286582831,0.0,28.24,9.759474726581114,nr_particles=7; k=1; scaling=10.0
PSO,0.43592648438242754,0.31532124127041666,0.0,8.26,1.7706219361615079,nr_particles=7; k=1; scaling=100.0
PSO,0.3744025911286957,0.30815139841027145,0.0,7.14,0.40456577881446565,nr_particles=7; k=1; scaling=1000.0
PSO,0.6378814140749156,0.2722088020363535,0.0,26.84,8.593685389367508,nr_particles=7; k=1; scaling=10.0
PSO,0.4931390448677691,0.2959083004241255,0.0,8.48,1.3738074605910067,nr_particles=7; k=1; scaling=100.0
PSO,0.41167867119366913,0.2974384676559801,0.0,7.26,0.5272183453498839,nr_particles=7; k=1; scaling=1000.0
PSO,0.45552489047016864,0.3301522601575222,0.0,11.88,4.926562737666422,nr_particles=3; k=1; scaling=10.0
PSO,0.22712880425807316,0.23678929195315732,0.0,3.62,0.9452350965527582,nr_particles=3; k=1; scaling=100.0
PSO,0.27209238007343534,0.31821150485755023,0.0,3.06,0.23989793748209523,nr_particles=3; k=1; scaling=1000.0
PSO,0.3964030522763233,0.33361993823878605,0.0,11.2,4.681705602335411,nr_particles=3; k=1; scaling=10.0
PSO,0.249850041645503,0.309664317899033,0.0,3.64,0.9847821679779477,nr_particles=3; k=1; scaling=100.0
PSO,0.24534455841485153,0.3130868220590516,0.0,3.12,0.38544964466377263,nr_particles=3; k=1; scaling=1000.0
PSO,0.37344764608012543,0.3348317253152006,0.0,12.76,8.963782000645823,nr_particles=3; k=1; scaling=10.0
PSO,0.23429781906655922,0.2938890708384334,0.0,3.7,1.1111677990074318,nr_particles=3; k=1; scaling=100.0
PSO,0.2595826869605239,0.29588110478907004,0.0,3.08,0.4444671196029727,nr_particles=3; k=1; scaling=1000.0
PSO,0.380068524587798,0.3240321691316472,0.0,12.36,6.4610607583003725,nr_particles=3; k=1; scaling=10.0
PSO,0.23006781093940895,0.2776534390063721,0.0,3.84,1.3903457212110215,nr_particles=3; k=1; scaling=100.0
PSO,0.2555801127658606,0.3005516114400432,0.0,3.08,0.3404678653660853,nr_particles=3; k=1; scaling=1000.0
PSO,0.8991299004238449,0.13700654828200723,0.0,154.68,18.527905043639514,nr_particles=30; k=3; scaling=1000.0
PSO,0.9572928961839501,0.027381880594447114,0.06,153.8,3.238795442501324,nr_particles=15; k=7; scaling=10.0
PSO,0.9028926048366764,0.19787024404200873,0.06,148.78,27.00362031661832,nr_particles=15; k=7; scaling=100.0
PSO,0.9576272466066558,0.03409489696378926,0.08,153.94,3.2160947290343374,nr_particles=15; k=7; scaling=1000.0
PSO,0.9359099461677095,0.04303289321566097,0.04,154.06,3.0733216757197708,nr_particles=15; k=4; scaling=10.0
PSO,0.9178646543383862,0.1396289187793395,0.02,150.9,19.52209632436945,nr_particles=15; k=4; scaling=100.0
PSO,0.9240094745187425,0.047724386672359384,0.02,151.16,19.797299341690266,nr_particles=15; k=4; scaling=1000.0
PSO,0.9275964869305074,0.040702043407284935,0.02,154.18,3.5896108594733467,nr_particles=15; k=3; scaling=10.0
PSO,0.911800978529864,0.12540420000436517,0.0,147.56,27.250283653269985,nr_particles=15; k=3; scaling=100.0
PSO,0.9265314252001389,0.08247038685751705,0.0,149.76,19.585042189156,nr_particles=15; k=3; scaling=1000.0
PSO,0.7803536125077213,0.14038494527105916,0.0,60.36,18.35562528468689,nr_particles=15; k=1; scaling=10.0
PSO,0.7160283894609712,0.16854266617533828,0.0,18.36,2.3626342959346314,nr_particles=15; k=1; scaling=100.0
PSO,0.5914887555612015,0.24570232352694282,0.0,15.34,0.6580738746446297,nr_particles=15; k=1; scaling=1000.0
PSO,0.9433600126705219,0.03738012048218179,0.0,151.02,6.096134606687843,nr_particles=10; k=5; scaling=10.0
PSO,0.9145635482355823,0.19130518410275946,0.04,143.84,28.707788888333823,nr_particles=10; k=5; scaling=100.0
PSO,0.7797456509671867,0.35652701234036727,0.0,126.62,54.96376914265748,nr_particles=10; k=5; scaling=1000.0
PSO,0.8775378396258742,0.18708303244289712,0.0,145.18,24.11679912426191,nr_particles=10; k=3; scaling=10.0
PSO,0.8138814054563911,0.2953357170575821,0.0,127.2,51.15163532007914,nr_particles=10; k=3; scaling=100.0
PSO,0.8225908245432983,0.27683241303669043,0.0,121.2,52.042368924418746,nr_particles=10; k=3; scaling=1000.0
PSO,0.8871859946315982,0.14894831088737476,0.0,141.42,21.682391990944623,nr_particles=10; k=2; scaling=10.0
PSO,0.843660287042648,0.2456376191671479,0.0,107.84,51.587595408198666,nr_particles=10; k=2; scaling=100.0
PSO,0.7428044575265061,0.3212041038637465,0.0,100.9,60.72294055959479,nr_particles=10; k=2; scaling=1000.0
PSO,0.7297964630331558,0.18814816793873873,0.0,40.78,11.201840227828457,nr_particles=10; k=1; scaling=10.0
PSO,0.5615193736719118,0.2357182308107022,0.0,11.96,2.156717081916071,nr_particles=10; k=1; scaling=100.0
PSO,0.5713267064731002,0.2593581141793808,0.0,10.2,0.4948716593053935,nr_particles=10; k=1; scaling=1000.0
PSO,0.7165569641598082,0.2957319860206077,0.0,65.46,40.284807487261425,nr_particles=4; k=2; scaling=10.0
PSO,0.40877879988340277,0.4255824386421502,0.0,33.04,38.68816198207173,nr_particles=4; k=2; scaling=100.0
PSO,0.34059557587817924,0.39832489502012797,0.0,21.54,31.405322569817457,nr_particles=4; k=2; scaling=1000.0
PSO,0.49736112625645684,0.2938712286434963,0.0,15.94,11.47385670797322,nr_particles=4; k=1; scaling=10.0
PSO,0.3983581063902237,0.30060160342981024,0.0,4.56,0.8369039151929606,nr_particles=4; k=1; scaling=100.0
PSO,0.27119254480354815,0.28492999434031246,0.0,4.18,0.5225526045191966,nr_particles=4; k=1; scaling=1000.0
PSO,0.4799674622472796,0.33234051016775684,0.0,14.76,6.441447422587503,nr_particles=4; k=1; scaling=10.0
PSO,0.29529516725860677,0.3261760149770397,0.0,4.64,0.9847821679779477,nr_particles=4; k=1; scaling=100.0
PSO,0.30336816343794676,0.3321372422945505,0.0,4.08,0.4444671196029727,nr_particles=4; k=1; scaling=1000.0
