convolution_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.13963476261204769,0.2332547547546128,0.0,1.25,1.118033988749895,nr_particles=1; k=1; scaling=1000.0
PSO,0.260052139467813,0.27561358670238373,0.0,6.3,5.202226244093661,nr_particles=1; k=1; scaling=10.0
PSO,0.07867401620381317,0.14897592860033973,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.13651763819900428,0.20039197175253806,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.23402705863883896,0.28053881817342025,0.0,7.1,6.6403867991334105,nr_particles=1; k=1; scaling=10.0
PSO,0.08624962289672754,0.1598625176054518,0.0,1.4,0.5026246899500346,nr_particles=1; k=1; scaling=100.0
PSO,0.07969071497785495,0.18167650033948005,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.15330084897785826,0.25989820476541164,0.0,5.4,4.345596682426453,nr_particles=1; k=1; scaling=10.0
PSO,0.12527117394229553,0.22160618924360168,0.0,1.35,0.5871429486123998,nr_particles=1; k=1; scaling=100.0
PSO,0.20589038760933845,0.251737666505755,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.1598626433399314,0.22145903056902927,0.0,5.35,4.029823033857756,nr_particles=1; k=1; scaling=10.0
PSO,0.09586722290988824,0.18195098021617134,0.0,1.45,1.5719582155957412,nr_particles=1; k=1; scaling=100.0
PSO,0.06335606318131162,0.1381493753802802,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.16910908705195482,0.2586222942288017,0.0,6.5,5.424117682312852,nr_particles=1; k=1; scaling=10.0
PSO,0.1958548921498042,0.24997828517891157,0.0,1.55,0.887041208323017,nr_particles=1; k=1; scaling=100.0
PSO,0.09630128985176939,0.17785525734255658,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.6756357052861215,0.08835453801274916,0.0,50,0.0,nr_particles=50; k=25; scaling=10.0
PSO,0.6940693812244844,0.09908844308789193,0.0,52.3,10.285912696499032,nr_particles=50; k=25; scaling=100.0
PSO,0.6907515965644639,0.08694790447809925,0.0,52.05,9.167878707749137,nr_particles=50; k=25; scaling=1000.0
PSO,0.7269240915492492,0.09033106300693411,0.0,52.2,9.838699100999074,nr_particles=50; k=16; scaling=10.0
PSO,0.686272393910402,0.07411534481585132,0.0,50,0.0,nr_particles=50; k=16; scaling=100.0
PSO,0.7178312768543472,0.11649910484580021,0.0,52.3,10.285912696499032,nr_particles=50; k=16; scaling=1000.0
PSO,0.7080183728091418,0.1020372259130824,0.0,52.35,10.509519494249012,nr_particles=50; k=10; scaling=10.0
PSO,0.7363022856710097,0.10075117866697669,0.0,50,0.0,nr_particles=50; k=10; scaling=100.0
PSO,0.6852105776174361,0.05284932607500911,0.0,52.15,9.615092303249096,nr_particles=50; k=10; scaling=1000.0
PSO,0.6944826098828466,0.0841795508076856,0.0,50,0.0,nr_particles=50; k=5; scaling=100.0
PSO,0.7226301929837151,0.05503981251665177,0.0,51.45,6.48459713474939,nr_particles=50; k=5; scaling=1000.0
PSO,0.5913266626436512,0.1492729149508941,0.0,21.1,3.552612085716501,nr_particles=16; k=1; scaling=100.0
PSO,0.5716654166434928,0.15887522244963548,0.0,16.8,0.8335087534664907,nr_particles=16; k=1; scaling=1000.0
PSO,0.761670375836948,0.08081205678691167,0.0,50.9,8.723229725400177,nr_particles=10; k=3; scaling=100.0
PSO,0.6351639937368369,0.19269345097637708,0.0,50,9.363984756839141,nr_particles=10; k=3; scaling=1000.0
PSO,0.646025333246841,0.161765533447362,0.0,45.2,11.399907663522635,nr_particles=10; k=2; scaling=100.0
PSO,0.6694909302741491,0.1428282591843585,0.0,45.45,8.976431127651662,nr_particles=10; k=2; scaling=1000.0
PSO,0.6188642818396455,0.16662912870707736,0.05,48.05,5.817170590949738,nr_particles=10; k=1; scaling=10.0
PSO,0.5398446838643324,0.22086303121258857,0.0,14.5,5.206271521722118,nr_particles=10; k=1; scaling=100.0
PSO,0.5599060066168731,0.13596823170653544,0.0,10,0.3244428422615251,nr_particles=10; k=1; scaling=1000.0
PSO,0.6277372431924089,0.1743303436809008,0.0,43.45,10.620114976084919,nr_particles=5; k=2; scaling=10.0
PSO,0.6688595209209224,0.18986759703399458,0.0,32.6,15.18794535842575,nr_particles=5; k=2; scaling=100.0
PSO,0.5172476878070135,0.26198333426117604,0.0,32.25,19.360499667323182,nr_particles=5; k=2; scaling=1000.0
PSO,0.4612788379829896,0.26315992767154817,0.0,27.25,10.098853504495604,nr_particles=5; k=1; scaling=10.0
PSO,0.3526997380166385,0.26268696891197585,0.0,7.25,2.2682012349227887,nr_particles=5; k=1; scaling=100.0
PSO,0.4310314891281492,0.22301312405501938,0.0,5.2,0.41039134083406165,nr_particles=5; k=1; scaling=1000.0
PSO,0.552420017000452,0.19370456659496102,0.0,29.05,10.995094600009493,nr_particles=5; k=1; scaling=10.0
PSO,0.4062573454855641,0.20036196394930988,0.0,6.55,1.8202082009311027,nr_particles=5; k=1; scaling=100.0
PSO,0.3034551668326587,0.19991842000549503,0.0,5.05,0.22360679774997896,nr_particles=5; k=1; scaling=1000.0
PSO,0.49277550975644346,0.21774963484222717,0.0,28.35,10.48946840256555,nr_particles=5; k=1; scaling=10.0
PSO,0.41958080713391005,0.22149397941499027,0.0,8,5.525062514530825,nr_particles=5; k=1; scaling=100.0
PSO,0.33189767733571274,0.23253512435776771,0.0,5.15,0.36634754853252327,nr_particles=5; k=1; scaling=1000.0
PSO,0.4478598400919991,0.2172802112639262,0.0,15.2,6.32122573057173,nr_particles=3; k=1; scaling=10.0
PSO,0.29476633377719386,0.2232309891459548,0.0,4.7,2.617753154701063,nr_particles=3; k=1; scaling=100.0
PSO,0.31121627496901444,0.28683488178171174,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.45243081296206017,0.24523449869800906,0.0,15.45,6.565259444907518,nr_particles=3; k=1; scaling=10.0
PSO,0.3902442788149283,0.2545022620405555,0.0,3.8,0.6155870112510924,nr_particles=3; k=1; scaling=100.0
PSO,0.31983753141159355,0.28541751387557024,0.0,3.15,0.36634754853252327,nr_particles=3; k=1; scaling=1000.0
PSO,0.4577006699264122,0.2646902316052797,0.0,17.95,7.836990560963537,nr_particles=3; k=1; scaling=10.0
