pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.8933166060223884,0.1113525163399572,0.05,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8229696375084453,0.06502196843020011,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.8083344782032539,0.16123391372547283,0.05,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.8908105815483701,0.08124413657130809,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.8818259752620492,0.1252669169825743,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.8458098570480372,0.08312784646651147,0.05,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.7853447881135922,0.20183726455647252,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.8746864764739423,0.09139058217951054,0.05,24.7,1.3416407864998738,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.8839089404325002,0.0860771032724154,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.8376240677787365,0.0784739110536771,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.7827161877823202,0.17202706509279092,0.05,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.8658716342143042,0.07554948717560629,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.8488583341390199,0.16537827867637656,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.8234379933777252,0.057029217587934396,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.8368671308939991,0.15333574533890257,0.05,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.8692791719409466,0.08622877904650485,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.8923915274145147,0.09147303250141435,0.05,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.8548915480603932,0.06673135833787355,0.05,24.45,2.4596747752497685,walksize=0.1; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.7258635085003005,0.18155376358643677,0.05,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.8717065645711439,0.07791945149885687,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.8615394359950427,0.12650726641815455,0.05,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.8412838130885509,0.07677642191284569,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.7385770859422527,0.21028231058161337,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.8741182416604247,0.07757273113209978,0.1,24.6,1.7888543819998317,walksize=0.1; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.8699434534318622,0.09039154516182754,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.8529556980793063,0.06547687673182902,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.7531265528971824,0.2063917017232555,0.1,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.8763353351303641,0.07414111330298837,0.05,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.896524090937897,0.11043805143909302,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.8858183007507328,0.0947507700515612,0.1,24.6,1.7888543819998317,walksize=0.1; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.7882335127682438,0.19344349748899098,0.15,25,0.0,walksize=0.1; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.8601876342451151,0.0709580369624178,0.05,24.75,1.118033988749895,walksize=0.1; no_improve=200; restart=False; nbour=adjacent
