pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8593848513089934,0.09074431048282652,0.0,49.5,2.23606797749979,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8636095123664774,0.08401238546970591,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8981736455751756,0.07649065281812126,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8960599211783061,0.0705255561853349,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8821858241571138,0.08613280166942394,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9238524942459998,0.07084124298339234,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.882836691328541,0.08118406693490088,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8695057976773275,0.07987459447488093,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8513886616378972,0.06250287812800148,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.8669187928245565,0.07071082065655432,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8503924729916231,0.07576718039420414,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8822623022602314,0.06817003233256311,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8995889065644146,0.049850520732462295,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8654394253565946,0.061631621169671136,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8468140615923703,0.06503748525137726,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8221771642964784,0.06023563194554318,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8408302357029255,0.0819546807734424,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.8307676762549191,0.07196235481231372,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8179719074628439,0.06916484873689285,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8608450176074319,0.07834628080261506,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8561006045803395,0.09526851794464657,0.0,49,3.077935056255462,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8440232109887102,0.08770163258799188,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.836505859529723,0.08545426542219998,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.855701611045784,0.09680096151224607,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9000377180278788,0.08423906465515911,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8586426781172993,0.08701864606710566,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.890434306765275,0.08803171504015787,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.895312719316747,0.08575556107552343,0.05,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9273612750160022,0.06785061773547146,0.0,49,4.47213595499958,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.906227741580738,0.06633785045521189,0.0,48.45,6.931810730249348,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9035672028140884,0.08542518287941835,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8910301978934215,0.0752826458141841,0.0,48.65,3.8426279384926416,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.8268556817907886,0.11419896224230318,0.0,59.15,30.778110813744853,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7801829463496613,0.08549221106081994,0.0,46.8,23.002517024745014,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7918511302099431,0.09577043239038824,0.0,49.95,25.726240955184466,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8268556817907886,0.11419896224230318,0.0,58.75,31.065084478948556,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.8035193140702249,0.10367453422687033,0.0,52.6,28.10394240933767,method=Powell; iterations=1000000; temperature=1.0
