pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.5200061102202184,0.1716867123646384,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.7786558441155723,0.13387159759882694,0.0,9.1,4.767212580688392,nr_particles=1; k=1; scaling=10.0
PSO,0.5251933876629077,0.23535349127027141,0.0,2.05,2.4165002967536595,nr_particles=1; k=1; scaling=100.0
PSO,0.5162982247147127,0.19694383870068827,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7365143611599956,0.13471714828851647,0.0,9.8,7.280832803724412,nr_particles=1; k=1; scaling=10.0
PSO,0.5940227100517423,0.19584873457543478,0.0,1.75,1.019545822516343,nr_particles=1; k=1; scaling=100.0
PSO,0.5937719009893399,0.23258903305611656,0.0,1.2,0.5231483637805969,nr_particles=1; k=1; scaling=1000.0
PSO,0.7343902326000692,0.1335344175025587,0.0,10.3,6.173798625942071,nr_particles=1; k=1; scaling=10.0
PSO,0.5585350784075798,0.14702032529817152,0.0,1.85,1.3869694338832115,nr_particles=1; k=1; scaling=100.0
PSO,0.4814739319475269,0.1760001714220331,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.9003064446835418,0.05671611863222339,0.0,50,0.0,nr_particles=50; k=10; scaling=10.0
PSO,0.9163382260932004,0.03758274570516261,0.0,52.05,9.167878707749137,nr_particles=50; k=10; scaling=100.0
PSO,0.906078853886236,0.05209014476232716,0.05,52,8.94427190999916,nr_particles=50; k=5; scaling=100.0
PSO,0.8769758948811508,0.08214879676546376,0.0,29.75,4.575391844019022,nr_particles=16; k=1; scaling=100.0
PSO,0.8364829960446215,0.05529118842193373,0.0,17.3,1.3018205875255096,nr_particles=16; k=1; scaling=1000.0
PSO,0.8873882152144476,0.06517674349149694,0.0,52.25,1.860248992954834,nr_particles=10; k=3; scaling=100.0
PSO,0.9117067865324961,0.06673683661170635,0.0,50.15,2.758241239783443,nr_particles=10; k=2; scaling=100.0
PSO,0.8933380588207311,0.053631855491371616,0.0,50.05,2.723677854048011,nr_particles=10; k=2; scaling=1000.0
PSO,0.9221842194612557,0.05676272479110375,0.0,52.2,1.9358120830939742,nr_particles=10; k=1; scaling=10.0
PSO,0.8196930161770601,0.07346397773798578,0.0,17.4,4.05748171834906,nr_particles=10; k=1; scaling=100.0
PSO,0.7945028357319183,0.061945732369859986,0.0,11.65,6.458572434736398,nr_particles=10; k=1; scaling=1000.0
PSO,0.893976584298019,0.07326941460562932,0.05,50.45,3.5463101654358553,nr_particles=5; k=2; scaling=10.0
PSO,0.8825223586473641,0.0848275423193663,0.1,40.8,13.161346915554613,nr_particles=5; k=2; scaling=100.0
PSO,0.8649534622118499,0.06861811010982646,0.0,43.3,10.741459275555675,nr_particles=5; k=2; scaling=1000.0
PSO,0.9062819174473605,0.05363462097205691,0.0,42.45,9.411499125509904,nr_particles=5; k=1; scaling=10.0
PSO,0.7576089807195867,0.05709703721514849,0.0,8.35,2.277463963548745,nr_particles=5; k=1; scaling=100.0
PSO,0.7939121295859803,0.09773796057341047,0.0,5.25,0.4442616583193193,nr_particles=5; k=1; scaling=1000.0
PSO,0.8669314953947239,0.07006072912880913,0.0,40.3,7.967697943968244,nr_particles=5; k=1; scaling=10.0
PSO,0.7688886783841986,0.09240000952964778,0.0,8.45,1.8771478925557026,nr_particles=5; k=1; scaling=100.0
PSO,0.7742989403076445,0.10883409449569113,0.0,5.4,0.8207826816681233,nr_particles=5; k=1; scaling=1000.0
PSO,0.8970850282287636,0.05327802441097175,0.0,44.6,8.0811671903194,nr_particles=5; k=1; scaling=10.0
PSO,0.7792573376069152,0.08006628388479214,0.0,8.75,2.022895267471328,nr_particles=5; k=1; scaling=100.0
PSO,0.7798578991711952,0.09426939401349826,0.0,5.45,0.6863327411532597,nr_particles=5; k=1; scaling=1000.0
PSO,0.8224382679116687,0.0961675726066269,0.0,22.65,7.808733302493669,nr_particles=3; k=1; scaling=10.0
PSO,0.7079847262758777,0.11893611460248679,0.0,5.05,1.394538218230416,nr_particles=3; k=1; scaling=100.0
PSO,0.7079678674824771,0.09511179387140037,0.0,3.2,0.5231483637805969,nr_particles=3; k=1; scaling=1000.0
PSO,0.8459839117010275,0.07430920707464665,0.0,24.85,12.410839913898698,nr_particles=3; k=1; scaling=10.0
PSO,0.7436026168947085,0.11204853334164963,0.0,5.25,1.5517392618742702,nr_particles=3; k=1; scaling=100.0
