GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7259302799833418,0.09847867810635227,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.7501277529784025,0.08755068518489369,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8505633277468345,0.09670671271829319,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.7889234611339668,0.14637067148305502,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.8598944108720681,0.07800757446761306,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7650923837474959,0.2069548139270762,0.05,48.55,6.48459713474939,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.819534230905895,0.14950369862473403,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.797805705764745,0.20936298048825583,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7124999593423256,0.10071310606739352,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7428460686350896,0.08014699778495799,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7216825975231506,0.13261844348637944,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.720041340968947,0.19400868729379897,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.7431110490209177,0.08353272620159362,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.7294556446720012,0.09562409054678128,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.6397435829582306,0.13664353552523087,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.6309105617904592,0.2025521699701196,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6221735370334481,0.15037531370548826,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6909359589511656,0.14021257279858515,0.05,49.55,2.0124611797498106,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.5554863459036462,0.23714154395679504,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6555728895150909,0.17991768209006945,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.7932437252164708,0.1075138746460293,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7469839847247653,0.11109452367748499,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.7614861444861524,0.09393583556857174,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8204519106244557,0.08026699046515552,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7226412360542682,0.1963726301889624,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.6919005170016989,0.250755967899262,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7778914956810594,0.10741659905908285,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7627784636702492,0.07708604629513965,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7624509553867251,0.10905026000395383,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.7446246387618438,0.19834261591070443,0.0,49.95,0.22360679774997896,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.767628387010343,0.0848766737946754,0.0,50,0.0,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.6958491509323715,0.20185992161037522,0.05,49.65,1.5652475842498528,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.8938935510794056,0.04576330764067365,0.0,76.75,20.562804948946557,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9227749181040956,0.04444847672339902,0.15,69.65,29.64930992362838,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.896115948410266,0.04141709147293285,0.05,82.85,21.300543605615722,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9142252768071437,0.022962834252021797,0.05,73.3,22.00502334994396,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9247031268572676,0.03968783908146883,0.15,66.1,24.4172070474901,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.8930843575361874,0.033132649338683214,0.0,76.3,20.71892092292758,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8550864217716388,0.08263452802915267,0.0,98.7,5.813776741499453,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.7956802817333921,0.10436547743997455,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.7872792296596035,0.11730729095260597,0.0,98.7,5.813776741499453,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.8501735236344343,0.08826072881532376,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.8597413223852767,0.09556687233093544,0.0,99.15,3.8013155617496426,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8474149295826451,0.08976820789267412,0.0,100,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.90453712243858,0.052901801708308,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.8927435477821127,0.06645406818145788,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9011416993626725,0.05648605484495529,0.0,100,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9205797107127269,0.06756309594539543,0.2,94.5,17.236741663025953,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9206204507042648,0.051690717464473256,0.1,96.4,12.10219640787311,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.855014672179952,0.1084451293452872,0.05,99.7,1.3416407864998738,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7896922112167292,0.07748979096468757,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7778845268880781,0.1320038870548258,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.817851153071643,0.07076765872183619,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7961929257386504,0.1063827431256159,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.804250271568266,0.09787174547300936,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8046268133088049,0.07246690992891948,0.0,100,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7695552718260406,0.1159354877244743,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.7703054221533676,0.12067364207647631,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6902704148520015,0.1759573992437957,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7118204579591705,0.15722669428466546,0.05,98.85,5.142956348249516,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.7272023137925965,0.15377874167906616,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7424579894008079,0.20453662362059294,0.0,100,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8339870113054187,0.07897357598745512,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8332005191744032,0.10802850719145031,0.0,100,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8604065250267815,0.08184399106181615,0.05,97.05,13.192801067248759,method=CG; iterations=1000000; temperature=0.25
