pnpoly_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Dual annealing,0.9977428182749877,0.006512920657223432,0.88,406.96,202.52507630071946,iterations=1000000; method=SLSQP
Dual annealing,0.9984305278143448,0.005272090503912746,0.9,356.04,205.1309148931432,iterations=1000000; method=CG
Dual annealing,0.9991416828789781,0.004247568178903419,0.96,437.56,190.56994644958033,iterations=1000000; method=Powell
Dual annealing,0.9989710752973133,0.004381590465621886,0.94,371.28,203.0992559196169,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9969503152230582,0.007286590788748725,0.84,417.68,219.11188456855479,iterations=1000000; method=BFGS
Dual annealing,0.9989891603374922,0.0038800012542393966,0.92,340.84,202.58022950859518,iterations=1000000; method=TNC
Dual annealing,0.9975303576371384,0.006380678845016391,0.84,421.6,215.66290778879517,iterations=1000000; method=trust-constr
Dual annealing,0.9998293924183352,0.0012063777791700917,0.98,421.64,198.68678663583412,iterations=1000000; method=COBYLA
Dual annealing,0.9975371253229703,0.006470060816923265,0.86,497.12,278.96475090035653,iterations=1000000; method=L-BFGS-B
Dual annealing,0.9979740517165945,0.005677237544871663,0.86,427.64,285.9654438949588,iterations=1000000; method=SLSQP
Dual annealing,0.9991553266848203,0.0037444354887518658,0.94,403.58,234.57909244484023,iterations=1000000; method=CG
Dual annealing,0.9984274787727875,0.0062807868430084296,0.92,508.16,263.09960556599015,iterations=1000000; method=Powell
Dual annealing,0.9990302939565205,0.004297335647928222,0.94,390.24,211.48518161047673,iterations=1000000; method=Nelder-Mead
Dual annealing,0.996852965304847,0.007224463140279095,0.82,475.56,287.41267777698806,iterations=1000000; method=BFGS
Dual annealing,0.9987125243184671,0.005147712675968166,0.94,459.4,212.1151015994161,iterations=1000000; method=TNC
Dual annealing,0.9981719768354986,0.0059000276654770055,0.9,407.86,252.45440162128128,iterations=1000000; method=trust-constr
Dual annealing,0.9991416828789781,0.004247568178903419,0.96,545.54,457.1781330139516,iterations=1000000; method=COBYLA
Dual annealing,0.9994002338578243,0.0032426496824398605,0.96,381.22,412.70537447730067,iterations=1000000; method=L-BFGS-B
Dual annealing,0.999570841439489,0.003034609283415543,0.98,603.96,477.7614023244452,iterations=1000000; method=SLSQP
Dual annealing,0.999570841439489,0.003034609283415543,0.98,455.94,395.2894785302724,iterations=1000000; method=CG
Dual annealing,0.9997839898409169,0.0015274224829284794,0.98,449.74,313.45147787112415,iterations=1000000; method=Powell
Dual annealing,0.9991553266848203,0.0037444354887518658,0.94,571.94,493.4231702078442,iterations=1000000; method=Nelder-Mead
Dual annealing,0.9997839898409169,0.0015274224829284794,0.98,493.3,364.9442926457323,iterations=1000000; method=BFGS
Dual annealing,0.999570841439489,0.003034609283415543,0.98,442.56,452.47460905197175,iterations=1000000; method=TNC
Dual annealing,0.9993548312804059,0.003369374414714883,0.96,477.28,431.74127929223766,iterations=1000000; method=trust-constr
