convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
PSO,0.2132760634297026,0.25733379205365,0.0,6.1,5.320269086981854,nr_particles=1; k=1; scaling=10.0
PSO,0.13204210919434323,0.21757547720856077,0.0,1.25,0.6386663736585051,nr_particles=1; k=1; scaling=100.0
PSO,0.1860598509308873,0.24582392814737436,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.195224721291494,0.2238281009025585,0.0,5.85,5.584518072785078,nr_particles=1; k=1; scaling=10.0
PSO,0.057247554009099116,0.1431837485782212,0.0,1.1,0.30779350562554625,nr_particles=1; k=1; scaling=100.0
PSO,0.014415034680266,0.0644655925707825,0.0,1.05,0.22360679774997896,nr_particles=1; k=1; scaling=1000.0
PSO,0.17390005225793723,0.261967782685767,0.0,7.5,6.684624935350957,nr_particles=1; k=1; scaling=10.0
PSO,0.04586950004363025,0.10078848120722564,0.0,1.55,1.6050905860647506,nr_particles=1; k=1; scaling=100.0
PSO,0.06099932732164,0.13469538742555492,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.16203930282108772,0.24022792707735982,0.0,5.9,4.940700994372102,nr_particles=1; k=1; scaling=10.0
PSO,0.04143430822204564,0.10871346891855926,0.0,1.2,0.41039134083406165,nr_particles=1; k=1; scaling=100.0
PSO,0.07919508710390369,0.18293672688146484,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.21702468422988988,0.2436760479475247,0.0,4.8,4.007886961322242,nr_particles=1; k=1; scaling=10.0
PSO,0.13667623094533846,0.23519772566327476,0.0,1.25,0.4442616583193193,nr_particles=1; k=1; scaling=100.0
PSO,0.178402623053161,0.24783770822640902,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.6781694698867826,0.07297810898199676,0.0,50,0.0,nr_particles=50; k=25; scaling=10.0
PSO,0.7142070812510031,0.10670168645603934,0.0,52.35,10.509519494249012,nr_particles=50; k=25; scaling=1000.0
PSO,0.7335860453212621,0.11363261049666482,0.0,52.35,10.509519494249012,nr_particles=50; k=16; scaling=10.0
PSO,0.7104438657643768,0.12987123316373303,0.0,50,0.0,nr_particles=50; k=16; scaling=100.0
PSO,0.7092038782549502,0.09719302100837945,0.0,52.1,9.391485505499118,nr_particles=50; k=10; scaling=100.0
PSO,0.6930677911012335,0.12677749517957784,0.0,51.7,7.602631123499285,nr_particles=50; k=5; scaling=100.0
PSO,0.681202667416871,0.09562181384092096,0.0,50,0.0,nr_particles=50; k=5; scaling=1000.0
PSO,0.713705025497962,0.13343929931703852,0.0,51.7,2.975337221046947,nr_particles=25; k=2; scaling=1000.0
PSO,0.5875843749495894,0.1633332974687297,0.0,21.45,2.7429335045761345,nr_particles=16; k=1; scaling=100.0
PSO,0.599162247608342,0.17466791651186822,0.0,16.45,0.6863327411532597,nr_particles=16; k=1; scaling=1000.0
PSO,0.6602457187392813,0.17988832503503022,0.0,52.05,3.332061160745308,nr_particles=10; k=3; scaling=100.0
PSO,0.705761960136047,0.12150581453280555,0.0,51,8.045920836378095,nr_particles=10; k=3; scaling=1000.0
PSO,0.6606811122667309,0.12786970852468935,0.0,51.65,1.7851728502481652,nr_particles=10; k=2; scaling=10.0
PSO,0.7195026499634726,0.11641468036048565,0.0,46.4,9.82692327499465,nr_particles=10; k=2; scaling=100.0
PSO,0.6785889899863985,0.1320372204387567,0.0,44.3,11.480418110852932,nr_particles=10; k=2; scaling=1000.0
PSO,0.6468749410685116,0.185690308750041,0.0,49.1,3.4166773641253156,nr_particles=10; k=1; scaling=10.0
PSO,0.48980025785097125,0.1799704050180306,0.0,14.05,2.762054917705485,nr_particles=10; k=1; scaling=100.0
PSO,0.5269927632244372,0.2154958428608925,0.0,10.5,1.1920791213585393,nr_particles=10; k=1; scaling=1000.0
PSO,0.5499957143233823,0.2260350955506023,0.0,43.7,11.991663771137015,nr_particles=5; k=2; scaling=10.0
PSO,0.5327733628288013,0.24001738519362345,0.0,30.8,17.34358671094304,nr_particles=5; k=2; scaling=100.0
PSO,0.5768859879302874,0.2287590454313283,0.0,32.55,18.846959827432173,nr_particles=5; k=2; scaling=1000.0
PSO,0.5320369244599126,0.20147203382977322,0.0,29.5,12.967570888059264,nr_particles=5; k=1; scaling=10.0
PSO,0.404917923005584,0.15777948100576855,0.0,7.3,2.1788456625132104,nr_particles=5; k=1; scaling=100.0
PSO,0.4235870684709061,0.21943760876263962,0.0,5.35,1.1367080817685316,nr_particles=5; k=1; scaling=1000.0
PSO,0.5644778903361815,0.21181593892704734,0.0,26.5,9.643650760992955,nr_particles=5; k=1; scaling=10.0
PSO,0.5266744997202818,0.17501099368769613,0.0,6.7,1.1285761872936695,nr_particles=5; k=1; scaling=100.0
PSO,0.404464704633233,0.20548573499288886,0.0,5.2,0.41039134083406165,nr_particles=5; k=1; scaling=1000.0
PSO,0.5834724329656987,0.1591386229419308,0.0,30.1,9.818886205460855,nr_particles=5; k=1; scaling=10.0
PSO,0.377240228170203,0.2300152347051901,0.0,7.35,2.433861994963214,nr_particles=5; k=1; scaling=100.0
PSO,0.3197235018396468,0.28028298801608886,0.0,5.35,1.5652475842498528,nr_particles=5; k=1; scaling=1000.0
PSO,0.42219346345389136,0.2996333301680678,0.0,17.6,10.742929131097789,nr_particles=3; k=1; scaling=10.0
PSO,0.22501827735379518,0.19776961260935721,0.0,4.05,1.0990426455975697,nr_particles=3; k=1; scaling=100.0
PSO,0.266842998752511,0.23568541725391065,0.0,3.05,0.22360679774997896,nr_particles=3; k=1; scaling=1000.0
PSO,0.4473070808629871,0.23695227457300644,0.0,17.2,7.763612832343349,nr_particles=3; k=1; scaling=10.0
PSO,0.3344532266770044,0.21812517944301704,0.0,4.5,1.9056702094980709,nr_particles=3; k=1; scaling=100.0
PSO,0.4057450192377447,0.24173916022677208,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.381273363893193,0.2561412254350025,0.0,19.1,9.256008006183137,nr_particles=3; k=1; scaling=10.0
PSO,0.19443137261963112,0.27540290516301286,0.0,5.5,2.9647046537910864,nr_particles=3; k=1; scaling=100.0
PSO,0.31712046978608865,0.23331475622160303,0.0,3.2,0.41039134083406165,nr_particles=3; k=1; scaling=1000.0
PSO,0.34109388119082135,0.2332654392111133,0.0,15.45,4.695742752749559,nr_particles=3; k=1; scaling=10.0
PSO,0.3550610277091853,0.21445384177332438,0.0,5.6,3.530319800632351,nr_particles=3; k=1; scaling=100.0
PSO,0.27890312983448007,0.262496307161052,0.0,3.15,0.36634754853252327,nr_particles=3; k=1; scaling=1000.0
PSO,0.19886695580417305,0.2786237320023808,0.0,7.95,8.475816992137721,nr_particles=1; k=1; scaling=10.0
PSO,0.1405077477669273,0.20199663327036138,0.0,1.3,0.47016234598162726,nr_particles=1; k=1; scaling=100.0
PSO,0.12885234333931245,0.23625233813979085,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.14504810503376717,0.21117722256147345,0.0,5.3,3.974921382870358,nr_particles=1; k=1; scaling=10.0
PSO,0.19939552679060452,0.2583213915224839,0.0,1.5,0.8271701918685112,nr_particles=1; k=1; scaling=100.0
PSO,0.06888120133712282,0.15001329802853106,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.1606942328348019,0.22930440267494448,0.0,4.6,4.159959513973031,nr_particles=1; k=1; scaling=10.0
PSO,0.1835093407052653,0.23174460294490698,0.0,1.3,0.5712405705774795,nr_particles=1; k=1; scaling=100.0
PSO,0.03681583016056228,0.10513916744099594,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.2635146171407341,0.24155127730972384,0.0,6.4,7.741888794426278,nr_particles=1; k=1; scaling=10.0
PSO,0.10127250472343874,0.211508296177796,0.0,1.3,0.7326950970650465,nr_particles=1; k=1; scaling=100.0
PSO,0.10759784063495428,0.17536429672596016,0.0,1,0.0,nr_particles=1; k=1; scaling=1000.0
PSO,0.7919804368701929,0.07179395452192891,0.0,104.4,4.259972819285662,nr_particles=20; k=4; scaling=1000.0
PSO,0.7335102296042956,0.0839540302959231,0.0,103.65,2.7198103649064636,nr_particles=20; k=2; scaling=10.0
PSO,0.7883319828865549,0.13581968255522053,0.0,96.75,17.666128757120443,nr_particles=20; k=2; scaling=100.0
