pnpoly_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.9807718833091479,0.010845918044266524,0.0,49.8,0.6155870112510924,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9824297397430106,0.012764547094475382,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.982752182077655,0.0024878098010790053,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9803309978066164,0.010147425041210587,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9813587351611612,0.014248214512568877,0.1,48.25,5.674272501480047,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9749453188301085,0.016656049570932526,0.05,49.15,3.8013155617496426,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9706096041781092,0.023599039220132147,0.05,49.8,0.8944271909999159,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.966761689978734,0.027510863569856474,0.1,46.9,9.629450440677997,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9619663677667523,0.03285334291680071,0.2,47.45,5.789964094061924,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.9740474645109942,0.024320778448780563,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9739572795737788,0.019862655576041333,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.9767008553978233,0.019763369763803287,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.9747812690281944,0.020271206556128848,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.9783513674087939,0.017172067933354677,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9684991260594061,0.03367912503160909,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9655444586871261,0.02434438537268434,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9693614806802456,0.025585990714148767,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.9719354034031265,0.01920162926015749,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.9716901809636282,0.02197440808498415,0.1,47.7,7.079250629387563,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.9688296993590879,0.02147874450879741,0.05,48.5,6.708203932499369,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.9713766816375525,0.01879993699037174,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.9864845277261926,0.004420359078380358,0.05,45.45,8.39470384418527,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.984883202162536,0.0034880933043404494,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.9854116325288717,0.002478233863148354,0.0,49.35,2.9068883707497264,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.976641307453759,0.015028254375591353,0.0,49.1,4.024922359499621,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.9826601192510039,0.01067822415184957,0.05,48.55,4.978638579497728,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.9833622705402443,0.011885170178411902,0.05,48.6,6.260990336999411,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.972531306689613,0.032213728905777415,0.05,42.65,13.083838966651308,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9767194969713696,0.01880436290417933,0.05,43.6,8.970125857240625,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9681572288387881,0.026690981065708975,0.0,48.05,5.155222186237339,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9671444280638838,0.05048232498336168,0.05,48.85,3.199917762101165,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9721190431059075,0.032345166874465266,0.05,47.05,5.6333125713309915,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9691805882302723,0.0241984348454356,0.05,49.6,1.2732056517228265,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.9834143627565415,0.003102489356888392,0.0,94,10.920767275916873,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.9823624939114524,0.00358167045757988,0.0,81.35,18.977202389349063,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.9799724996515029,0.01555030116704679,0.0,71.75,21.398167653969075,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.9735886683017839,0.02522299422333348,0.0,67.65,23.20679346997113,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9798621048545567,0.01551511308701446,0.0,65.95,16.624253050097746,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.979691465556275,0.015455334161833345,0.0,60.55,17.98676413951454,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9898656755234075,0.004583794807621075,0.1,61.15,21.51933035545875,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9869107304509843,0.004137797702526875,0.05,86.25,15.9039055117388,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.984023718548272,0.016058957946098962,0.0,84.75,14.104403940837619,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9853297050229364,0.0024873834090349003,0.0,81.5,20.861699986237685,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9850353440509257,0.0024005853805281617,0.0,85.8,16.37906237275279,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9861448435906469,0.0026142799390646535,0.0,96,12.298908809107289,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9891019057121038,0.00552599420844693,0.05,95.05,18.71524849730266,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9861083245502535,0.010318127525378352,0.1,93.9,12.60284011433012,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9900624021990733,0.011266340458111942,0.3,86.85,18.126093433442705,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.981764503293787,0.02249684112259775,0.25,82.5,25.603248149199228,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9813328409972947,0.017209331212804775,0.15,88.6,21.709566166966457,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9785159110448136,0.022320891981851734,0.15,87.25,25.606074526010016,method=COBYLA; iterations=1000000; temperature=2.0
