convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.6731178585958456,0.22936120972291835,0.1,48.4,4.935371793172436,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.6572236170480243,0.23758814073503762,0.05,49.95,0.22360679774997896,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.6318162764788118,0.24644031637274147,0.15,48.85,2.814903943392441,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.6532272018000002,0.29242597924139707,0.15,48.65,4.344082484435458,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.660159617869044,0.32906460494380685,0.2,47.3,7.814291899765252,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.7716161484186848,0.1519843237923372,0.1,48.05,6.605221220248498,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.7189342777766371,0.16059394975666683,0.05,49.2,3.5777087639996634,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.834618844112613,0.20786774436613956,0.2,46.9,8.378544026261364,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.6901800231345898,0.2751798617063552,0.1,48.95,4.2485291572496005,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.827225378466184,0.16185859489617835,0.25,45.3,8.903577045801665,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.7643361098410896,0.2076882404514834,0.1,49,4.026229789243216,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.6455055664407823,0.2396450306317777,0.05,48.8,5.366563145999495,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.664131055329264,0.21676701600725123,0.05,49,4.47213595499958,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.6174600773223067,0.23821187093801044,0.1,49.05,2.9285347512832565,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.5297028554225504,0.26186312541257367,0.05,48.7,5.813776741499453,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.6336845079144099,0.2712195868457859,0.15,48.95,3.2682684937698157,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.6644706934397482,0.2392993160783842,0.15,48.8,3.8196169551684793,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.6676639426075436,0.24337392528157634,0.15,48.3,6.053272277302409,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.6965945548841274,0.23105718725935603,0.25,46.8,7.20087713955372,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.6625180006612155,0.3102409674609754,0.4,45.85,8.177472264188912,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.6403703551801864,0.24732281956946683,0.2,46.2,10.013674860435918,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.654571819236084,0.268138911760776,0.25,45.2,11.614872498563845,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.6690421210810262,0.27881140480464034,0.3,44.45,11.109384368750213,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.5933576838268103,0.3024009737654289,0.1,48.55,4.465953072089458,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.6317206590288584,0.30860857114601653,0.15,48.1,5.340017740952198,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.5772685903721262,0.24094727878838604,0.05,49,4.47213595499958,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.6745049170728339,0.1590197732276294,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.7041683529065346,0.32623415233116193,0.25,46.45,6.840090796565726,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.7617619993973075,0.17609106159993154,0.15,46.1,9.978397719705884,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.7752942891289912,0.2579201153089115,0.3,43.75,12.27266967911349,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.7590946894977569,0.22754669104752845,0.2,46.9,7.806205358896419,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.7568052011447733,0.25024081072180193,0.3,43.75,11.12074874419789,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8069689479174841,0.32194484382071453,0.4,43.4,11.545789845562526,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.6850317746937657,0.2440445639013221,0.15,47.1,8.1104221448961,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8420728642851627,0.1885416080157926,0.25,46.55,9.264959453997117,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.6579833758994585,0.44432061270316364,0.1,57,43.022637859864574,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.567713056444104,0.4356170434504141,0.1,39.85,31.709661486350612,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7869515556046592,0.2846221002021201,0.05,53.35,26.20621661884226,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.6763266375282051,0.41006529115113544,0.2,37.15,27.580074806203655,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7409399223927312,0.32886081083207597,0.0,53.8,28.46900438242117,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7304367196315606,0.3826193286808178,0.25,37.75,27.78654539994416,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8218511024740642,0.1962729885269137,0.25,92.85,15.256663772715324,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9202788207185579,0.09267776650557565,0.55,80.15,23.16820643627133,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.8743162378125904,0.14377537495973364,0.45,84.75,21.96138956393578,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.7859200691898157,0.22322934221809074,0.3,88.3,21.270439086849343,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9176109350255562,0.16450537923687408,0.6,76.9,24.181114858282974,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.8825547810276855,0.16514598986947657,0.4,88.8,15.463369279483828,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.8908253207159322,0.119079944863138,0.4,84.95,24.06017675045547,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9317943658683583,0.09021765323188972,0.4,86.65,21.198994514388,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9367441807431663,0.10742315145432971,0.5,80.35,24.08597539080192,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.8730176674730097,0.23193041480309645,0.3,88.4,20.291040283570325,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.8385904335117698,0.16737142423085738,0.15,95.2,17.916766625588153,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.8931995251970797,0.16031546008677494,0.4,83.85,25.592505070615374,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.7829358948756155,0.16326391474066085,0.2,93.1,16.00296025246908,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.7390146898638823,0.2644528517902509,0.25,90.3,21.846594338947348,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8477780484487643,0.248269486939295,0.55,84.5,23.38578065496436,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.7082616257000909,0.2992180426044781,0.4,81,28.78778980931435,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8238169303829488,0.17635639070283687,0.4,87,18.954238520572037,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.8053257299999823,0.19309346921663795,0.4,86.35,23.272470748436707,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.8321014212561254,0.24989548224306476,0.6,74.95,29.619472613379475,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.9485705489185583,0.10917235467753734,0.7,68.55,27.776315166172175,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.7857517553274017,0.2049829268169831,0.3,82.15,29.94253267774613,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.7965261714312274,0.2642797082840619,0.35,83.8,26.07196518141762,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8438325028980221,0.21509528662128888,0.5,72.55,33.68503494056921,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.7731998858809718,0.2111001240254659,0.3,90.5,16.734773126007635,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.8476734340856306,0.27723359217748084,0.55,74.4,29.70450967002893,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.7712346968940553,0.31680707318629586,0.5,78.3,26.917222035441608,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8162257381021002,0.2065724456199867,0.35,82.7,26.511367968834566,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.8254727731603828,0.26489215628258195,0.5,82.6,23.022643316160675,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.858224349499015,0.19842951520802146,0.45,79.6,26.62883281036,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.844880099191064,0.25071941947320725,0.5,78.5,27.561414676089623,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.8951087060202556,0.16011616562200587,0.45,62.8,34.66319145873996,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.933879628827869,0.09358074287488372,0.55,65.9,33.96887119888319,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.8977619092749918,0.1527386629844036,0.55,63.25,31.164884084494844,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.8410357064183079,0.25210396230059934,0.45,68.8,30.69647673936744,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.825559661608206,0.21939683737401608,0.35,70,26.33588706249366,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.8941433912205715,0.1195352140419494,0.35,76.45,23.69871193479555,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.6322405784149383,0.4309308662984065,0.15,59.1,54.196426372768784,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.6941488897100723,0.3648715955318506,0.1,46.9,37.1977645055523,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.634282518411512,0.433446654474555,0.2,38.75,33.50392749954454,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.8237567135846968,0.29509025869704747,0.15,51.9,31.68745393435871,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.9023293272590686,0.22465680708437938,0.25,51.85,31.739523758573515,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.5971297284783846,0.45762763987160976,0.25,31.25,27.20269916948065,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.8430577059831872,0.23886356506794126,0.4,133.6,56.014471814269385,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9101657809951905,0.08570824880028693,0.45,133.75,68.65771317883642,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9299078829404713,0.09476569280671077,0.6,126.2,61.39483948826215,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.9314035862984132,0.08004013683817505,0.5,127.25,62.729892983203875,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9070849291929012,0.08656350755557214,0.4,120.65,64.02160408388471,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9015728554813813,0.13180706030773323,0.45,136.8,64.88094359752533,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9270146767737024,0.15318825915922013,0.65,114.35,57.99389713808823,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9426372198805916,0.08018901340883096,0.6,137.5,46.49221779813772,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9756536624320808,0.05937754997564787,0.75,112.05,51.56954935863442,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9153613871668119,0.08777095866555569,0.5,140.35,58.48731306423372,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9258029501855815,0.08412435789588261,0.45,143.25,59.123310034822005,method=COBYLA; iterations=1000000; temperature=1.0
