GEMM_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.4507534832051993,0.3460427778080946,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.43969367255791186,0.38831618813246627,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.46939507278675996,0.4093758715488974,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.3144741864937455,0.3964892500276756,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.40198768915291827,0.3935827260169669,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.500817211564173,0.36786554117342213,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.3892482824107486,0.41843007609516086,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.2208523227088747,0.3645088247073408,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.34916024793449285,0.40503660267124214,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.31619952657656264,0.36825496784420236,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.5156138915398184,0.35841315049731953,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.43910713503434856,0.36454541017927133,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.5348273754426978,0.32808574689663694,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.46507537003993554,0.34663978153691005,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.5686248351249721,0.39449509823254514,0.05,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
