convolution_RTX_2070_SUPER_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
RandomGreedyILS,0.5079824014855413,0.22122866303052954,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.4764809451151955,0.327831091417778,0.0,25,0.0,walksize=0.05; no_improve=100; restart=True; nbour=adjacent
RandomGreedyILS,0.5209965838502174,0.307104428661181,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=Hamming
RandomGreedyILS,0.36960260508032167,0.33195283946902926,0.0,25,0.0,walksize=0.05; no_improve=200; restart=False; nbour=adjacent
RandomGreedyILS,0.545946584183872,0.20367415345017642,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=Hamming
RandomGreedyILS,0.3800213076305831,0.3580460963128083,0.0,25,0.0,walksize=0.05; no_improve=200; restart=True; nbour=adjacent
RandomGreedyILS,0.5512867731047977,0.2770695125715883,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=Hamming
RandomGreedyILS,0.542158431010535,0.317790753664364,0.0,25,0.0,walksize=0.05; no_improve=500; restart=False; nbour=adjacent
RandomGreedyILS,0.5359971646806071,0.2886752737718806,0.0,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=Hamming
RandomGreedyILS,0.5131232760488333,0.3347519822799055,0.05,25,0.0,walksize=0.05; no_improve=500; restart=True; nbour=adjacent
RandomGreedyILS,0.4688186346504939,0.33279181309007777,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=Hamming
RandomGreedyILS,0.46336661825986386,0.33982511001181903,0.0,25,0.0,walksize=0.1; no_improve=5; restart=False; nbour=adjacent
RandomGreedyILS,0.40809129378886017,0.3142455864415177,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=Hamming
RandomGreedyILS,0.33311751054172495,0.31284758398705026,0.0,25,0.0,walksize=0.1; no_improve=5; restart=True; nbour=adjacent
RandomGreedyILS,0.3400230190910496,0.30979462289818055,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=Hamming
RandomGreedyILS,0.45798607487462856,0.36840338543884604,0.0,25,0.0,walksize=0.1; no_improve=10; restart=False; nbour=adjacent
RandomGreedyILS,0.43364056447859384,0.30677563447093853,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=Hamming
RandomGreedyILS,0.45480530225010246,0.39382792193238364,0.0,25,0.0,walksize=0.1; no_improve=10; restart=True; nbour=adjacent
RandomGreedyILS,0.6289688253892565,0.27275213654418085,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=Hamming
RandomGreedyILS,0.5161268873183749,0.37036903403545446,0.0,25,0.0,walksize=0.1; no_improve=25; restart=False; nbour=adjacent
RandomGreedyILS,0.5058689688815409,0.3163155704978125,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=Hamming
RandomGreedyILS,0.4933451838514455,0.3386132927709521,0.0,25,0.0,walksize=0.1; no_improve=25; restart=True; nbour=adjacent
RandomGreedyILS,0.5633367475500075,0.23024538222113985,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=Hamming
RandomGreedyILS,0.5186375765964454,0.32423758012754544,0.0,25,0.0,walksize=0.1; no_improve=50; restart=False; nbour=adjacent
RandomGreedyILS,0.5833036163106853,0.31873923115147335,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=Hamming
RandomGreedyILS,0.5152671521160349,0.3498200678351557,0.0,25,0.0,walksize=0.1; no_improve=50; restart=True; nbour=adjacent
RandomGreedyILS,0.5434530894307115,0.2804519910655188,0.0,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=Hamming
RandomGreedyILS,0.41509513067110776,0.29259197052142266,0.0,25,0.0,walksize=0.1; no_improve=100; restart=False; nbour=adjacent
RandomGreedyILS,0.494564487920665,0.29444771212790827,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=Hamming
RandomGreedyILS,0.46722611149050675,0.3520971151074359,0.0,25,0.0,walksize=0.1; no_improve=100; restart=True; nbour=adjacent
