convolution_P100_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.7092328519858075,0.2864924727837629,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.6887273774772867,0.2879438026212758,0.05,48.55,6.48459713474939,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.7299544776441693,0.22450339308467293,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.6776709652251223,0.28310157170403016,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.6743004272064607,0.21205437537367092,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.7769651683399647,0.2176667365109552,0.05,49.75,1.118033988749895,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.7549700646951689,0.2272053334210571,0.1,49.3,2.696976865033572,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.7577016182191061,0.10515158251277221,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.7467706681477004,0.1695941733267618,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.6518995746309955,0.19966405460118133,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.6212222050708264,0.1886943547213349,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.7393839300976787,0.15779236402768224,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.6359029460480472,0.23797381367846487,0.05,48.35,7.379024325749306,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.6145847279927669,0.25478442660930073,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.6073028514435852,0.29594358386347386,0.05,49.7,1.3416407864998738,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.7383087026606432,0.23495054311997512,0.05,49.2,3.5777087639996634,method=SLSQP; iterations=1000000; temperature=0.005
