pnpoly_GTX_1080Ti_processed
Algorithm,Mean fraction of optimum,StDev fraction of optimum,Success rate,Mean function evaluations,StDev function evaluations,Settings
Basin hopping,0.8900466596903414,0.07976672402156165,0.0,49.9,0.4472135954999579,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.9049878358457036,0.07906975717401185,0.0,50,0.0,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9284972614082273,0.05725727782358457,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.9330753453347557,0.06143049272950634,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.1
Basin hopping,0.9015755855160643,0.07058983654201988,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=0.25
Basin hopping,0.9098928197071474,0.06917837952504702,0.05,48.8,5.366563145999495,method=COBYLA; iterations=1000000; temperature=0.5
Basin hopping,0.9147246055995473,0.0668469591885121,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=1.0
Basin hopping,0.9085108331424991,0.06017050571809395,0.0,50,0.0,method=COBYLA; iterations=1000000; temperature=2.0
Basin hopping,0.8766919715046476,0.06902992651996849,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.005
Basin hopping,0.9028790917826784,0.07408700461698667,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.1
Basin hopping,0.8880112295788064,0.06763586002714515,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.25
Basin hopping,0.8764524758354423,0.06914594304855119,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=0.5
Basin hopping,0.8804854589665737,0.07552750250018928,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=1.0
Basin hopping,0.9034819555574783,0.05691682113668296,0.0,50,0.0,method=L-BFGS-B; iterations=1000000; temperature=2.0
Basin hopping,0.9090588696410075,0.05621956306769763,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.005
Basin hopping,0.8528200838264876,0.05948059335606996,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.1
Basin hopping,0.8767676927000867,0.07195330034225104,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.25
Basin hopping,0.905895354071429,0.047136467229832744,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=0.5
Basin hopping,0.8668723134104628,0.06895587428786151,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=1.0
Basin hopping,0.8874742667517697,0.06370428132648018,0.0,50,0.0,method=SLSQP; iterations=1000000; temperature=2.0
Basin hopping,0.889150239731756,0.07825340414801389,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.005
Basin hopping,0.8759414418964846,0.07164126494016908,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.1
Basin hopping,0.8834707481247308,0.07234270991326025,0.0,49.25,3.3541019662496847,method=CG; iterations=1000000; temperature=0.25
Basin hopping,0.9121175131960015,0.08149750758674368,0.0,50,0.0,method=CG; iterations=1000000; temperature=0.5
Basin hopping,0.8867191987224586,0.07192602760117606,0.0,50,0.0,method=CG; iterations=1000000; temperature=1.0
Basin hopping,0.8847186659770507,0.07305680423652186,0.0,50,0.0,method=CG; iterations=1000000; temperature=2.0
Basin hopping,0.9198434516438636,0.08337999619234894,0.0,49.45,1.8771478925557026,method=Nelder-Mead; iterations=1000000; temperature=0.005
Basin hopping,0.9227525864752375,0.065697468154201,0.0,49,3.094987458524033,method=Nelder-Mead; iterations=1000000; temperature=0.1
Basin hopping,0.9278190813556386,0.05771059687257002,0.0,48.65,4.8152717581942515,method=Nelder-Mead; iterations=1000000; temperature=0.25
Basin hopping,0.9244594364292527,0.06169143506302325,0.0,48.6,4.096211343231823,method=Nelder-Mead; iterations=1000000; temperature=0.5
Basin hopping,0.9126396097656766,0.07566770552849775,0.0,46.65,8.286164753116456,method=Nelder-Mead; iterations=1000000; temperature=1.0
Basin hopping,0.9094561094215683,0.0640268232025893,0.0,47.65,6.132527597723642,method=Nelder-Mead; iterations=1000000; temperature=2.0
Basin hopping,0.7800756850012651,0.0,0.0,36.45,1.6050905860647504,method=Powell; iterations=1000000; temperature=0.005
Basin hopping,0.7800756850012651,0.0,0.0,35.95,1.4680814547887788,method=Powell; iterations=1000000; temperature=0.1
Basin hopping,0.7800756850012651,0.0,0.0,36.4,1.635140425323255,method=Powell; iterations=1000000; temperature=0.25
Basin hopping,0.7800756850012651,0.0,0.0,34.95,1.7910596686995397,method=Powell; iterations=1000000; temperature=0.5
Basin hopping,0.7800756850012651,0.0,0.0,35.55,1.7006190823220508,method=Powell; iterations=1000000; temperature=1.0
Basin hopping,0.7800756850012651,0.0,0.0,36.15,1.2258187382102494,method=Powell; iterations=1000000; temperature=2.0
Basin hopping,0.9535290056296838,0.058576907565653286,0.05,93.05,14.65560787225365,method=BFGS; iterations=1000000; temperature=0.005
Basin hopping,0.9078871150051148,0.07985086081535976,0.0,95.4,15.564466954539348,method=BFGS; iterations=1000000; temperature=0.1
Basin hopping,0.9434036493851068,0.07380452174250168,0.0,92.3,13.860584023542595,method=BFGS; iterations=1000000; temperature=0.25
Basin hopping,0.936218557545296,0.072119636376257,0.0,95.7,9.090770333869287,method=BFGS; iterations=1000000; temperature=0.5
Basin hopping,0.9329491544996358,0.06887080168855667,0.0,94.5,9.236654668963444,method=BFGS; iterations=1000000; temperature=1.0
Basin hopping,0.943295868316253,0.05951535430334753,0.0,92.4,15.591495657636738,method=BFGS; iterations=1000000; temperature=2.0
Basin hopping,0.9545879966911699,0.04941277691103354,0.0,94.6,13.188511747170837,method=COBYLA; iterations=1000000; temperature=0.005
Basin hopping,0.954128815237364,0.05332099101166734,0.0,99.35,2.906888370749727,method=COBYLA; iterations=1000000; temperature=0.1
